% Model,seg_far_constant_B.mph
% Version,COMSOL 5.5.0.359
% Date,"Jun 4 2021, 14:21"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),r_r (Ω),"ec.Ey*ec.Jy (W/m^3), Channel Faraday Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Channel Total Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Average Power","abs(ec.Ey/(U_x(y)*B_z(x))) (V/m), K ",Max Applied Magnetic Field Strength (T),Conductivity of plasma (S/m),Max fluid flow (m/s),Electron mobility within plasma (m^2/(V*s)),Ion mobility within plasma (m^2/(V*s))
1.6666666666666667,0,1,-7.669462446268727E8,-3.9907960486293215E8,2.1616709306573236E11,0.35048737283098497,6,60,1800,1.6666666666666667,0
1.6666666666666667,0,2,-1.0164643719786636E9,-6.884883641969011E8,3.729294739507776E11,0.3843319975336201,6,60,1800,1.6666666666666667,0
1.6666666666666667,0,3,-1.1934859284052823E9,-9.017085241861211E8,4.884255757407473E11,0.41468225862935365,6,60,1800,1.6666666666666667,0
1.6666666666666667,0,4,-1.3198417677511568E9,-1.0595818811266577E9,5.739402575782026E11,0.4421552849553921,6,60,1800,1.6666666666666667,0
1.6666666666666667,0,5,-1.4095692088668172E9,-1.1764496720166404E9,6.372437261881063E11,0.4671529599191735,6,60,1800,1.6666666666666667,0
1.6666666666666667,0,6,-1.47228065660509E9,-1.262511892986903E9,6.838600687079813E11,0.4899811082945488,6,60,1800,1.6666666666666667,0
1.6666666666666667,0,7,-1.5147941681665187E9,-1.3251692125968034E9,7.178009133875359E11,0.5109109428549184,6,60,1800,1.6666666666666667,0
1.6666666666666667,0,8,-1.5420477137427301E9,-1.3698836281598575E9,7.420200112357512E11,0.5301695510483393,6,60,1800,1.6666666666666667,0
1.6666666666666667,0,9,-1.5576910617923932E9,-1.400732957631066E9,7.587301678899552E11,0.5479714071203858,6,60,1800,1.6666666666666667,0
1.6666666666666667,0,10,-1.5644518152443378E9,-1.4208037231626675E9,7.6960184218011E11,0.5644770201200859,6,60,1800,1.6666666666666667,0
