% Model,seg_far_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Jun 4 2021, 20:42"
% Table,Accumulated Probe Table 3 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),r_r (Ω),"ec.Ey*ec.Jy (W/m^3), Channel Faraday Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Channel Total Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Average Power","abs(ec.Ey/(U_x(y)*B_z(x))) (V/m), K ","Max Applied Magnetic Field Strength (T), Applied Magnetic Field","Conductivity of plasma (S/m), Conductivity","Max fluid flow (m/s), Flow","Electron mobility within plasma (m^2/(V*s)), Electron mobility","Ion mobility within plasma (m^2/(V*s)), Ion Mobility"
1.6666666666666667,0.0016666666666666668,1,-2.859901331517959E8,-8.61928799281731E7,7.577750062715645E11,0.6226085746446762,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,2,-2.973535787673629E8,-1.2249146635114281E8,1.0769012205470753E12,0.5965347152035011,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,3,-3.007383896612515E8,-1.3772564244840413E8,1.2108359030037178E12,0.5848208616047144,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,4,-3.006247190087949E8,-1.4291160683042753E8,1.2564295341954712E12,0.5812454747119997,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,5,-2.989114836173281E8,-1.4303751975473097E8,1.257536984537135E12,0.5824600462531729,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,6,-2.964846185702827E8,-1.4056402599524578E8,1.2357910488664578E12,0.5863280201522173,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,7,-2.9378130386512506E8,-1.3677537266492346E8,1.202482626428684E12,0.5917560857700684,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,8,-2.910233418340582E8,-1.3236795040776175E8,1.1637341370844915E12,0.5980310992037733,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,9,-2.8832365364523494E8,-1.2772834478309654E8,1.1229443899882595E12,0.6046072669528496,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,10,-2.8573773918113405E8,-1.2307321184941247E8,1.0820180782715089E12,0.6111094017661802,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,11,-2.832904916475991E8,-1.1852294813458693E8,1.0420137475556648E12,0.6173535326699826,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,12,-2.809900092817291E8,-1.141423014520108E8,1.0035005745235295E12,0.6232919854884075,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,13,-2.788353525202434E8,-1.09963325076631E8,9.667605101740359E11,0.6288569823921829,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,14,-2.768208064858945E8,-1.0599875313308696E8,9.319053183708682E11,0.6340297112497439,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,15,-2.749383492658157E8,-1.0224993284679829E8,8.989469832390848E11,0.6388404963105678,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,16,-2.731790124338924E8,-9.871164308782916E7,8.678395334291958E11,0.6433158081103652,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,17,-2.7153365658498544E8,-9.537498687216933E7,8.385047861098594E11,0.6475015355295393,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,18,-2.6999339410986847E8,-9.222919830893E7,8.10848040404603E11,0.6514287020320548,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,19,-2.685498361806151E8,-8.92627353681557E7,7.847679213974661E11,0.6551226050632742,6,60,1800,1.6666666666666667,0.0016666666666666668
1.6666666666666667,0.0016666666666666668,20,-2.6719516898494133E8,-8.646394902390529E7,7.601619570606483E11,0.6586045140263755,6,60,1800,1.6666666666666667,0.0016666666666666668
