% Model,seg_far_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Jun 14 2021, 15:35"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),r_r (Ω),"ec.Ey*ec.Jy (W/m^3), Channel Faraday Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Average Power","abs(ec.Ey/(u_x*B_app)) (1), K ",Max Applied Magnetic Field Strength (T),Conductivity of plasma (S/m),Max fluid flow (m/s),Electron mobility within plasma (m^2/(V*s)),Ion mobility within plasma (m^2/(V*s))
1.6666666666666667,0.008333333333333333,2,-5.51818578319255E8,8.156499813958965E11,0.5312832576045915,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,3,-7.262200005844624E8,9.377962814049164E11,0.5240088244563113,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,4,-8.323432290596497E8,9.892426782961517E11,0.5233333519049306,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,5,-8.985123906618953E8,1.0028234218349908E12,0.5263023313779308,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,6,-9.401951394862179E8,9.956151492609414E11,0.5312823753693812,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,7,-9.663225768514446E8,9.769602275567943E11,0.5373273667975177,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,8,-9.822959325459338E8,9.521612083006047E11,0.5438796340958578,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,9,-9.914923826014643E8,9.243069945954476E11,0.5506814393964878,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,10,-9.960972877170268E8,8.952266096663676E11,0.5574664182343896,6,60,1800,1.6666666666666667,0.008333333333333333
