% Model,seg_far_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Jun 4 2021, 18:16"
% Table,Accumulated Probe Table 3 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),r_r (Ω),"ec.Ey*ec.Jy (W/m^3), Channel Faraday Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Channel Total Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Average Power","abs(ec.Ey/(U_x(y)*B_z(x))) (V/m), K ","Max Applied Magnetic Field Strength (T), Applied Magnetic Field","Conductivity of plasma (S/m), Conductivity","Max fluid flow (m/s), Flow","Electron mobility within plasma (m^2/(V*s)), Electron mobility","Ion mobility within plasma (m^2/(V*s)), Ion Mobility"
1.6666666666666667,0.008333333333333333,10,-2.365681984904157E8,-1.0317323415300079E8,9.070636849017322E11,0.5574948409339495,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,11,-2.3517668441976497E8,-9.971789683364081E7,8.766855384897012E11,0.5641069594369779,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,12,-2.338096805099304E8,-9.633772041927092E7,8.46968148221128E11,0.5704146749414399,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,13,-2.3248517349362332E8,-9.30723083131678E7,8.182604063716111E11,0.5763924222134609,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,14,-2.3121288389771006E8,-8.994260134558004E7,7.907451095200381E11,0.582002289242487,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,15,-2.2999748365718487E8,-8.695786548309828E7,7.645043360668317E11,0.5872421789918236,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,16,-2.288404598702011E8,-8.412024305987863E7,7.395568807605149E11,0.592113704528851,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,17,-2.2774135255191028E8,-8.142752364825438E7,7.158834521035441E11,0.5966395192194118,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,18,-2.2669853058460358E8,-7.887491460177222E7,6.934417657407178E11,0.6008557681583739,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,19,-2.2570967802048346E8,-7.645615693122995E7,6.721768756834674E11,0.6048039965420398,6,60,1800,1.6666666666666667,0.008333333333333333
1.6666666666666667,0.008333333333333333,20,-2.2477212922945666E8,-7.416428296220142E7,6.520274763408185E11,0.6085159943386153,6,60,1800,1.6666666666666667,0.008333333333333333
