,B.x,B.y,B.z,H.x,H.y,H.z,M.x,M.y,M.z
0,0.0,0.0,1.862578573122196e-12,0.0,0.0,1.4821540843039113e-06,0.0,0.0,0.0
1,0.0,0.0,1.251795675706356e-12,0.0,0.0,9.961212376410324e-07,0.0,0.0,0.0
2,0.0,0.0,1.839441746203754e-12,0.0,0.0,1.4637428650351754e-06,0.0,0.0,0.0
3,0.0,0.0,1.711780937998609e-12,0.0,0.0,1.362156284464982e-06,0.0,0.0,0.0
4,0.0,0.0,1.3067790349657515e-12,0.0,0.0,1.0398744578654313e-06,0.0,0.0,0.0
5,0.0,0.0,1.920787144509536e-12,0.0,0.0,1.5284737795201095e-06,0.0,0.0,0.0
6,0.0,0.0,1.7071297900598513e-12,0.0,0.0,1.3584551155512994e-06,0.0,0.0,0.0
7,0.0,0.0,1.4258518018295095e-12,0.0,0.0,1.1346270714105608e-06,0.0,0.0,0.0
8,0.0,0.0,1.9922350127987127e-12,0.0,0.0,1.585328696315431e-06,0.0,0.0,0.0
9,0.0,0.0,1.8430063500853985e-12,0.0,0.0,1.466579412324157e-06,0.0,0.0,0.0
10,0.0,0.0,1.5219917852380638e-12,0.0,0.0,1.2111308340599074e-06,0.0,0.0,0.0
11,0.0,0.0,1.907069511418017e-12,0.0,0.0,1.5175579200729047e-06,0.0,0.0,0.0
12,0.0,0.0,2.0101906532073523e-12,0.0,0.0,1.5996169664329954e-06,0.0,0.0,0.0
13,0.0,0.0,1.6362171088465555e-12,0.0,0.0,1.3020260759360496e-06,0.0,0.0,0.0
14,0.0,0.0,1.7639278955489425e-12,0.0,0.0,1.4036524270882112e-06,0.0,0.0,0.0
15,0.0,0.0,2.2092979213146215e-12,0.0,0.0,1.7580573430690805e-06,0.0,0.0,0.0
16,0.0,0.0,2.0885002130180226e-12,0.0,0.0,1.6619321007249498e-06,0.0,0.0,0.0
17,0.0,0.0,1.8176973838380875e-12,0.0,0.0,1.4464397048056273e-06,0.0,0.0,0.0
18,0.0,0.0,2.0820429402011437e-12,0.0,0.0,1.6567937009725255e-06,0.0,0.0,0.0
19,0.0,0.0,2.581090608866389e-12,0.0,0.0,2.0539128083477674e-06,0.0,0.0,0.0
20,0.0,0.0,2.4245970895501073e-12,0.0,0.0,1.929382486691102e-06,0.0,0.0,0.0
21,0.0,0.0,1.851485380118969e-12,0.0,0.0,1.4733266331805238e-06,0.0,0.0,0.0
22,0.0,0.0,2.1927480721117155e-12,0.0,0.0,1.7448877367262014e-06,0.0,0.0,0.0
23,0.0,0.0,3.3727214732799836e-12,0.0,0.0,2.6838561223551e-06,0.0,0.0,0.0
24,0.0,0.0,3.093167637833126e-12,0.0,0.0,2.4614000794425953e-06,0.0,0.0,0.0
25,0.0,0.0,1.3155086291037712e-12,0.0,0.0,1.0468210660744437e-06,0.0,0.0,0.0
26,0.0,0.0,2.1619604437164825e-12,0.0,0.0,1.720388362669979e-06,0.0,0.0,0.0
