,E.x,E.y,E.z
0,0.0,0.0,0.0
1,0.0,7.220332037406638e-21,0.0
2,0.0,5.909678410034309e-20,0.0
3,0.0,4.521000894337484e-19,0.0
4,0.0,3.2722980623714043e-18,0.0
5,0.0,2.2401795311985454e-17,0.0
6,0.0,1.4497780996514804e-16,0.0
7,0.0,8.864792263515295e-16,0.0
8,0.0,5.118325644025538e-15,0.0
9,0.0,2.788748476117455e-14,0.0
10,0.0,1.4329469248675613e-13,0.0
11,0.0,6.939004760476327e-13,0.0
12,0.0,3.164537610236456e-12,0.0
13,0.0,1.358205327447024e-11,0.0
14,0.0,5.482263949947177e-11,0.0
15,0.0,2.0796876389209146e-10,0.0
16,0.0,7.409665107593836e-10,0.0
17,0.0,2.4780103336853107e-09,0.0
18,0.0,7.774760597787315e-09,0.0
19,0.0,2.2875534352929373e-08,0.0
20,0.0,6.310094466173186e-08,0.0
21,0.0,1.6316786963754018e-07,0.0
22,0.0,3.955576966690251e-07,0.0
23,0.0,8.993027234582938e-07,0.0
24,0.0,1.9185828731741764e-06,0.0
25,0.0,3.8442448317762185e-06,0.0
26,0.0,7.242581971078419e-06,0.0
27,0.0,1.2847927551629155e-05,0.0
28,0.0,2.1494384166282666e-05,0.0
29,0.0,3.397220350808197e-05,0.0
30,0.0,5.08163357857736e-05,0.0
31,0.0,7.206240094243736e-05,0.0
32,0.0,9.702803477140015e-05,0.0
33,0.0,0.0001241847964375896,0.0
34,0.0,0.00015117268886593867,0.0
35,0.0,0.00017497887650104986,0.0
36,0.0,0.000192263882972568,0.0
37,0.0,0.00019978418978404278,0.0
38,0.0,0.0001948392332632603,0.0
39,0.0,0.00017566760920932606,0.0
40,0.0,0.00014173046205383886,0.0
41,0.0,9.384404417398578e-05,0.0
42,0.0,3.415112734547064e-05,0.0
43,0.0,-3.405412475343015e-05,0.0
44,0.0,-0.00010661532695636713,0.0
45,0.0,-0.00017887536920798428,0.0
46,0.0,-0.0002460673218655899,0.0
47,0.0,-0.00030369655358713664,0.0
48,0.0,-0.00034788386690856447,0.0
49,0.0,-0.00037564829180247955,0.0
50,0.0,-0.00038511606168525333,0.0
51,0.0,-0.00037564829180247955,0.0
52,0.0,-0.00034788386690856447,0.0
53,0.0,-0.00030369655358713664,0.0
54,0.0,-0.0002460673218655899,0.0
55,0.0,-0.00017887536920798428,0.0
56,0.0,-0.00010661532695636713,0.0
57,0.0,-3.405412475343015e-05,0.0
58,0.0,3.415112734547064e-05,0.0
59,0.0,9.384404417398578e-05,0.0
60,0.0,0.00014173046205383886,0.0
61,0.0,0.00017566760920932606,0.0
62,0.0,0.0001948392332632603,0.0
63,0.0,0.00019978418978404278,0.0
64,0.0,0.000192263882972568,0.0
