% Model,Evan_segmented_faraday_v6_suboptimal.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 9 2021, 10:02"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.016666666666666666,0,0.48366338230278216,1800,6,60,623116.2115851236,214.3701751670823,7.597864407350337,-529729.4356810225,-93387.14755758886,5,50,-2.4088700169119054E8
0.016666666666666666,0.008,0.48395789250307647,1800,6,60,623877.8206754087,213.63057160094675,7.548842809154638,-530377.7017848068,-93500.49923507775,5,50,-2.4118130963601905E8
0.016666666666666666,0.012,0.4841052701085443,1800,6,60,624259.1166455771,213.25996414764114,7.524350805865655,-530702.2687408203,-93557.24964658354,5,50,-2.413286604799154E8
0.035907244833864725,0,0.48142613861702543,1800,6,60,617341.1980450508,209.9779970780703,8.045477598334204,-524833.5568562766,-92507.93189584145,5,50,-2.3865980924135387E8
0.035907244833864725,0.008,0.4820318354436069,1800,6,60,618900.7081013494,208.3346333173061,7.943799359928295,-526161.3949835411,-92739.74293987421,5,50,-2.3926257882556295E8
0.035907244833864725,0.012,0.48233504098640556,1800,6,60,619682.1217509364,207.5083279103422,7.893046786721096,-526826.5885127172,-92855.86350452805,5,50,-2.3956454085792732E8
0.07735981389354629,0,0.4713102520252774,1800,6,60,591564.3621080791,188.05464774208147,10.130204487233142,-502975.9597599069,-88589.0393939455,5,50,-2.2871552027825454E8
0.07735981389354629,0.008,0.47233521947342305,1800,6,60,594148.2448628561,183.87957993872274,9.955481586800557,-505178.2843617714,-88970.41575670522,5,50,-2.297145997378774E8
0.07735981389354629,0.012,0.47284438542352003,1800,6,60,595433.9027070943,181.7564996536933,9.86922736212937,-506274.1705193908,-89160.1019059552,5,50,-2.3021172556656325E8
0.16666666666666666,0,0.4294719297693539,1800,6,60,490798.42694100365,75.82243560418196,20.02892212034583,-417483.31251175737,-73315.54478695958,5,50,-1.8980871084977272E8
0.16666666666666666,0.008,0.429368361015069,1800,6,60,490556.0630586714,59.05363361954938,20.177662207089053,-417295.5482407137,-73261.1061706207,5,50,-1.8971580888025326E8
0.16666666666666666,0.012,0.42922205930384616,1800,6,60,490218.0655601821,50.12945406167284,20.27715847093594,-417017.24735323846,-73201.10844629351,5,50,-1.8958529725717834E8
0.3590724483386472,0,0.3044428412861096,1800,6,60,245789.66938658463,-260.01866654624735,54.02761692749663,-209468.3706861458,-36321.439003392465,5,50,-9.511926347115237E7
0.3590724483386472,0.008,0.2943416692614619,1800,6,60,229669.31969998433,-319.7353730116698,56.63191148438589,-195797.88077617603,-33871.565643953465,5,50,-8.887944423393424E7
0.3590724483386472,0.012,0.28846969713345316,1800,6,60,220551.3717096947,-352.9222343200675,58.04893362911141,-188064.36079111297,-32487.13285223761,5,50,-8.534976704110496E7
0.7735981389354629,0,0.13012780580764952,1800,6,60,44382.538236694716,-394.0375770749597,75.24985129141514,-38210.53513729519,-6172.028000421314,5,50,-1.7223521550688062E7
0.7735981389354629,0.008,0.10847631736699882,1800,6,60,30757.2330545819,-438.0844793753207,69.77038146591005,-26637.582729760878,-4119.667358649195,5,50,-1.194057665084226E7
0.7735981389354629,0.012,0.09633597714450741,1800,6,60,24212.48186983694,-466.74327420795197,65.6563398802464,-21086.52849318975,-3125.965601938402,5,50,-9402473.43584683
1.6666666666666667,0,0.03614471027108684,1800,6,60,3312.295643179914,-201.80901889214877,36.160999418178356,-3023.2141479795546,-289.08311355133617,5,50,-1298893.6947753364
1.6666666666666667,0.008,0.019948835510658815,1800,6,60,977.4455395319129,-220.4738955816387,21.256295989857268,-1046.7726426660947,69.32650398988598,5,50,-385252.29230653355
1.6666666666666667,0.012,0.011730568848155805,1800,6,60,299.5860058071884,-247.61266636272973,14.579262928204159,-494.125982301439,194.53975689692984,5,50,-118678.44493951237
