% Model,Evan_segmented_faraday_v6_suboptimal.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 9 2021, 08:29"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm)
0.016666666666666666,0,0.483663382429008,1800,6,60,623116.2118894531,-529951.4029211083,214.37016462656092,7.597864292858559,-529729.4348921863,-93387.14753732394,5,50
0.016666666666666666,0.008,0.48395789301315695,1800,6,60,623877.822020147,-530598.8779498928,213.63058206804132,7.548842751645401,-530377.69852509,-93500.4985721309,5,50
0.016666666666666666,0.012,0.48410526972761475,1800,6,60,624259.1157147248,-530923.0554050043,213.2599960655965,7.524351006114942,-530702.2710579355,-93557.24985854913,5,50
0.035907244833864725,0,0.48142613713994864,1800,6,60,617341.1942485833,-525051.5892037333,209.97800611745726,8.045477976391714,-524833.5657196492,-92507.933406973,5,50
0.035907244833864725,0.008,0.48203183302583447,1800,6,60,618900.7019010957,-526377.6880398481,208.33466348128613,7.943799916783215,-526161.40957645,-92739.74542435442,5,50
0.035907244833864725,0.012,0.48233504061470833,1800,6,60,619682.1207984115,-527041.992175706,207.50833150046083,7.893046860213506,-526826.590797346,-92855.86385789378,5,50
0.07735981389354629,0,0.4713102577346651,1800,6,60,591564.3765221226,-503174.11666178075,188.0546311017116,10.130203461719876,-502975.93182720855,-88589.03429062296,5,50
0.07735981389354629,0.008,0.4723352207489655,1800,6,60,594148.2480581116,-505372.11314419104,183.87955472872542,9.955481378862077,-505178.2781080926,-88970.41462708382,5,50
0.07735981389354629,0.012,0.472844385261726,1800,6,60,595433.9022516849,-506465.7974845742,181.75644667680228,9.869228005897472,-506274.171809871,-89160.1017856632,5,50
0.16666666666666666,0,0.42947193138518647,1800,6,60,490798.4306116012,-417579.16028787097,75.8223902940137,20.028922227974785,-417483.3089753445,-73315.54397103569,5,50
0.16666666666666666,0.008,0.4293683619100876,1800,6,60,490556.0651276476,-417374.77752154286,59.05362916500498,20.17766257660365,-417295.54622980877,-73261.10568698458,5,50
0.16666666666666666,0.012,0.4292220594345047,1800,6,60,490218.06590913155,-417087.6535302955,50.12949223012739,20.277158221990845,-417017.24687984394,-73201.10844910034,5,50
0.3590724483386472,0,0.30444284584619885,1800,6,60,245789.67678980227,-209262.37895649663,-260.01864505820595,54.027614119835995,-209468.3699874337,-36321.438948701856,5,50
0.3590724483386472,0.008,0.29434166040221205,1800,6,60,229669.30575981518,-195534.77822832623,-319.73551305069344,56.63192233046672,-195797.881819045,-33871.56541564909,5,50
0.3590724483386472,0.012,0.2884696968560851,1800,6,60,220551.3713393662,-187769.4874230152,-352.92217107200463,58.0489319142864,-188064.3606621733,-32487.132990985916,5,50
0.7735981389354629,0,0.13012780634280427,1800,6,60,44382.53861170799,-37891.74752471535,-394.0375881054676,75.24985290738763,-38210.53525991324,-6172.028005454019,5,50
0.7735981389354629,0.008,0.10847631754875323,1800,6,60,30757.23319740243,-26269.2686429573,-438.08439784624505,69.77037546129627,-26637.582665341808,-4119.667478774617,5,50
0.7735981389354629,0.012,0.09633597365064268,1800,6,60,24212.480084426552,-20685.440961099284,-466.7432629653155,65.65633806099665,-21086.527886003136,-3125.965506694041,5,50
1.6666666666666667,0,0.03614471050580653,1800,6,60,3312.295684764254,-2857.5661462110147,-201.80901356338248,36.16099833791148,-3023.214161436526,-289.08312089640185,5,50
1.6666666666666667,0.008,0.019948834971146495,1800,6,60,977.445481455057,-847.5550194166238,-220.47389717564528,21.256296092437548,-1046.7726204998398,69.3265096930022,5,50
1.6666666666666667,0.012,0.011730568972517414,1800,6,60,299.58600380713915,-261.09257826199655,-247.61266006950936,14.579262654795667,-494.12597567670446,194.53975147726294,5,50
