% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 1 2021, 13:04"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm)
0.09,1.6666666666666667,0,0.2016352647635952,1800,6,60,9269848.075822916,-1.0094084816354844E8,-361383.35132663103,246578.14032972069,-1.0105565337454666E8,9.178640409477739E7,250,90
0.09,1.6666666666666667,0.012,0.3202223421072522,1800,6,60,9420439.136886533,-3.6109741873642206E8,-2005981.604950626,1189273.3257922723,-3.6191412701558006E8,3.5249436839524287E8,250,90
0.091,1.6666666666666667,0,0.21244760209756533,1800,6,60,1.0695035213101948E7,-1.0430672869665335E8,-373834.6045218357,276209.2262523458,-1.0440435407492264E8,9.371000686215846E7,250,91
0.091,1.6666666666666667,0.012,0.32424546829644324,1800,6,60,1.0878269019113487E7,-3.7274533189114004E8,-2042171.301321416,1325389.8481539749,-3.734621133443039E8,3.6258461635821307E8,250,91
0.092,1.6666666666666667,0,0.2212843437356786,1800,6,60,1.1922876136309152E7,-1.0657078167796424E8,-363000.5832281327,296550.08552444953,-1.066372321756675E8,9.471512343009405E7,250,92
0.092,1.6666666666666667,0.012,0.32747393314185513,1800,6,60,1.2135525613571946E7,-3.8056753277476054E8,-1908133.238102559,1407422.553351102,-3.8106824345950806E8,3.68933572549214E8,250,92
0.093,1.6666666666666667,0,0.2283081973836945,1800,6,60,1.2935750550884401E7,-1.0805524948295946E8,-347302.2570087771,308265.3602180546,-1.0809428637974967E8,9.515936611403215E7,250,93
0.093,1.6666666666666667,0.012,0.32990390707783246,1800,6,60,1.3173708540526524E7,-3.856245977446541E8,-1781870.2185056838,1443454.9391286066,-3.859630130240278E8,3.7279022531019706E8,250,93
0.094,1.6666666666666667,0,0.23373162662717542,1800,6,60,1.3737241243379068E7,-1.0901245790622453E8,-329002.37540451984,313253.0307881824,-1.090282072508403E8,9.529185119869842E7,250,94
0.094,1.6666666666666667,0.012,0.3317301483430183,1800,6,60,1.3996052565168291E7,-3.8885067448299074E8,-1648807.8683871746,1446482.6413992487,-3.890529997099771E8,3.750579187452003E8,250,94
0.095,1.6666666666666667,0,0.23780225549287679,1800,6,60,1.4348133414683301E7,-1.0962142302382016E8,-312790.3076742807,313714.44909245573,-1.0962049888240217E8,9.527328505900249E7,250,95
0.095,1.6666666666666667,0.012,0.33304098455376135,1800,6,60,1.4623460038828943E7,-3.908701920414778E8,-1541518.682854313,1429734.4201474371,-3.9098197630417866E8,3.763595245991634E8,250,95
0.096,1.6666666666666667,0,0.24077113833776168,1800,6,60,1.4797568412677132E7,-1.1000725219437961E8,-298525.41094940423,311556.9513068821,-1.099942206540229E8,9.519760488577972E7,250,96
0.096,1.6666666666666667,0.012,0.3339691217491379,1800,6,60,1.5085499358144555E7,-3.9213908877642924E8,-1445491.7739812885,1403781.5117780755,-3.92180799038632E8,3.7709633882797664E8,250,96
0.097,1.6666666666666667,0,0.24287297313752934,1800,6,60,1.511745003969206E7,-1.1025173989361988E8,-286481.3692115389,308242.21956373774,-1.1022997904326686E8,9.511349994774584E7,250,97
0.097,1.6666666666666667,0.012,0.3346184293984171,1800,6,60,1.5414667030279418E7,-3.9294459868506384E8,-1358600.4580135364,1375958.4343885242,-3.9292724070868933E8,3.7751362902534914E8,250,97
0.098,1.6666666666666667,0,0.24432068729735812,1800,6,60,1.5338392650953919E7,-1.1040604539909604E8,-278216.3414084108,304717.2546418898,-1.1037954448586287E8,9.50421383922708E7,250,98
0.098,1.6666666666666667,0.012,0.3350512368236732,1800,6,60,1.5642224258584201E7,-3.9344511275941783E8,-1301749.4558001778,1350509.3308345156,-3.933963528843808E8,3.777551961985366E8,250,98
0.099,1.6666666666666667,0,0.24529193986144482,1800,6,60,1.5486615559994394E7,-1.1050334193425886E8,-273069.31662927626,301530.60297601396,-1.1047488064791207E8,9.498925776289701E7,250,99
0.099,1.6666666666666667,0.012,0.3353289780593759,1800,6,60,1.5795003759750023E7,-3.937542757373791E8,-1269066.568329457,1329408.3540544906,-3.9369393395166093E8,3.7790001605950475E8,250,99
0.09999999999999999,1.6666666666666667,0,0.24592914962625637,1800,6,60,1.5583588827597566E7,-1.1056534358016776E8,-269912.829412634,298914.3575205452,-1.1053634205206081E8,9.495375444978505E7,250,99.99999999999999
0.09999999999999999,1.6666666666666667,0.012,0.3355054286577417,1800,6,60,1.5895014653993338E7,-3.939496522993535E8,-1249348.6404193179,1313101.2432696503,-3.938858996965089E8,3.77991973312951E8,250,99.99999999999999
