% Model,Evan_continuous_faraday_v6.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 10 2021, 09:39"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0.16666666666666666,0,4.503179074803447E7,0.05348277102432054,1800,6,60
0.16666666666666666,0.003,4.503483223813697E7,0.05381759358183927,1800,6,60
0.16666666666666666,0.006,4.502086678925075E7,0.0541406640794979,1800,6,60
0.16666666666666666,0.009000000000000001,4.49920219018408E7,0.05445426667931639,1800,6,60
0.16666666666666666,0.012,4.494892813360357E7,0.05475769042219626,1800,6,60
0.16666666666666666,0.015,4.489191316875462E7,0.05505138277568884,1800,6,60
0.8333333333333334,0,1854510.464669918,0.01850034624514192,1800,6,60
0.8333333333333334,0.003,2172980.9292100063,0.019915636807612987,1800,6,60
0.8333333333333334,0.006,2504742.162276839,0.02129129130559664,1800,6,60
0.8333333333333334,0.009000000000000001,2846890.8501037005,0.022627659328678978,1800,6,60
0.8333333333333334,0.012,3196673.9085562364,0.023925059295357966,1800,6,60
0.8333333333333334,0.015,3551476.571850169,0.025184719586851697,1800,6,60
1.6666666666666667,0,222214.7851813763,0.009851084368967068,1800,6,60
1.6666666666666667,0.003,315379.30809045443,0.011495759910062775,1800,6,60
1.6666666666666667,0.006,423116.88531202485,0.013096754439692092,1800,6,60
1.6666666666666667,0.009000000000000001,544195.5156877688,0.014655036803233178,1800,6,60
1.6666666666666667,0.012,677271.0606548503,0.016171507784506756,1800,6,60
1.6666666666666667,0.015,820936.3613103064,0.017646783392538862,1800,6,60
