% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 8 2021, 07:22"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.035,1.6666666666666667,0,0.8217562191060728,1800,6,60,1427794.9907884602,-96477.81514676688,76541.11252898685,-1332528.3914063927,-95267.18429834813,100,35,-5.966325858130069E8
0.037000000000000005,1.6666666666666667,0,0.8212727219976098,1800,6,60,1424843.8814082337,-97635.01104974333,76408.24362880427,-1343602.9207381285,-81241.61468524176,100,37.00000000000001,-6.010800696896311E8
0.03900000000000001,1.6666666666666667,0,0.8208055508802174,1800,6,60,1421910.7834098611,-98771.88916372672,76274.06649580627,-1354612.1543778502,-67299.30292047127,100,39.00000000000001,-6.055065144136101E8
0.041,1.6666666666666667,0,0.8203553399018652,1800,6,60,1418999.3392750872,-99887.61784519687,76138.78172114475,-1365541.4046219885,-53458.51586555969,100,41,-6.099057129536129E8
0.043000000000000003,1.6666666666666667,0,0.8199228772017705,1800,6,60,1416111.3132235461,-100981.47508758046,76002.81927870003,-1376378.3487727514,-39733.926673206755,100,43,-6.142725877108538E8
0.045000000000000005,1.6666666666666667,0,0.8195080403121668,1800,6,60,1413250.553397405,-102053.18476330837,75866.36502829344,-1387111.8616311164,-26139.84137880482,100,45.00000000000001,-6.186022917709544E8
0.047,1.6666666666666667,0,0.8191136215339435,1800,6,60,1410419.8050772683,-103102.08264649042,75729.72903062843,-1397731.3159159904,-12689.478641425325,100,47,-6.228904374091547E8
0.049,1.6666666666666667,0,0.8187386707017715,1800,6,60,1407620.940665549,-104127.98578738241,75593.19794936896,-1408226.4079874067,604.4442597303278,100,49,-6.271325546133655E8
0.051000000000000004,1.6666666666666667,0,0.81838355781993,1800,6,60,1404856.3447529403,-105130.57078205733,75456.99794915729,-1418588.7300449426,13731.16956974905,100,51.00000000000001,-6.313250714600241E8
0.053000000000000005,1.6666666666666667,0,0.8180496731450018,1800,6,60,1402128.1678739102,-106109.2750909187,75321.35014871988,-1428810.0508313454,26680.82643549553,100,53.00000000000001,-6.354646026768856E8
0.05500000000000001,1.6666666666666667,0,0.8177355077258625,1800,6,60,1399437.9320626957,-107064.57476749796,75186.44324485036,-1438883.6406791,39444.91748333861,100,55.00000000000001,-6.395479587074838E8
0.057,1.6666666666666667,0,0.8174414305914407,1800,6,60,1396787.3175396896,-107996.35337734527,75052.39810560753,-1448803.8820142648,52016.09004897545,100,57,-6.435726939738773E8
