% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 16 2021, 13:21"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio (1)
0.016666666666666666,0,0.9926493110284599,1800,6,60,656747.2708712529,1.946574887191274,0.060096159217487094,-556156.6633896509,-100552.18291103245,5,500,-5.055987909642678E7,100
0.035907244833864725,0,0.9923866090665427,1800,6,60,656399.5071814568,1.8345785659136353,0.06524786056182721,-555864.3240038576,-100496.16391837475,5,500,-5.053329307548108E7,100
0.07735981389354629,0,0.9911691676164106,1800,6,60,654789.0640995519,1.2209583172878342,0.08996494496981418,-554513.9058060914,-100238.8632489306,5,500,-5.04104742481223E7,100
0.16666666666666666,0,0.9855601276166679,1800,6,60,647394.9078600437,-3.2068148963460024,0.22396117799419704,-548285.0066468923,-99077.2936514735,5,500,-4.984382034483559E7,100
0.3590724483386472,0,0.9603709688489426,1800,6,60,614707.967532953,-41.54830895163465,1.1117021614062839,-520635.3512241954,-94037.65010766794,5,500,-4.7326810419764206E7,100
0.7735981389354629,0,0.8587463045306796,1800,6,60,491446.8934325042,-290.03816616923035,6.841057139426447,-416412.0452781765,-75008.74813396516,5,500,-3.7829895288104095E7,100
1.6666666666666667,0,0.5762900008304626,1800,6,60,221265.19927991196,-858.008934395528,22.220484797276455,-188152.44388961198,-33100.77569237098,5,500,-1.7028786858183067E7,100
