% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph,,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,,
% Date,"Mar 15 2021, 14:46",,,,,,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,,,,,
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),cw_eh_ratio,"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.13,1.66666666666667,0,50,0.929514357915128,1800,6,60,142845.321867457,11784.2843787878,3420.92318175317,-2586023.8611318,2443178.826162,100,130,-472950739.762249,50
0.13,1.66666666666667,0,100,0.914367540325663,1800,6,60,554673.465468991,6765.97178670714,7102.28452728681,-6048484.57390302,5493827.75127978,100,130,-551122984.565182,100
0.14,1.66666666666667,0,10,0.967001107320224,1800,6,60,6196.47844951971,945.270581256639,115.570753177583,-264305.286574722,258108.777669702,100,140,-241241934.46287,10
0.14,1.66666666666667,0,50,0.929356686343365,1800,6,60,142774.362464903,12924.1223827851,3869.44338648595,-2600827.46353744,2458052.80148477,100,140,-475931096.237589,50
0.14,1.66666666666667,0,100,0.912050552533861,1800,6,60,551826.723042961,7882.92609518822,7942.0236951171,-6201729.70951039,5649908.90540326,100,140,-565232241.754607,100
0.15,1.66666666666667,0,10,0.970215393190941,1800,6,60,6249.81127318564,986.765802585914,163.044329897934,-243525.54688417,237275.656812094,100,150,-222432142.742413,10
0.15,1.66666666666667,0,50,0.92953496930918,1800,6,60,142872.14561026,14075.1695480612,4439.60766012868,-2601142.98337543,2458272.10653912,100,150,-476301411.015207,50
0.15,1.66666666666667,0,100,0.909945378559818,1800,6,60,549369.722299415,9130.11411036699,8747.62883139446,-6337051.99367031,5787696.97252598,100,150,-577720885.146549,100
0.16,1.66666666666667,0,10,0.975617073037192,1800,6,60,6332.213674569,969.026673092771,289.349635863327,-213430.468026957,207098.222121537,100,160,-195171676.669012,10
0.16,1.66666666666667,0,50,0.930036032520759,1800,6,60,143121.186404043,15125.7947237686,5152.06828415342,-2589718.93884461,2446599.73556737,100,160,-474544873.064102,50
0.16,1.66666666666667,0,100,0.908065588636235,1800,6,60,547286.032895315,10411.4138352751,9517.13555445725,-6455949.22359585,5908667.84609184,100,160,-588716161.180503,100
0.17,1.66666666666667,0,10,0.983491761543515,1800,6,60,6448.6871475065,793.769720205654,596.535155764349,-174115.702770673,167667.068536823,100,170,-159550916.042404,10
0.17,1.66666666666667,0,50,0.930848952082184,1800,6,60,143500.576761384,15915.3701328378,6028.37136370659,-2569379.65009379,2425880.35708921,100,170,-471149707.561885,50
0.17,1.66666666666667,0,100,0.906418961216493,1800,6,60,545551.234769276,11587.5256615372,10260.3769665876,-6560052.40081064,6014498.28369926,100,170,-598354573.039886,100
