% Model,Evan_continuous_faraday_v6.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 10 2021, 10:10"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0.16666666666666666,0,-5.984361308850579E8,0.7845350327286315,1800,6,60
0.16666666666666666,0.003,-5.983820938567455E8,0.7844059565734215,1800,6,60
0.16666666666666666,0.006,-5.982538684105763E8,0.7842277913250217,1800,6,60
0.16666666666666666,0.009000000000000001,-5.980482076216145E8,0.7840024740974986,1800,6,60
0.16666666666666666,0.012,-5.977708405778793E8,0.78373341467903,1800,6,60
0.16666666666666666,0.015,-5.97423722059975E8,0.7834230323815312,1800,6,60
0.8333333333333334,0,-4.853850829599019E7,0.229831490105798,1800,6,60
0.8333333333333334,0.003,-5.464365514660374E7,0.24370536570083837,1800,6,60
0.8333333333333334,0.006,-6.071599510682779E7,0.2567309925363535,1800,6,60
0.8333333333333334,0.009000000000000001,-6.6718112107180454E7,0.2689573601407572,1800,6,60
0.8333333333333334,0.012,-7.261861501882724E7,0.2804302543698738,1800,6,60
0.8333333333333334,0.015,-7.839202534042993E7,0.2911926758160984,1800,6,60
1.6666666666666667,0,-4659452.295438458,0.0732947415360004,1800,6,60
1.6666666666666667,0.003,-6250954.773556731,0.08485173588336993,1800,6,60
1.6666666666666667,0.006,-7999303.992932529,0.09592973372133301,1800,6,60
1.6666666666666667,0.009000000000000001,-9879315.570531102,0.1065371314295341,1800,6,60
1.6666666666666667,0.012,-1.1867425466804652E7,0.11668314538520001,1800,6,60
1.6666666666666667,0.015,-1.3941864093823737E7,0.12637772734343744,1800,6,60
