% Model,Evan_segmented_faraday_v6_suboptimal_v4.mph,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,
% Date,"Mar 8 2021, 09:27",,,,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,,,
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.049,1.66666666666667,0,0.806935879624194,1800,6,60,5410206.8171603,-414468.512269848,587721.22366365,-5394186.30281421,-16024.4437305363,100,49,-592280746.19235
0.0495,1.66666666666667,0,0.806905613998005,1800,6,60,5409441.51027056,-415137.723074553,587640.409279854,-5397400.41995688,-12045.0285318418,100,49.5,-592542883.634283
0.05,1.66666666666667,0,0.806875737261066,1800,6,60,5408678.37235356,-415805.594364056,587559.661393803,-5400605.58507699,-8076.72563569176,100,50,-592804218.309232
0.0505,1.66666666666667,0,0.806846222317584,1800,6,60,5407917.42646588,-416472.113029074,587478.986765585,-5403801.61116992,-4119.76362627657,100,50.5,-593064732.436856
0.051,1.66666666666667,0,0.806817090468378,1800,6,60,5407158.72065998,-417137.25566396,587398.390755498,-5406988.31552561,-174.36558343799,100,51,-593324409.640126
0.0515,1.66666666666667,0,0.806788381280663,1800,6,60,5406402.30036103,-417800.998808149,587317.880424891,-5410165.52003709,3759.25034020678,100,51.5,-593583234.2185
0.052,1.66666666666667,0,0.806760048410287,1800,6,60,5405648.18538351,-418463.331434637,587237.461024755,-5413333.04852218,7680.86999798222,100,52,-593841189.160889
0.0525,1.66666666666667,0,0.806732113870628,1800,6,60,5404896.55477013,-419124.072682826,587157.161550946,-5416490.71211815,11590.2782307465,100,52.5,-594098276.700671
0.053,1.66666666666667,0,0.80670454110599,1800,6,60,5404147.2003242,-419783.497778807,587076.939544961,-5419638.36785322,15487.2606282654,100,53,-594354447.831852
