% Model,Evan_segmented_faraday_v7_poster.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 9 2021, 16:48"
% Table,Probe Table 1 - 
% mob_e (T),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.016666666666666666,0,0.48366338357989813,1800,6,60,623116.214885096,214.37016696283433,7.597864149676063,-529729.4276717147,-93387.14616025964,5,50,-2.4088699804674852E8
0.035907244833864725,0,0.48142613888774904,1800,6,60,617341.198761481,209.97800838095816,8.045477576005714,-524833.5551668459,-92507.93157418832,5,50,-2.3865980847855777E8
0.07735981389354629,0,0.47131025686157113,1800,6,60,591564.3743112336,188.05464324610756,10.130203225649664,-502975.93593702494,-88589.03526675902,5,50,-2.287155094470583E8
0.16666666666666666,0,0.4294719296786041,1800,6,60,490798.4267394906,75.82245858919104,20.02892134013367,-417483.3125789101,-73315.54496462537,5,50,-1.8980871089038414E8
0.3590724483386472,0,0.30444284419122775,1800,6,60,245789.67410001555,-260.01864473959876,54.02761422222058,-209468.37022048866,-36321.438994726916,5,50,-9.511926326817343E7
0.7735981389354629,0,0.13012780816798838,1800,6,60,44382.53987049824,-394.0375712950075,75.24985119045556,-38210.535609285565,-6172.028096527543,5,50,-1.7223521767810017E7
1.6666666666666667,0,0.036144710394709754,1800,6,60,3312.2956671515635,-201.8090128772383,36.16099860766007,-3023.214150798236,-289.0831228729088,5,50,-1298893.6984222059
