% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 12 2021, 15:55"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.052,1.6666666666666667,0,0.2,0.8154153489946923,1800,6,60,1397817.548436395,-82745.35216836286,81709.10456340102,-1428482.2182652135,30662.97635781938,200,52,-6.488390775728438E8
0.052,1.6666666666666667,0,0.3,0.8110777458415395,1800,6,60,1434223.6357967905,-79534.75506463082,79452.99763239657,-1475454.9001869608,41230.24780800655,300,52,-6.706241557976031E8
0.054,1.6666666666666667,0,0.07,0.815538070629658,1800,6,60,1412262.0417445558,-125551.48333238112,86149.94609646812,-1421074.6084914391,8811.522921163614,70,54,-6.280332142070638E8
0.054,1.6666666666666667,0,0.15,0.8149961703405971,1800,6,60,1381231.2831765648,-109429.70978038578,77651.4851068085,-1440501.5977230372,59269.232641186856,150,54,-6.403288059315779E8
0.054,1.6666666666666667,0,0.2,0.8151098854034531,1800,6,60,1395166.5271431613,-83769.73810471578,81564.13809794809,-1438366.2121482603,43197.84374707439,200,54,-6.528002782461394E8
0.054,1.6666666666666667,0,0.3,0.810769194932815,1800,6,60,1431564.0392021888,-80403.14114792334,79318.46774231624,-1485123.2935448913,53558.80239659398,300,54,-6.745630091542214E8
0.056,1.6666666666666667,0,0.07,0.8151714176686784,1800,6,60,1409665.747392034,-126484.19291893566,86017.12383751679,-1430657.048842619,20990.28607767356,70,56,-6.319045362550946E8
0.056,1.6666666666666667,0,0.15,0.8147234264074298,1800,6,60,1378654.9808567548,-110383.21374520233,77518.16151452171,-1450235.9265565856,71580.10636935235,150,56,-6.442594883299594E8
0.056,1.6666666666666667,0,0.2,0.8148226943500425,1800,6,60,1392544.2520695925,-84770.8679714911,81419.67201360434,-1448136.9139391547,55591.636359912554,200,56,-6.567207809005803E8
0.056,1.6666666666666667,0,0.3,0.810479356417063,1800,6,60,1428950.8468699425,-81249.12652144048,79184.43136764762,-1494628.8099057504,65677.39973449822,300,56,-6.784382339781635E8
0.057999999999999996,1.6666666666666667,0,0.07,0.8148205605195948,1800,6,60,1407097.474196103,-127396.39374478457,85883.70256918081,-1440133.0695540141,33034.6741260023,70,57.99999999999999,-6.357365356265452E8
0.057999999999999996,1.6666666666666667,0,0.15,0.8144712622451745,1800,6,60,1376115.7948351556,-111312.20452043292,77385.34329070219,-1459825.9539882536,83709.3381030869,150,57.99999999999999,-6.481359512538689E8
0.057999999999999996,1.6666666666666667,0,0.2,0.8145531177713335,1800,6,60,1389952.2962259757,-85749.84087282064,81275.80262207729,-1457786.6743785162,67833.47895465195,200,57.99999999999999,-6.60596652785354E8
0.057999999999999996,1.6666666666666667,0,0.3,0.8102083632118345,1800,6,60,1426384.6242471512,-82072.11208869428,79050.94667923015,-1503968.2882021328,77583.2747691264,300,57.99999999999999,-6.822486921784867E8
0.06,1.6666666666666667,0,0.07,0.814485033062769,1800,6,60,1404559.2051972921,-128287.70259993206,85749.84530570688,-1449495.5216628062,44935.451998066004,70,60,-6.395262110766307E8
0.06,1.6666666666666667,0,0.15,0.81423888709149,1800,6,60,1373614.732414778,-112217.96035227788,77253.07942690716,-1469269.106229485,95653.07401041684,150,60,-6.51956466047326E8
0.06,1.6666666666666667,0,0.2,0.8143021571592921,1800,6,60,1387392.9407234965,-86706.19320877227,81132.6610887839,-1467309.4583938427,79915.67404441646,200,60,-6.644254210335798E8
0.06,1.6666666666666667,0,0.3,0.8099561915673242,1800,6,60,1423864.6821704735,-82872.47812583539,78918.11160436667,-1513140.2334973062,89274.44722359358,300,60,-6.859935758981106E8
