% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 10 2021, 08:30"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),cw_eh_ratio_factor ,"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.16666666666666666,0,0.005,100,0.8165961160190758,1800,6,60,4.428110063678114E7,-3.365229027795252E7,-9.810338187185988E8
0.16666666666666666,0.003,0.005,100,0.8140175079488329,1800,6,60,4.4001760539097756E7,-3.344758712335697E7,-9.742604598746302E8
0.16666666666666666,0.006,0.005,100,0.8114558144104977,1800,6,60,4.372496054457394E7,-3.32447426311102E7,-9.675510507639133E8
0.16666666666666666,0.009000000000000001,0.005,100,0.8089109921799834,1800,6,60,4.3450666818675116E7,-3.3043726337135565E7,-9.609044753816029E8
0.16666666666666666,0.012,0.005,100,0.8063827258836701,1800,6,60,4.317884697311817E7,-3.284452605238157E7,-9.543203817364511E8
0.16666666666666666,0.015,0.005,100,0.8038710933773718,1800,6,60,4.290950752462846E7,-3.264713084605422E7,-9.47798538330215E8
0.8333333333333334,0,0.005,100,0.8297753437069915,1800,6,60,3.978696650879564E7,-3.1386317202911694E7,-8.730500890345947E8
0.8333333333333334,0.003,0.005,100,0.8181052649443294,1800,6,60,3.877290401356266E7,-3.058579521341618E7,-8.455855519734493E8
0.8333333333333334,0.006,0.005,100,0.8067469603435534,1800,6,60,3.77786010442302E7,-2.9803548628584575E7,-8.191744462912898E8
0.8333333333333334,0.009000000000000001,0.005,100,0.7956939002922041,1800,6,60,3.6806921492196895E7,-2.9041528364823136E7,-7.937762680909137E8
0.8333333333333334,0.012,0.005,100,0.7849398215635001,1800,6,60,3.585979743766202E7,-2.8300894244101122E7,-7.693538241228276E8
0.8333333333333334,0.015,0.005,100,0.7744781153974949,1800,6,60,3.493845176593338E7,-2.7582324014867693E7,-7.458710342553467E8
1.6666666666666667,0,0.005,100,0.8740480600258593,1800,6,60,3.414416665798191E7,-2.8259224941850632E7,-7.973792820002847E8
1.6666666666666667,0.003,0.005,100,0.8515357624660699,1800,6,60,3.2724425063945916E7,-2.7077097376771253E7,-7.481319413889967E8
1.6666666666666667,0.006,0.005,100,0.8301230757767247,1800,6,60,3.133495968944744E7,-2.5921909332193974E7,-7.027680134127244E8
1.6666666666666667,0.009000000000000001,0.005,100,0.8097579196776472,1800,6,60,2.9988841108249847E7,-2.4805791609063424E7,-6.60925347490533E8
1.6666666666666667,0.012,0.005,100,0.7903817092663227,1800,6,60,2.8694138226498593E7,-2.373571592741586E7,-6.222732946528221E8
1.6666666666666667,0.015,0.005,100,0.7719444874935714,1800,6,60,2.7455352247623626E7,-2.2715214027639683E7,-5.865247263941189E8
