% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 15 2021, 18:04"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),resistance (Ω),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.40499999999999997,1.6666666666666667,0,10,0.6266882324789242,1800,6,60,1.5224922549875502E7,-352241.56151224446,500884.0466166237,-1.6519730367919907E7,1294800.4264974846,100,404.99999999999994,-1.5153066230022006E9,100
0.40499999999999997,1.6666666666666667,0,100,0.8592125547117366,1800,6,60,3429740.88418625,18961.606349837657,24664.974624618335,-9120604.870870078,5690866.495933603,100,404.99999999999994,-8.331119501676784E8,100
0.41,1.6666666666666667,0,0.001,0.31744908671130206,1800,6,60,12382.79762859466,-3351436.823972374,3164012.1451405343,-2758975.2397116977,2746548.545248462,100,410,-2.33777323716348E8,100
0.41,1.6666666666666667,0,10,0.6265397331965483,1800,6,60,1.520738079650736E7,-350575.06653715076,500536.3061510416,-1.6528367033559041E7,1320979.0008995563,100,410,-1.5162116611975276E9,100
0.41,1.6666666666666667,0,100,0.859309985990218,1800,6,60,3430234.3809886184,20331.113284828047,24555.73645305875,-9117264.01608235,5687028.057002387,100,410,-8.329228059836464E8,100
0.415,1.6666666666666667,0,0.001,0.3171552270024924,1800,6,60,12332.576311565246,-3337901.081947918,3155473.75167857,-2771654.6327656396,2759277.3858600673,100,415,-2.3538430022693112E8,100
0.415,1.6666666666666667,0,10,0.6263904075548797,1800,6,60,1.5190232615139626E7,-348866.24815758993,500235.3194086075,-1.6536749973113768E7,1346513.7247270113,100,415,-1.517101731305874E9,100
0.415,1.6666666666666667,0,100,0.8594134447037125,1800,6,60,3430782.952426585,21672.533484706644,24440.2220575444,-9113371.06116665,5682587.416754358,100,415,-8.326803469735304E8,100
0.42,1.6666666666666667,0,0.001,0.31686184317395466,1800,6,60,12282.897888734118,-3323973.0486252895,3147291.7773741526,-2784415.717408169,2772088.2295439723,100,420,-2.370667678324554E8,100
0.42,1.6666666666666667,0,10,0.6262409303016836,1800,6,60,1.5173468635748291E7,-347123.8390335775,499979.64760155143,-1.6544884166121611E7,1371408.6521439366,100,420,-1.517976361335409E9,100
0.42,1.6666666666666667,0,100,0.8595244991268318,1800,6,60,3431384.91455494,22983.132120776558,24318.93163836902,-9108943.323338041,5677560.433684154,100,420,-8.323859442815517E8,100
0.425,1.6666666666666667,0,0.001,0.3165728909794051,1800,6,60,12233.776657525803,-3309705.6844811924,3139452.364825713,-2797251.108144593,2784965.9283197075,100,425,-2.3881798077173436E8,100
0.425,1.6666666666666667,0,10,0.6260932544359274,1800,6,60,1.5157095381214844E7,-345355.23081930896,499766.9662739025,-1.655277256497358E7,1395671.3546620149,100,425,-1.518834936402559E9,100
0.425,1.6666666666666667,0,100,0.8596416700571458,1800,6,60,3432039.2989981985,24260.363373745466,24192.32586368247,-9103993.655012865,5671965.34006724,100,425,-8.320405767500194E8,100
0.43,1.6666666666666667,0,0.001,0.31628893738397196,1800,6,60,12185.239306170604,-3295132.349712369,3131946.0168262017,-2810133.9851611736,2797899.750751512,100,430,-2.4063160475227508E8,100
0.43,1.6666666666666667,0,10,0.6259465485702314,1800,6,60,1.514110773987726E7,-343570.6196557511,499595.32193901384,-1.6560419519518957E7,1419309.3092600482,100,430,-1.5196767474365501E9,100
0.43,1.6666666666666667,0,100,0.8597653079838001,1800,6,60,3432741.810767427,25501.194236394553,24060.955945328315,-9098556.215808101,5665812.729539307,100,430,-8.316471241808842E8,100
0.435,1.6666666666666667,0,0.001,0.3160032450871787,1800,6,60,12137.27472170022,-3280300.27364521,3124760.085120276,-2823059.8762065256,2810873.64531657,100,435,-2.4250178978923056E8,100
0.435,1.6666666666666667,0,10,0.6258005428380569,1800,6,60,1.5125497786064688E7,-341770.31908204884,499464.11179591203,-1.6567829400361937E7,1442326.0178178586,100,435,-1.520502108461424E9,100
0.435,1.6666666666666667,0,100,0.8598942711568367,1800,6,60,3433494.91029412,26705.952985201042,23925.249236633368,-9092622.50547749,5659125.092594606,100,435,-8.312048825181113E8,100
0.43999999999999995,1.6666666666666667,0,0.001,0.3157231638314025,1800,6,60,12089.905179159163,-3265248.0520117353,3117883.1688540047,-2836015.682564659,2823876.6435146537,100,439.99999999999994,-2.4442279994607732E8,100
0.43999999999999995,1.6666666666666667,0,10,0.6256562501498313,1800,6,60,1.5110265263109967E7,-339965.3751559545,499370.73830177425,-1.657500614815697E7,1464732.3042861738,100,439.99999999999994,-1.5213101373911414E9,100
0.43999999999999995,1.6666666666666667,0,100,0.8600288652115307,1800,6,60,3434296.2575359615,27871.814095140748,23785.66789330924,-9086214.373108853,5651919.029518298,100,439.99999999999994,-8.307156231906507E8,100
0.44499999999999995,1.6666666666666667,0,0.001,0.3154413480308267,1800,6,60,12043.13518507956,-3250009.1803869735,3111305.2748925863,-2848986.738355209,2836897.0563231357,100,444.99999999999994,-2.4638934844188806E8,100
0.44499999999999995,1.6666666666666667,0,10,0.6255120642065438,1800,6,60,1.5095413327088885E7,-338161.0408583601,499314.0621502843,-1.6581950595183479E7,1486536.1844632702,100,444.99999999999994,-1.5221003287704833E9,100
0.44499999999999995,1.6666666666666667,0,100,0.8601681540098064,1800,6,60,3435143.154175937,28996.709773166433,23642.697361718445,-9079348.135584489,5644207.33582401,100,444.99999999999994,-8.301806857017504E8,100
0.44999999999999996,1.6666666666666667,0,0.001,0.3151575452547297,1800,6,60,11996.979330150622,-3234623.246103742,3105014.2774811443,-2861968.1177249462,2849924.7487712707,100,449.99999999999994,-2.4839628628203267E8,100
0.44999999999999996,1.6666666666666667,0,10,0.6253680924649628,1800,6,60,1.5080921615951177E7,-336361.64239969186,499292.53412784985,-1.658867394344685E7,1507745.5037880621,100,449.99999999999994,-1.5228731668340807E9,100
0.44999999999999996,1.6666666666666667,0,100,0.8603118645527392,1800,6,60,3436035.525990604,30080.585461473835,23496.652253739772,-9072044.074977184,5636011.15483734,100,449.99999999999994,-8.296019375174835E8,100
