% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 15 2021, 18:55"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),resistance (Ω),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.15,1.6666666666666667,0,10,0.6489212190472463,1800,6,60,1.6359567400458226E7,-242399.81146057107,630749.823156821,-1.571935960455932E7,-640211.6638990473,100,150,-1.4643372378413982E9,100
0.15,1.6666666666666667,0,100,0.8724197574721486,1800,6,60,3512185.0295811207,-14479.464849233515,22110.791929299347,-8188139.778737451,4675953.919468202,100,150,-7.45070100528859E8,100
0.16,1.6666666666666667,0,10,0.6448372719510216,1800,6,60,1.6298956137705773E7,-240535.4101441421,623027.9806027277,-1.5770166603823368E7,-528792.0497485441,100,160,-1.4684235612983534E9,100
0.16,1.6666666666666667,0,100,0.8703200042172544,1800,6,60,3498893.4214679645,-12776.454155555202,22420.748294112538,-8296522.44191867,4797632.910736082,100,160,-7.551060669142872E8,100
0.16999999999999998,1.6666666666666667,0,10,0.6413138513709259,1800,6,60,1.6247253066149866E7,-240788.63210062584,614742.8874809892,-1.5816299066526769E7,-430961.9653388644,100,169.99999999999997,-1.4718412110824583E9,100
0.16999999999999998,1.6666666666666667,0,100,0.8684771744608375,1800,6,60,3487789.178926433,-11292.551326813795,22612.030391528162,-8392254.147784617,4904461.906131515,100,169.99999999999997,-7.639612388044747E8,100
0.18,1.6666666666666667,0,10,0.6386122774418799,1800,6,60,1.6201934839147765E7,-244071.35324891587,606059.2373577682,-1.585876302608739E7,-343178.14946644846,100,180,-1.4746137191087403E9,100
0.18,1.6666666666666667,0,100,0.8669078010826526,1800,6,60,3478609.471933611,-10232.805266195528,22714.04878606446,-8477058.478456227,4998456.065043903,100,180,-7.717763383614537E8,100
0.19,1.6666666666666667,0,10,0.636434743538943,1800,6,60,1.6160553017869547E7,-250559.81622659176,597175.1252590666,-1.5898634086436437E7,-261926.1806323739,100,190,-1.4768408541335237E9,100
0.19,1.6666666666666667,0,100,0.8655960870140076,1800,6,60,3471045.508621723,-9701.210548562129,22765.436369812727,-8552633.245543439,5081594.461336264,100,190,-7.786997701240546E8,100
0.2,1.6666666666666667,0,10,0.6344846243560186,1800,6,60,1.6120998459210528E7,-259792.4903096208,588297.7733897862,-1.5936810676346192E7,-184192.35157362925,100,200,-1.4786650872205613E9,100
0.2,1.6666666666666667,0,100,0.8644997412788057,1800,6,60,3464784.663343637,-9672.726601279352,22805.131536767825,-8620475.925569838,5155697.197773376,100,200,-7.848734845913856E8,100
0.21,1.6666666666666667,0,10,0.6327926912506916,1800,6,60,1.6081686184965301E7,-270971.58715551335,579616.4718897492,-1.5973908466196962E7,-107773.28568939609,100,210,-1.480232122811904E9,100
0.21,1.6666666666666667,0,100,0.8635740001556558,1800,6,60,3459544.927876147,-10032.364518134029,22864.09978444843,-8681822.805849621,5222302.585782834,100,210,-7.904231401014444E8,100
0.22,1.6666666666666667,0,10,0.6313656599961424,1800,6,60,1.604154436024786E7,-283235.35248883464,571280.4163155748,-1.6010272960047478E7,-31278.73056853033,100,220,-1.4816652748976557E9,100
0.22,1.6666666666666667,0,100,0.8627764390930489,1800,6,60,3455078.8511758083,-10631.887141001042,22962.624043399694,-8737674.525827462,5282598.059704759,100,220,-7.954550238845254E8,100
0.22999999999999998,1.6666666666666667,0,10,0.6302933443563875,1800,6,60,1.6000012741861489E7,-295787.7011891089,563397.7923768878,-1.604602492845375E7,46007.541007288615,100,229.99999999999997,-1.4830577290583074E9,100
0.22999999999999998,1.6666666666666667,0,100,0.8620772747004296,1800,6,60,3451204.906248849,-11295.602108286286,23108.73469298714,-8788698.177198032,5337499.589609418,100,229.99999999999997,-8.000464827075183E8,100
0.24,1.6666666666666667,0,10,0.6296146763251222,1800,6,60,1.5956864946365612E7,-308004.57194950513,556033.7304555865,-1.6081168025626415E7,124299.2721352565,100,240,-1.48447247128476E9,100
0.24,1.6666666666666667,0,100,0.8614602301326442,1800,6,60,3447783.177758274,-11870.926340937865,23301.03998840179,-8835416.753309712,5387637.959708113,100,240,-8.042588060870099E8,100
0.25,1.6666666666666667,0,10,0.6291811293740022,1800,6,60,1.5912149511461968E7,-319427.72846433625,549221.4923311861,-1.6115634141817363E7,203483.52317202237,100,250,-1.4859479914258246E9,100
0.25,1.6666666666666667,0,100,0.8609124232101794,1800,6,60,3444720.7275886303,-12231.66123278209,23531.159697132447,-8878166.261090113,5433448.987657029,100,250,-8.081332508685833E8,100
0.26,1.6666666666666667,0,10,0.6289463020938988,1800,6,60,1.5866074322289005E7,-329744.9089038751,542969.5449559914,-1.6149339330145335E7,283262.5764132547,100,260,-1.4875058151088474E9,100
0.26,1.6666666666666667,0,100,0.8604267644765435,1800,6,60,3441956.967958478,-12284.26655003703,23786.705528151768,-8917184.76419558,5475231.845448325,100,260,-8.116988366521463E8,100
0.27,1.6666666666666667,0,10,0.6288151176722566,1800,6,60,1.5818944831879703E7,-338776.41702989617,537269.2658259043,-1.618218931571089E7,363242.6587740827,100,270,-1.4891529240460796E9,100
0.27,1.6666666666666667,0,100,0.860002501504396,1800,6,60,3439455.877048683,-11970.318962203191,24053.631919624124,-8952620.03789919,5513178.383373191,100,270,-8.1497303189605E8,100
0.28,1.6666666666666667,0,10,0.6287322428880853,1800,6,60,1.5771111108457228E7,-346426.81088848977,532101.4525451632,-1.6214099038512956E7,442987.01134015556,100,280,-1.4908885163790443E9,100
0.28,1.6666666666666667,0,100,0.8596381200937753,1800,6,60,3437198.0489492165,-11259.57406921054,24318.284915390625,-8984593.008601904,5547399.525262597,100,280,-8.179683381316397E8,100
0.29000000000000004,1.6666666666666667,0,10,0.6286824652224573,1800,6,60,1.5722922854680603E7,-352687.5448807161,527439.8374443075,-1.6244999176495988E7,522073.1767864757,100,290.00000000000006,-1.492704679005407E9,100
0.29000000000000004,1.6666666666666667,0,100,0.8593331303634872,1800,6,60,3435178.1370864287,-10153.408353860908,24567.921607475702,-9013163.446088059,5577988.716906165,100,290.00000000000006,-8.206889053946835E8,100
0.3,1.6666666666666667,0,10,0.628643660334959,1800,6,60,1.5674725761131536E7,-357590.2853217986,523255.2366821025,-1.6274834381317407E7,600104.9682852608,100,300,-1.4945908484252372E9,100
0.3,1.6666666666666667,0,100,0.8590849742508888,1800,6,60,3433397.0654049525,-8666.728865167821,24792.034366467047,-9038396.692764282,5605007.183169667,100,300,-8.23138363478676E8,100
0.31,1.6666666666666667,0,10,0.628586873599599,1800,6,60,1.562683611721573E7,-361207.63023870427,519516.3194360728,-1.63035628197034E7,676730.9123519025,100,310,-1.4965337735364168E9,100
0.31,1.6666666666666667,0,100,0.858896048068104,1800,6,60,3431857.017694669,-6830.030317763013,24982.323422496123,-9060356.951521313,5628504.883330874,100,310,-8.253190222387236E8,100
0.32,1.6666666666666667,0,10,0.6285073682372126,1800,6,60,1.5579516603384165E7,-363630.5136097913,516191.66021216655,-1.6331161724004209E7,751643.3070559828,100,320,-1.4985202609642212E9,100
0.32,1.6666666666666667,0,100,0.8587573900762087,1800,6,60,3430564.419082429,-4684.623090117483,25132.733822273083,-9079098.487212945,5648548.511835573,100,320,-8.272315089040954E8,100
0.32999999999999996,1.6666666666666667,0,10,0.6283961073179346,1800,6,60,1.5533014371143986E7,-364986.0700451035,513253.70299733244,-1.635760735010781E7,824594.7991049335,100,329.99999999999994,-1.5005340893690877E9,100
0.32999999999999996,1.6666666666666667,0,100,0.8586682631229942,1800,6,60,3429520.370849236,-2288.986748375949,25239.446678350818,-9094705.971577778,5665188.301231534,100,329.99999999999994,-8.288778574097925E8,100
0.33999999999999997,1.6666666666666667,0,10,0.6282525523709788,1800,6,60,1.5487523680735152E7,-365368.38157905894,510671.00792894966,-1.6382902575104054E7,895372.0452954997,100,339.99999999999994,-1.502564109223071E9,100
0.33999999999999997,1.6666666666666667,0,100,0.8586227112321856,1800,6,60,3428732.830363158,319.331038113814,25300.516471317107,-9107242.822436523,5678511.328437982,100,339.99999999999994,-8.30260242722354E8,100
0.35,1.6666666666666667,0,10,0.6280790285040248,1800,6,60,1.5443217318899257E7,-364907.33065881033,508418.7229265034,-1.6407039153837316E7,963817.8341974407,100,350,-1.504595504191358E9,100
0.35,1.6666666666666667,0,100,0.8586157826157704,1800,6,60,3428201.280935876,3080.8542310581824,25315.583769985526,-9116793.613908391,5688596.421055038,100,350,-8.313809138099418E8,100
0.36,1.6666666666666667,0,10,0.627874929057474,1800,6,60,1.5400217216108887E7,-363721.6440201765,506470.60414687975,-1.643002808985514E7,1029810.0907510803,100,360,-1.506616095452887E9,100
0.36,1.6666666666666667,0,100,0.858647772057439,1800,6,60,3427925.153543311,5946.370530704026,25285.648682614654,-9123458.526267178,5695537.2975534685,100,360,-8.322445950436724E8,100
0.37,1.6666666666666667,0,10,0.6276440806372877,1800,6,60,1.5358620545138216E7,-361922.4784488865,504803.9264887289,-1.645188142863202E7,1093262.2605026336,100,370,-1.508614806970149E9,100
0.37,1.6666666666666667,0,100,0.8587195442414235,1800,6,60,3427902.1094008815,8867.85921031284,25212.799199385943,-9127337.328908382,5699439.929589879,100,370,-8.328561806652739E8,100
0.38,1.6666666666666667,0,10,0.6273920877713424,1800,6,60,1.5318495462591564E7,-359616.4435344978,503396.5698311448,-1.6472619835707668E7,1154120.9396755039,100,380,-1.5105818147276545E9,100
0.38,1.6666666666666667,0,100,0.8588229276271354,1800,6,60,3428128.1508412384,11802.926853357865,25099.813119555103,-9128540.546740077,5700417.555189918,100,380,-8.332221169739058E8,100
0.39,1.6666666666666667,0,10,0.6271221342801816,1800,6,60,1.5279896953399248E7,-356899.0380115982,502228.08249842783,-1.6492263584997859E7,1212359.4847101332,100,390,-1.512508420862238E9,100
0.39,1.6666666666666667,0,100,0.8589569522348814,1800,6,60,3428597.2886283314,14714.001294744092,24950.097114835593,-9127184.114050997,5698589.446430325,100,390,-8.333498374964106E8,100
0.4,1.6666666666666667,0,10,0.6268350273218107,1800,6,60,1.5242856589650895E7,-353857.3582903376,501280.5222169348,-1.6510836561735569E7,1267973.3409300344,100,400,-1.5143872477874608E9,100
0.4,1.6666666666666667,0,100,0.8591207050299074,1800,6,60,3429302.541011794,17566.641962220496,24767.44246332347,-9123382.911929136,5694083.444504414,100,400,-8.332469996685992E8,100
