,E.x,E.y,E.z
0,0.0,0.0,0.0
1,0.0,8.067814070769577e-21,0.0
2,0.0,6.641134225914725e-20,0.0
3,0.0,5.112068005846074e-19,0.0
4,0.0,3.7243991430885334e-18,0.0
5,0.0,2.56740934682004e-17,0.0
6,0.0,1.6737960528555734e-16,0.0
7,0.0,1.031457036317394e-15,0.0
8,0.0,6.00480487037712e-15,0.0
9,0.0,3.300581040520007e-14,0.0
10,0.0,1.711821772479306e-13,0.0
11,0.0,8.371951685343884e-13,0.0
12,0.0,3.858438086284087e-12,0.0
13,0.0,1.6746590884706694e-11,0.0
14,0.0,6.840469277394199e-11,0.0
15,0.0,2.6279140339156326e-10,0.0
16,0.0,9.48935274651475e-10,0.0
17,0.0,3.2189768444446937e-09,0.0
18,0.0,1.0252770931472628e-08,0.0
19,0.0,3.0650294950716696e-08,0.0
20,0.0,8.597647901466125e-08,0.0
21,0.0,2.2626881429927216e-07,0.0
22,0.0,5.587255663065654e-07,0.0
23,0.0,1.2948604201273193e-06,0.0
24,0.0,2.8178855966324715e-06,0.0
25,0.0,5.762827704950399e-06,0.0
26,0.0,1.1086826802854641e-05,0.0
27,0.0,2.0090509522707574e-05,0.0
28,0.0,3.434231171791182e-05,0.0
29,0.0,5.546658767436466e-05,0.0
30,0.0,8.478853929385557e-05,0.0
31,0.0,0.00012287873672821097,0.0
32,0.0,0.0001690904357138376,0.0
33,0.0,0.00022121283120898978,0.0
34,0.0,0.0002753574853035283,0.0
35,0.0,0.00032615156536698847,0.0
36,0.0,0.0003672427594736179,0.0
37,0.0,0.00039204807275661067,0.0
38,0.0,0.0003946234230473033,0.0
39,0.0,0.00037050684247258626,0.0
40,0.0,0.00031739807126316495,0.0
41,0.0,0.0002355745062278248,0.0
42,0.0,0.00012799517151945657,0.0
43,0.0,9.700259204066622e-08,0.0
44,0.0,-0.0001406694517097976,0.0
45,0.0,-0.0002854906961643514,0.0
46,0.0,-0.00042494269107357433,0.0
47,0.0,-0.0005497638754527265,0.0
48,0.0,-0.0006515804204957013,0.0
49,0.0,-0.0007235321587110442,0.0
50,0.0,-0.0007607643534877332,0.0
51,0.0,-0.0007607643534877332,0.0
52,0.0,-0.0007235321587110442,0.0
53,0.0,-0.0006515804204957013,0.0
54,0.0,-0.0005497638754527265,0.0
55,0.0,-0.00042494269107357433,0.0
56,0.0,-0.0002854906961643514,0.0
57,0.0,-0.0001406694517097976,0.0
58,0.0,9.700259204066622e-08,0.0
59,0.0,0.00012799517151945657,0.0
60,0.0,0.0002355745062278248,0.0
61,0.0,0.00031739807126316495,0.0
62,0.0,0.00037050684247258626,0.0
63,0.0,0.0003946234230473033,0.0
64,0.0,0.00039204807275661067,0.0
65,0.0,0.0003672427594736179,0.0
66,0.0,0.00032615156536698847,0.0
67,0.0,0.0002753574853035283,0.0
68,0.0,0.00022121283120898978,0.0
69,0.0,0.0001690904357138376,0.0
70,0.0,0.00012287873672821097,0.0
71,0.0,8.478853929385557e-05,0.0
72,0.0,5.546658767436466e-05,0.0
73,0.0,3.434231171791182e-05,0.0
74,0.0,2.0090509522707574e-05,0.0
75,0.0,1.1086826802854641e-05,0.0
76,0.0,5.762827704950399e-06,0.0
77,0.0,2.8178855966324715e-06,0.0
78,0.0,1.2948604201273193e-06,0.0
79,0.0,5.587255663065654e-07,0.0
80,0.0,2.2626881429927216e-07,0.0
81,0.0,8.597647901466125e-08,0.0
82,0.0,3.0650294950716696e-08,0.0
83,0.0,1.0252770931472628e-08,0.0
84,0.0,3.2189768444446937e-09,0.0
85,0.0,9.48935274651475e-10,0.0
86,0.0,2.6279140339156326e-10,0.0
87,0.0,6.840469277394199e-11,0.0
88,0.0,1.6746590884706694e-11,0.0
89,0.0,3.858438086284087e-12,0.0
90,0.0,8.371951685343884e-13,0.0
91,0.0,1.7118217724793057e-13,0.0
92,0.0,3.3005810405200007e-14,0.0
93,0.0,6.004804870376346e-15,0.0
94,0.0,1.0314570363082526e-15,0.0
95,0.0,1.673796051832898e-16,0.0
96,0.0,2.5674092383073437e-17,0.0
97,0.0,3.72438822475463e-18,0.0
98,0.0,5.111026474126931e-19,0.0
99,0.0,6.54696341043867e-20,0.0
100,-8.274951287968813e-21,0.0,0.0
101,-6.156857070171295e-20,0.0,0.0
