,B.x,B.y,B.z,H.x,H.y,H.z,M.x,M.y,M.z
0,0.0,0.0,100.0000589663115,-0.1314038972906095,-0.12976786740751795,79575332.66452275,0.1314038972906095,0.12976786740751795,99.99982946643613
1,-224.26832838931875,0.0,100.00003788855037,-178462294.59701774,-0.05212563975001469,79575378.67155546,-92.81520567449728,0.05212563975001469,37.22008702996665
2,17.237509778216648,0.0,100.00006590803582,13716796.565748613,-0.12641745519715628,79575339.88310644,18.332527502582867,0.12641745519715628,98.30514968196726
3,-0.2933534840650895,0.0,100.00002625643774,-233437.0003297002,-0.12977119808059506,79575306.63556632,-0.16620175951917776,0.12977119808059506,99.99977768180841
4,-0.09687448537339294,0.0,100.00000803340365,-77088.27238760401,-0.12977571315237144,79575292.13438217,0.026966456911606734,0.12977571315237144,99.99991215533308
5,0.0045873658399297555,0.0,100.00000283728451,3650.2779941516856,-0.1297678717137933,79575287.99963926,0.136068354585478,0.1297678717137933,99.99982322835496
6,0.002011022794541595,0.0,100.00000311416984,1600.1455743903978,-0.12976778074659925,79575288.21996845,0.13357171923729183,0.12976778074659925,99.99982659444552
7,-3.163783345729148e-05,0.0,100.00000697955649,-25.30730621160327,-0.12976793182592558,79575291.29586188,0.13137819765252842,0.12976793182592558,99.99982950011983
8,-5.584559423938253e-05,0.0,100.00001655474588,-44.57069123029,-0.12976792993867373,79575298.91535574,0.1313441945665973,0.12976792993867373,99.99982954478904
9,-8.266016696168032e-06,0.0,100.0000373644856,-6.709109306267722,-0.12976790060383683,79575315.47478645,0.13139463482014024,0.12976790060383683,99.99982947856395
10,-3.070164040043351e-05,0.0,100.00008046949397,-24.56231910944688,-0.1297678484257956,79575349.7757631,0.13137033177771135,0.1297678484257956,99.99982951056197
11,-0.0001475294108976454,0.0,100.00016400506972,-117.52834090914243,-0.1297677553249103,79575416.24951957,0.13124310490950147,0.1297677553249103,99.99982967773931
12,-0.0006458183643509813,0.0,100.00031072390095,-514.0431556092775,-0.129767619409926,79575533.00159477,0.13070098636036467,0.129767619409926,99.99983038794167
13,-0.0027402929994554785,0.0,100.0005227345216,-2180.727149890517,-0.1297675456943513,79575701.70986103,0.12842512150142285,0.1297675456943513,99.99983333672219
14,-0.011264758736960123,0.0,100.0007266211356,-8964.094390020218,-0.1297680498761082,79575863.95340914,0.11917221433241426,0.1297680498761082,99.9998447910622
15,-0.044661298708904465,0.0,100.00075530833031,-35539.483680768135,-0.12977094012783655,79575886.78131838,0.08295591238855554,0.12977094012783655,99.99988138902793
16,-0.16946334282429398,0.0,100.00044340666406,-134851.0564755224,-0.12978200906013418,79575638.58434358,-0.052267659163394584,0.12978200906013418,99.99990212356201
17,-0.6064897768446496,0.0,99.9997905601475,-482616.0539984848,-0.12981803002719042,79575119.0805764,-0.5254095137772806,0.12981803002719042,99.99853544988508
18,-1.6987540010298237,0.0,99.99904043961631,-1351788.3424532106,-0.12989351075096026,79574522.18245466,-1.7066685347035115,0.12989351075096026,99.98535097797284
19,0.0,224.26832838930235,99.99849881618319,-0.054314012073882464,178462294.7568693,79574153.55258547,0.054314012073882464,92.65534106622317,37.616283998953435
20,0.0,-239.192663284165,100.00007260169797,-0.04988410367823298,-190338391.03536072,79575407.88914114,0.04988410367823298,-93.43881707627999,35.62562245016659
21,-944.3533456477724,15.079964620435389,99.99995682623904,-751472718.025291,11999938.4463878,79575341.91812828,-99.53840708892048,1.5700328914854054,9.467867284661345
22,307.225243558438,-0.059128533843310904,100.0000474596301,244475576.70380744,-47051.78515340048,79575395.34942609,95.95364280059827,0.026264184614868364,28.158440004512826
