,B.x,B.y,B.z,H.x,H.y,H.z,M.x,M.y,M.z
0,0.0,0.0,4.2726880544732136e-12,0.0,0.0,3.400008000885844e-06,0.0,0.0,0.0
1,0.0,0.0,3.744991316765274e-12,0.0,0.0,2.980091286308477e-06,0.0,0.0,0.0
2,0.0,0.0,3.4608315169735147e-12,0.0,0.0,2.7539700295013925e-06,0.0,0.0,0.0
3,0.0,0.0,4.081463568488856e-12,0.0,0.0,3.2478403785312423e-06,0.0,0.0,0.0
4,0.0,0.0,4.6636809627063944e-12,0.0,0.0,3.71114211583502e-06,0.0,0.0,0.0
5,0.0,0.0,4.091623997541115e-12,0.0,0.0,3.2559255791425876e-06,0.0,0.0,0.0
6,0.0,0.0,3.664548069904152e-12,0.0,0.0,2.9160782623156054e-06,0.0,0.0,0.0
7,0.0,0.0,4.4877334608218956e-12,0.0,0.0,3.571131212507576e-06,0.0,0.0,0.0
8,0.0,0.0,5.0169053758089895e-12,0.0,0.0,3.992221805095204e-06,0.0,0.0,0.0
9,0.0,0.0,4.455891326342316e-12,0.0,0.0,3.5457927111670653e-06,0.0,0.0,0.0
10,0.0,0.0,3.9646411867059335e-12,0.0,0.0,3.1548785175948606e-06,0.0,0.0,0.0
11,0.0,0.0,4.650752283097479e-12,0.0,0.0,3.700854069164919e-06,0.0,0.0,0.0
12,0.0,0.0,6.564410801065615e-12,0.0,0.0,5.223655216616625e-06,0.0,0.0,0.0
13,0.0,0.0,7.0331216531950315e-12,0.0,0.0,5.596633685211735e-06,0.0,0.0,0.0
14,0.0,0.0,4.182973751115637e-12,0.0,0.0,3.328617497923589e-06,0.0,0.0,0.0
15,0.0,0.0,2.6123245354113327e-12,0.0,0.0,2.0787673258781803e-06,0.0,0.0,0.0
16,0.0,0.0,7.2368325257041216e-12,0.0,0.0,5.758737397808591e-06,0.0,0.0,0.0
17,0.0,0.0,1.3378212579327894e-11,0.0,0.0,1.0645764265342448e-05,0.0,0.0,0.0
18,0.0,0.0,1.0755753231020769e-11,0.0,0.0,8.558932123008243e-06,0.0,0.0,0.0
19,0.0,0.0,-3.020432298637267e-14,0.0,0.0,-2.4035206527069695e-08,0.0,0.0,0.0
20,0.0,0.0,-2.8803345464443632e-12,0.0,0.0,-2.2920373259840397e-06,0.0,0.0,0.0
21,0.0,0.0,1.2457852289167775e-11,0.0,0.0,9.913384014234265e-06,0.0,0.0,0.0
22,0.0,0.0,3.2264598185885784e-11,0.0,0.0,2.567467846442247e-05,0.0,0.0,0.0
23,0.0,0.0,3.134986457983902e-11,0.0,0.0,2.4946775668901957e-05,0.0,0.0,0.0
24,0.0,0.0,3.4481416797979538e-12,0.0,0.0,2.7438720426189483e-06,0.0,0.0,0.0
25,0.0,0.0,-2.5816232533740934e-11,0.0,0.0,-2.0543366622694053e-05,0.0,0.0,0.0
26,0.0,0.0,-2.1846701085820363e-11,0.0,0.0,-1.7384596660873868e-05,0.0,0.0,0.0
27,0.0,0.0,2.5858286355247436e-11,0.0,0.0,2.057683111337697e-05,0.0,0.0,0.0
28,0.0,0.0,9.24240277531249e-11,0.0,0.0,7.354677660254872e-05,0.0,0.0,0.0
29,0.0,0.0,1.3644020186129106e-10,0.0,0.0,0.00010857281693785247,0.0,0.0,0.0
30,0.0,0.0,1.3015304548985742e-10,0.0,0.0,0.0001035697880031014,0.0,0.0,0.0
31,0.0,0.0,7.4772717986396e-11,0.0,0.0,5.950067876721494e-05,0.0,0.0,0.0
32,0.0,0.0,-4.659345250265333e-12,0.0,0.0,-3.707691955935395e-06,0.0,0.0,0.0
33,0.0,0.0,-7.76148943107283e-11,0.0,0.0,-6.176235154076114e-05,0.0,0.0,0.0
34,0.0,0.0,-1.234110771970411e-10,0.0,0.0,-9.820484072751088e-05,0.0,0.0,0.0
35,0.0,0.0,-1.3691727482227558e-10,0.0,0.0,-0.00010895244958682516,0.0,0.0,0.0
36,0.0,0.0,-1.2510790569341527e-10,0.0,0.0,-9.955509854887542e-05,0.0,0.0,0.0
37,0.0,0.0,-9.9639411732373e-11,0.0,0.0,-7.928844623677895e-05,0.0,0.0,0.0
38,0.0,0.0,-7.122709729787854e-11,0.0,0.0,-5.667923742739027e-05,0.0,0.0,0.0
39,0.0,0.0,-4.6388446177778706e-11,0.0,0.0,-3.691378498554012e-05,0.0,0.0,0.0
40,0.0,0.0,-2.789047807449647e-11,0.0,0.0,-2.2193955512979915e-05,0.0,0.0,0.0
41,0.0,0.0,-1.5530015382376264e-11,0.0,0.0,-1.2358069646268522e-05,0.0,0.0,0.0
42,0.0,0.0,-8.09516870782914e-12,0.0,0.0,-6.441761725695003e-06,0.0,0.0,0.0
43,0.0,0.0,-3.911795201745636e-12,0.0,0.0,-3.1128261212137126e-06,0.0,0.0,0.0
44,0.0,0.0,-1.7820837465869966e-12,0.0,0.0,-1.4181000155864282e-06,0.0,0.0,0.0
45,0.0,0.0,-7.277927456207322e-13,0.0,0.0,-5.791438847276788e-07,0.0,0.0,0.0
46,0.0,0.0,-2.8099263676945806e-13,0.0,0.0,-2.236009746150207e-07,0.0,0.0,0.0
47,0.0,0.0,-7.817810349999334e-14,0.0,0.0,-6.22105274256514e-08,0.0,0.0,0.0
48,0.0,0.0,-2.4702016974267822e-14,0.0,0.0,-1.965672529324948e-08,0.0,0.0,0.0
49,0.0,0.0,3.909821851053591e-15,0.0,0.0,3.111255819788482e-09,0.0,0.0,0.0
50,0.0,0.0,-3.909821851053591e-15,0.0,0.0,-3.111255819788482e-09,0.0,0.0,0.0
51,0.0,0.0,2.4702016974267822e-14,0.0,0.0,1.965672529324948e-08,0.0,0.0,0.0
52,0.0,0.0,7.817810349999334e-14,0.0,0.0,6.22105274256514e-08,0.0,0.0,0.0
53,0.0,0.0,2.8099263676945806e-13,0.0,0.0,2.236009746150207e-07,0.0,0.0,0.0
54,0.0,0.0,7.277927456207322e-13,0.0,0.0,5.791438847276788e-07,0.0,0.0,0.0
55,0.0,0.0,1.7820837465869966e-12,0.0,0.0,1.4181000155864282e-06,0.0,0.0,0.0
56,0.0,0.0,3.911795201745636e-12,0.0,0.0,3.1128261212137126e-06,0.0,0.0,0.0
57,0.0,0.0,8.09516870782914e-12,0.0,0.0,6.441761725695003e-06,0.0,0.0,0.0
58,0.0,0.0,1.5530015382376264e-11,0.0,0.0,1.2358069646268522e-05,0.0,0.0,0.0
59,0.0,0.0,2.789047807449647e-11,0.0,0.0,2.2193955512979915e-05,0.0,0.0,0.0
60,0.0,0.0,4.6388446177778706e-11,0.0,0.0,3.691378498554012e-05,0.0,0.0,0.0
61,0.0,0.0,7.122709729787854e-11,0.0,0.0,5.667923742739027e-05,0.0,0.0,0.0
62,0.0,0.0,9.9639411732373e-11,0.0,0.0,7.928844623677895e-05,0.0,0.0,0.0
63,0.0,0.0,1.2510790569341527e-10,0.0,0.0,9.955509854887542e-05,0.0,0.0,0.0
64,0.0,0.0,1.3691727482227558e-10,0.0,0.0,0.00010895244958682516,0.0,0.0,0.0
65,0.0,0.0,1.234110771970411e-10,0.0,0.0,9.820484072751088e-05,0.0,0.0,0.0
66,0.0,0.0,7.76148943107283e-11,0.0,0.0,6.176235154076114e-05,0.0,0.0,0.0
67,0.0,0.0,4.659345250265333e-12,0.0,0.0,3.707691955935395e-06,0.0,0.0,0.0
68,0.0,0.0,-7.4772717986396e-11,0.0,0.0,-5.950067876721494e-05,0.0,0.0,0.0
69,0.0,0.0,-1.3015304548985742e-10,0.0,0.0,-0.0001035697880031014,0.0,0.0,0.0
70,0.0,0.0,-1.3644020186129106e-10,0.0,0.0,-0.00010857281693785247,0.0,0.0,0.0
71,0.0,0.0,-9.24240277531249e-11,0.0,0.0,-7.354677660254872e-05,0.0,0.0,0.0
72,0.0,0.0,-2.5858286355247436e-11,0.0,0.0,-2.057683111337697e-05,0.0,0.0,0.0
73,0.0,0.0,2.1846701085820363e-11,0.0,0.0,1.7384596660873868e-05,0.0,0.0,0.0
74,0.0,0.0,2.5816232533740934e-11,0.0,0.0,2.0543366622694053e-05,0.0,0.0,0.0
75,0.0,0.0,-3.4481416797979538e-12,0.0,0.0,-2.7438720426189483e-06,0.0,0.0,0.0
76,0.0,0.0,-3.134986457983902e-11,0.0,0.0,-2.4946775668901957e-05,0.0,0.0,0.0
77,0.0,0.0,-3.2264598185885784e-11,0.0,0.0,-2.567467846442247e-05,0.0,0.0,0.0
78,0.0,0.0,-1.2457852289167775e-11,0.0,0.0,-9.913384014234265e-06,0.0,0.0,0.0
79,0.0,0.0,2.8803345464443632e-12,0.0,0.0,2.2920373259840397e-06,0.0,0.0,0.0
80,0.0,0.0,3.020432298637267e-14,0.0,0.0,2.4035206527069695e-08,0.0,0.0,0.0
81,0.0,0.0,-1.0755753231020769e-11,0.0,0.0,-8.558932123008243e-06,0.0,0.0,0.0
82,0.0,0.0,-1.3378212579327894e-11,0.0,0.0,-1.0645764265342448e-05,0.0,0.0,0.0
83,0.0,0.0,-7.2368325257041216e-12,0.0,0.0,-5.758737397808591e-06,0.0,0.0,0.0
84,0.0,0.0,-2.6123245354113327e-12,0.0,0.0,-2.0787673258781803e-06,0.0,0.0,0.0
85,0.0,0.0,-4.182973751115637e-12,0.0,0.0,-3.328617497923589e-06,0.0,0.0,0.0
86,0.0,0.0,-7.0331216531950315e-12,0.0,0.0,-5.596633685211735e-06,0.0,0.0,0.0
87,0.0,0.0,-6.564410801065615e-12,0.0,0.0,-5.223655216616625e-06,0.0,0.0,0.0
88,0.0,0.0,-4.650752283097479e-12,0.0,0.0,-3.700854069164919e-06,0.0,0.0,0.0
89,0.0,0.0,-3.9646411867059335e-12,0.0,0.0,-3.1548785175948606e-06,0.0,0.0,0.0
90,0.0,0.0,-4.455891326342316e-12,0.0,0.0,-3.5457927111670653e-06,0.0,0.0,0.0
91,0.0,0.0,-5.0169053758089895e-12,0.0,0.0,-3.992221805095204e-06,0.0,0.0,0.0
92,0.0,0.0,-4.4877334608218956e-12,0.0,0.0,-3.571131212507576e-06,0.0,0.0,0.0
93,0.0,0.0,-3.664548069904152e-12,0.0,0.0,-2.9160782623156054e-06,0.0,0.0,0.0
94,0.0,0.0,-4.091623997541115e-12,0.0,0.0,-3.2559255791425876e-06,0.0,0.0,0.0
95,0.0,0.0,-4.6636809627063944e-12,0.0,0.0,-3.71114211583502e-06,0.0,0.0,0.0
96,0.0,0.0,-4.081463568488856e-12,0.0,0.0,-3.2478403785312423e-06,0.0,0.0,0.0
97,0.0,0.0,-3.4608315169735147e-12,0.0,0.0,-2.7539700295013925e-06,0.0,0.0,0.0
98,0.0,0.0,-3.744991316765274e-12,0.0,0.0,-2.980091286308477e-06,0.0,0.0,0.0
99,0.0,0.0,-4.2726880544732136e-12,0.0,0.0,-3.400008000885844e-06,0.0,0.0,0.0
100,0.0,0.0,3.5833394678320434e-12,0.0,0.0,2.8514562039612975e-06,0.0,0.0,0.0
101,0.0,0.0,4.174067535130506e-12,0.0,0.0,3.321530342198434e-06,0.0,0.0,0.0
102,0.0,0.0,4.377260822271135e-12,0.0,0.0,3.483222184241794e-06,0.0,0.0,0.0
103,0.0,0.0,4.0331472042464105e-12,0.0,0.0,3.2093924453089597e-06,0.0,0.0,0.0
104,0.0,0.0,3.734413749776525e-12,0.0,0.0,2.9716741465750954e-06,0.0,0.0,0.0
105,0.0,0.0,3.887330741419886e-12,0.0,0.0,3.093358432539876e-06,0.0,0.0,0.0
106,0.0,0.0,4.356469312257148e-12,0.0,0.0,3.4666772599466427e-06,0.0,0.0,0.0
107,0.0,0.0,4.608160213211617e-12,0.0,0.0,3.6669612652578773e-06,0.0,0.0,0.0
108,0.0,0.0,4.593208113401188e-12,0.0,0.0,3.6550630741572475e-06,0.0,0.0,0.0
109,0.0,0.0,4.604970690813272e-12,0.0,0.0,3.6644231905060773e-06,0.0,0.0,0.0
110,0.0,0.0,4.656775826503771e-12,0.0,0.0,3.7056473270657933e-06,0.0,0.0,0.0
111,0.0,0.0,4.953542138319435e-12,0.0,0.0,3.941800264444472e-06,0.0,0.0,0.0
112,0.0,0.0,5.447249626816088e-12,0.0,0.0,4.334669902851256e-06,0.0,0.0,0.0
113,0.0,0.0,5.522907573581754e-12,0.0,0.0,4.3948750058342715e-06,0.0,0.0,0.0
114,0.0,0.0,5.164788108737607e-12,0.0,0.0,4.1099000602684925e-06,0.0,0.0,0.0
115,0.0,0.0,5.471954067916417e-12,0.0,0.0,4.35432855715217e-06,0.0,0.0,0.0
116,0.0,0.0,7.56121784243651e-12,0.0,0.0,6.016868264887768e-06,0.0,0.0,0.0
117,0.0,0.0,9.618866164429939e-12,0.0,0.0,7.654249854321292e-06,0.0,0.0,0.0
118,0.0,0.0,7.885841201777034e-12,0.0,0.0,6.275188555290596e-06,0.0,0.0,0.0
119,0.0,0.0,3.668774319614928e-12,0.0,0.0,2.919441316825362e-06,0.0,0.0,0.0
120,0.0,0.0,4.206188353643089e-12,0.0,0.0,3.347090607433208e-06,0.0,0.0,0.0
121,0.0,0.0,1.3452060005961351e-11,0.0,0.0,1.0704528639946328e-05,0.0,0.0,0.0
122,0.0,0.0,2.3688421608042866e-11,0.0,0.0,1.885015287071615e-05,0.0,0.0,0.0
123,0.0,0.0,2.116007705429214e-11,0.0,0.0,1.6838212939190193e-05,0.0,0.0,0.0
124,0.0,0.0,3.544480075414304e-12,0.0,0.0,2.8205336925480068e-06,0.0,0.0,0.0
125,0.0,0.0,-1.2795453174509041e-11,0.0,0.0,-1.0182031221011914e-05,0.0,0.0,0.0
126,0.0,0.0,-5.4396254945293664e-12,0.0,0.0,-4.328602970174641e-06,0.0,0.0,0.0
127,0.0,0.0,3.2759669809385923e-11,0.0,0.0,2.6068633618520314e-05,0.0,0.0,0.0
128,0.0,0.0,8.414044798924577e-11,0.0,0.0,6.695508605222196e-05,0.0,0.0,0.0
129,0.0,0.0,1.1824587557552263e-10,0.0,0.0,9.409461161285193e-05,0.0,0.0,0.0
130,0.0,0.0,1.124463900605869e-10,0.0,0.0,8.947964864330883e-05,0.0,0.0,0.0
131,0.0,0.0,6.587673011057928e-11,0.0,0.0,5.2421662099500495e-05,0.0,0.0,0.0
132,0.0,0.0,-2.8913179085437262e-12,0.0,0.0,-2.3007773787420135e-06,0.0,0.0,0.0
133,0.0,0.0,-6.867753658755542e-11,0.0,0.0,-5.465041465743228e-05,0.0,0.0,0.0
134,0.0,0.0,-1.1258618884994211e-10,0.0,0.0,-8.959089406920043e-05,0.0,0.0,0.0
135,0.0,0.0,-1.2836336983781816e-10,0.0,0.0,-0.00010214564669946619,0.0,0.0,0.0
136,0.0,0.0,-1.2035951092434608e-10,0.0,0.0,-9.577654509485074e-05,0.0,0.0,0.0
137,0.0,0.0,-9.844172063779811e-11,0.0,0.0,-7.83353789282772e-05,0.0,0.0,0.0
138,0.0,0.0,-7.21766123950218e-11,0.0,0.0,-5.743481772861753e-05,0.0,0.0,0.0
139,0.0,0.0,-4.8286335132277165e-11,0.0,0.0,-3.842403744203105e-05,0.0,0.0,0.0
140,0.0,0.0,-2.9758969645836826e-11,0.0,0.0,-2.3680814888424825e-05,0.0,0.0,0.0
