,B.x,B.y,B.z,H.x,H.y,H.z,M.x,M.y,M.z
0,0.0,0.0,-2.4045819867679968e-29,0.0,0.0,-1.9134553914456435e-23,0.0,0.0,0.0
1,0.0,0.0,-1.7780515079290603e-28,0.0,0.0,-1.41489134612035e-22,0.0,0.0,0.0
2,0.0,0.0,-1.3846421821421105e-27,0.0,0.0,-1.101834357581633e-21,0.0,0.0,0.0
3,0.0,0.0,-1.0225683330797041e-26,0.0,0.0,-8.13712695520466e-21,0.0,0.0,0.0
4,0.0,0.0,-7.148000678530095e-26,0.0,0.0,-5.688049112758397e-20,0.0,0.0,0.0
5,0.0,0.0,-4.727178411409062e-25,0.0,0.0,-3.7616704555762944e-19,0.0,0.0,0.0
6,0.0,0.0,-2.95614504141239e-24,0.0,0.0,-2.352363819787526e-18,0.0,0.0,0.0
7,0.0,0.0,-1.7471226090590104e-23,0.0,0.0,-1.390279555538853e-17,0.0,0.0,0.0
8,0.0,0.0,-9.753269874359343e-23,0.0,0.0,-7.761202124948747e-17,0.0,0.0,0.0
9,0.0,0.0,-5.139859667010055e-22,0.0,0.0,-4.0900631566044025e-16,0.0,0.0,0.0
10,0.0,0.0,-2.555426863720195e-21,0.0,0.0,-2.0334907841519214e-15,0.0,0.0,0.0
11,0.0,0.0,-1.1978956190346273e-20,0.0,0.0,-9.532300596295188e-15,0.0,0.0,0.0
12,0.0,0.0,-5.291136929805378e-20,0.0,0.0,-4.21044262201324e-14,0.0,0.0,0.0
13,0.0,0.0,-2.200840560968926e-19,0.0,0.0,-1.7513273659504292e-13,0.0,0.0,0.0
14,0.0,0.0,-8.615542709578901e-19,0.0,0.0,-6.855851344886805e-13,0.0,0.0,0.0
15,0.0,0.0,-3.1724389844690794e-18,0.0,0.0,-2.5244805593107814e-12,0.0,0.0,0.0
16,0.0,0.0,-1.0982686107414319e-17,0.0,0.0,-8.739514834773106e-12,0.0,0.0,0.0
17,0.0,0.0,-3.573163996493299e-17,0.0,0.0,-2.843359033392457e-11,0.0,0.0,0.0
18,0.0,0.0,-1.0921925019668037e-16,0.0,0.0,-8.69116396481816e-11,0.0,0.0,0.0
19,0.0,0.0,-3.136042197068821e-16,0.0,0.0,-2.4955176753394454e-10,0.0,0.0,0.0
20,0.0,0.0,-8.458865072744221e-16,0.0,0.0,-6.731174511004656e-10,0.0,0.0,0.0
21,0.0,0.0,-2.143839743452601e-15,0.0,0.0,-1.7059687455359013e-09,0.0,0.0,0.0
22,0.0,0.0,-5.10776753295063e-15,0.0,0.0,-4.064525717133878e-09,0.0,0.0,0.0
23,0.0,0.0,-1.1448688434904884e-14,0.0,0.0,-9.110337984438941e-09,0.0,0.0,0.0
24,0.0,0.0,-2.4166907363578463e-14,0.0,0.0,-1.9230909756402605e-08,0.0,0.0,0.0
25,0.0,0.0,-4.8107576263207294e-14,0.0,0.0,-3.8281789382421235e-08,0.0,0.0,0.0
26,0.0,0.0,-9.045812747807567e-14,0.0,0.0,-7.198240387538151e-08,0.0,0.0,0.0
27,0.0,0.0,-1.6097399309957684e-13,0.0,0.0,-1.2809567595277746e-07,0.0,0.0,0.0
28,0.0,0.0,-2.7168751504337046e-13,0.0,0.0,-2.161963881077534e-07,0.0,0.0,0.0
29,0.0,0.0,-4.3590987590026486e-13,0.0,0.0,-3.4687696523372476e-07,0.0,0.0,0.0
30,0.0,0.0,-6.664865714999239e-13,0.0,0.0,-5.303592601875783e-07,0.0,0.0,0.0
31,0.0,0.0,-9.734786681549242e-13,0.0,0.0,-7.746494052972731e-07,0.0,0.0,0.0
32,0.0,0.0,-1.3616457802829953e-12,0.0,0.0,-1.0835348820955345e-06,0.0,0.0,0.0
33,0.0,0.0,-1.8282282885496336e-12,0.0,0.0,-1.454819712851929e-06,0.0,0.0,0.0
34,0.0,0.0,-2.3615190416922237e-12,0.0,0.0,-1.8791878867898682e-06,0.0,0.0,0.0
35,0.0,0.0,-2.940577719797766e-12,0.0,0.0,-2.3399760635630403e-06,0.0,0.0,0.0
36,0.0,0.0,-3.536216420471509e-12,0.0,0.0,-2.813957857250916e-06,0.0,0.0,0.0
37,0.0,0.0,-4.113138767729369e-12,0.0,0.0,-3.273046040511327e-06,0.0,0.0,0.0
38,0.0,0.0,-4.632911377529075e-12,0.0,0.0,-3.686657099739052e-06,0.0,0.0,0.0
39,0.0,0.0,-5.0573290090155e-12,0.0,0.0,-4.024389067150087e-06,0.0,0.0,0.0
40,0.0,0.0,-5.351716539866514e-12,0.0,0.0,-4.258649080400196e-06,0.0,0.0,0.0
41,0.0,0.0,-5.487778321441761e-12,0.0,0.0,-4.366920767935704e-06,0.0,0.0,0.0
42,0.0,0.0,-5.445727714240047e-12,0.0,0.0,-4.333458835048221e-06,0.0,0.0,0.0
43,0.0,0.0,-5.215570822842828e-12,0.0,0.0,-4.150310600907819e-06,0.0,0.0,0.0
44,0.0,0.0,-4.797547596733203e-12,0.0,0.0,-3.817667006241259e-06,0.0,0.0,0.0
45,0.0,0.0,-4.201830001553701e-12,0.0,0.0,-3.343622431946096e-06,0.0,0.0,0.0
46,0.0,0.0,-3.447632292474108e-12,0.0,0.0,-2.743466695691079e-06,0.0,0.0,0.0
47,0.0,0.0,-2.5619041546849496e-12,0.0,0.0,-2.038645113422736e-06,0.0,0.0,0.0
48,0.0,0.0,-1.5777621430854862e-12,0.0,0.0,-1.2555103114465104e-06,0.0,0.0,0.0
49,0.0,0.0,-5.327803327519606e-13,0.0,0.0,-4.2396200494319163e-07,0.0,0.0,0.0
50,0.0,0.0,5.327803327519606e-13,0.0,0.0,4.2396200494319163e-07,0.0,0.0,0.0
51,0.0,0.0,1.5777621430854862e-12,0.0,0.0,1.2555103114465104e-06,0.0,0.0,0.0
52,0.0,0.0,2.5619041546849496e-12,0.0,0.0,2.038645113422736e-06,0.0,0.0,0.0
53,0.0,0.0,3.447632292474108e-12,0.0,0.0,2.743466695691079e-06,0.0,0.0,0.0
54,0.0,0.0,4.201830001553701e-12,0.0,0.0,3.343622431946096e-06,0.0,0.0,0.0
55,0.0,0.0,4.797547596733203e-12,0.0,0.0,3.817667006241259e-06,0.0,0.0,0.0
56,0.0,0.0,5.215570822842828e-12,0.0,0.0,4.150310600907819e-06,0.0,0.0,0.0
57,0.0,0.0,5.445727714240047e-12,0.0,0.0,4.333458835048221e-06,0.0,0.0,0.0
58,0.0,0.0,5.487778321441761e-12,0.0,0.0,4.366920767935704e-06,0.0,0.0,0.0
59,0.0,0.0,5.351716539866514e-12,0.0,0.0,4.258649080400196e-06,0.0,0.0,0.0
60,0.0,0.0,5.0573290090155e-12,0.0,0.0,4.024389067150087e-06,0.0,0.0,0.0
61,0.0,0.0,4.632911377529075e-12,0.0,0.0,3.686657099739052e-06,0.0,0.0,0.0
62,0.0,0.0,4.113138767729369e-12,0.0,0.0,3.273046040511327e-06,0.0,0.0,0.0
63,0.0,0.0,3.536216420471509e-12,0.0,0.0,2.813957857250916e-06,0.0,0.0,0.0
64,0.0,0.0,2.940577719797766e-12,0.0,0.0,2.3399760635630403e-06,0.0,0.0,0.0
65,0.0,0.0,2.3615190416922237e-12,0.0,0.0,1.8791878867898682e-06,0.0,0.0,0.0
