% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 28 2021, 10:51"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),ew_cw_ratio (1),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","abs(ec.Jx*ec.Ex) + abs(ec.Jy*ec.Ey) + abs(ec.Jz*ec.Ez) (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power","u_x*(ec.Jy * B_z(x)) (W), Push Power","(ec.Jx-int_Jx(x,y,z))/ec.normJ (m^3), Opt_test_Jx","(ec.Jy-int_Jy(x,y,z))/ec.normJ (m^3), Opt_test_Jy","(ec.Jz-int_Jz(x,y,z))/ec.normJ (m^3), Opt_test_Jz"
0.05,1.6666666666666667,0,0.25,10,1.0887644918703068,1800,6,60,3.858344935202903E7,3211610.2857499584,1.9745160947424028E7,3.0361513433829874E7,2.825736660764347E8,250,50,6.731583818778268E8,-1.340612309081298E8,0.001242702448960085,-0.08155601520031701,2.2162234164112244E-4
0.05,1.6666666666666667,0,0.25,50,1.0887644884411014,1800,6,60,3.8583448048368394E7,3211609.7137443307,1.974516040453872E7,3.0361512253600862E7,2.8257366601824045E8,250,50,6.731583759379929E8,-1.3406123037389074E8,0.001242702419046091,-0.08155601510572659,2.2162249166741887E-4
0.05,1.6666666666666667,0,0.25,100,1.0887644914096637,1800,6,60,3.858344908843142E7,3211610.2657023766,1.9745160894316845E7,3.0361513330045328E7,2.8257366627420366E8,250,50,6.731583790932796E8,-1.3406123090099771E8,0.0012427024371648384,-0.08155601520365006,2.2162231714854854E-4
0.07500000000000001,1.6666666666666667,0,0.25,10,1.0887644930118154,1800,6,60,3.85834494355482E7,3211610.4538034284,1.9745161081018925E7,3.03615137308791E7,2.825736665466297E8,250,75.00000000000001,6.73158381459709E8,-1.3406123110384896E8,0.0012427024695229427,-0.08155601522632218,2.2162222705361125E-4
0.07500000000000001,1.6666666666666667,0,0.25,50,1.0887644934783118,1800,6,60,3.858344935656733E7,3211610.679070745,1.9745161197261255E7,3.036151398170863E7,2.8257366673230654E8,250,75.00000000000001,6.731583732160617E8,-1.3406123129143614E8,0.0012427024554792204,-0.08155601527195457,2.2162237159769206E-4
0.07500000000000001,1.6666666666666667,0,0.25,100,1.088764489287419,1800,6,60,3.8583448207741834E7,3211609.865564564,1.9745160645835314E7,3.0361512763205554E7,2.8257366664744645E8,250,75.00000000000001,6.7315838652781E8,-1.3406123076944377E8,0.0012427024082297242,-0.08155601517685172,2.216225117231349E-4
0.1,1.6666666666666667,0,0.25,10,1.0887644937708805,1800,6,60,3.858344961430993E7,3211610.644857348,1.9745161209279813E7,3.036151400912235E7,2.8257366652416533E8,250,100,6.731583777259381E8,-1.3406123125187056E8,0.0012427024623536272,-0.08155601526298166,2.2162223648167378E-4
0.1,1.6666666666666667,0,0.25,50,1.0887644952129447,1800,6,60,3.8583450046202086E7,3211611.2017155066,1.9745161433829844E7,3.036151452347059E7,2.8257366631927884E8,250,100,6.731583534477649E8,-1.3406123139250204E8,0.001242702470406456,-0.08155601528637448,2.21622129712424E-4
0.1,1.6666666666666667,0,0.25,100,1.0887644914161938,1800,6,60,3.858344889993867E7,3211610.3352802237,1.9745160910205036E7,3.0361513355901778E7,2.825736665128252E8,250,100,6.731583736742544E8,-1.3406123095209229E8,0.001242702443368326,-0.08155601519822234,2.2162239328146332E-4
0.125,1.6666666666666667,0,0.25,10,1.0887644941996617,1800,6,60,3.858344910741661E7,3211610.763267563,1.974516133008119E7,3.036151424523005E7,2.8257366758788455E8,250,125,6.731583774437718E8,-1.3406123161197706E8,0.0012427024503794534,-0.08155601532104124,2.2162253870289264E-4
0.125,1.6666666666666667,0,0.25,50,1.088764494475357,1800,6,60,3.8583449448967904E7,3211611.08758649,1.974516133470878E7,3.0361514298013967E7,2.825736667023749E8,250,125,6.73158352338072E8,-1.340612314180557E8,0.0012427024557277932,-0.0815560152922287,2.216223565526835E-4
0.125,1.6666666666666667,0,0.25,100,1.088764493454311,1800,6,60,3.8583449821777485E7,3211610.572709143,1.97451611060879E7,3.0361513795359343E7,2.825736659146708E8,250,125,6.731583742329464E8,-1.3406123099481498E8,0.0012427024714645057,-0.08155601522049351,2.2162211965631205E-4
0.15000000000000002,1.6666666666666667,0,0.25,10,1.0887644938477388,1800,6,60,3.858344973892715E7,3211610.930866452,1.9745161214123633E7,3.036151404976079E7,2.825736659987791E8,250,150.00000000000003,6.73158354979175E8,-1.3406123113584474E8,0.0012427024614982379,-0.08155601524288114,2.2162222672959025E-4
0.15000000000000002,1.6666666666666667,0,0.25,50,1.0887644906993261,1800,6,60,3.858344867591918E7,3211610.153564303,1.9745160738886133E7,3.0361513001767136E7,2.8257366609858537E8,250,150.00000000000003,6.731583735742567E8,-1.340612307149408E8,0.001242702432153836,-0.0815560151685413,2.216224137117313E-4
0.15000000000000002,1.6666666666666667,0,0.25,100,1.088764491692642,1800,6,60,3.8583449766065516E7,3211610.4078684063,1.9745160870992497E7,3.036151332064725E7,2.8257366490921056E8,250,150.00000000000003,6.731583674351325E8,-1.3406123054587722E8,0.0012427024470291921,-0.08155601515452701,2.2162197211346448E-4
0.175,1.6666666666666667,0,0.25,10,1.0887644916902455,1800,6,60,3.858344896827745E7,3211610.340039334,1.974516092866537E7,3.036151339525655E7,2.825736663139619E8,250,175,6.731583751410792E8,-1.3406123095244741E8,0.0012427024394713034,-0.08155601520698219,2.2162245299947218E-4
0.175,1.6666666666666667,0,0.25,50,1.0887644960889813,1800,6,60,3.858345028169185E7,3211611.2243289817,1.9745161560176037E7,3.0361514786940143E7,2.825736665722065E8,250,175,6.731583638577199E8,-1.3406123158058076E8,0.0012427024835493254,-0.08155601531774878,2.2162217856761776E-4
0.175,1.6666666666666667,0,0.25,100,1.0887644931714486,1800,6,60,3.858344885521542E7,3211610.6994755534,1.9745161133517835E7,3.036151382820326E7,2.825736671337203E8,250,175,6.73158363200896E8,-1.3406123131387492E8,0.0012427024396958807,-0.08155601527251122,2.2162235311810546E-4
0.2,1.6666666666666667,0,0.25,10,1.0887644924756876,1800,6,60,3.858344912050379E7,3211610.33023901,1.974516104665522E7,3.0361513631601702E7,2.825736667161682E8,250,200,6.731583867916315E8,-1.340612311399243E8,0.0012427024522450223,-0.08155601524364199,2.2162242693504836E-4
0.2,1.6666666666666667,0,0.25,50,1.088764495132181,1800,6,60,3.8583449586781956E7,3211611.0104853655,1.9745161407068446E7,3.0361514438283235E7,2.8257366691523653E8,250,200,6.73158365520878E8,-1.340612315086419E8,0.0012427024616628857,-0.0815560153083495,2.216222555600646E-4
0.2,1.6666666666666667,0,0.25,100,1.088764494642292,1800,6,60,3.8583449354510464E7,3211610.955749839,1.9745161374222238E7,3.0361514345033996E7,2.8257366735448766E8,250,200,6.731583650056359E8,-1.340612315778996E8,0.00124270246262108,-0.08155601531283677,2.216223140236421E-4
0.22500000000000003,1.6666666666666667,0,0.25,10,1.0887644907275273,1800,6,60,3.858344875656942E7,3211610.0316786002,1.974516068730572E7,3.0361512878111225E7,2.82573665913243E8,250,225.00000000000003,6.731583781024494E8,-1.3406123061369503E8,0.0012427024379422606,-0.08155601515803461,2.2162230787025114E-4
0.22500000000000003,1.6666666666666667,0,0.25,50,1.0887644915162544,1800,6,60,3.858344987269003E7,3211610.213755565,1.974516086356485E7,3.0361513295212712E7,2.825736652293703E8,250,225.00000000000003,6.731583834447529E8,-1.3406123061844628E8,0.001242702459552889,-0.08155601515829003,2.2162199774663122E-4
0.22500000000000003,1.6666666666666667,0,0.25,100,1.0887644895925532,1800,6,60,3.858344829613985E7,3211609.9825252723,1.9745160596596476E7,3.036151268721322E7,2.8257366615704316E8,250,225.00000000000003,6.731583734628673E8,-1.34061230588368E8,0.0012427024247119122,-0.08155601513805628,2.2162252045731184E-4
0.25,1.6666666666666667,0,0.25,10,1.0887644923159676,1800,6,60,3.85834487546752E7,3211610.5390151,1.97451609976062E7,3.0361513553944256E7,2.825736666033855E8,250,250,6.731583652111725E8,-1.340612310854329E8,0.0012427024312125668,-0.08155601523538619,2.2162244931228246E-4
0.25,1.6666666666666667,0,0.25,50,1.0887644919149653,1800,6,60,3.858344939683773E7,3211610.4611399467,1.9745160870348215E7,3.036151330516938E7,2.825736652890516E8,250,250,6.731583612437732E8,-1.3406123063459948E8,0.0012427024493080155,-0.08155601516002145,2.2162217827007973E-4
0.25,1.6666666666666667,0,0.25,100,1.0887644902034126,1800,6,60,3.858344832410294E7,3211610.1769806137,1.9745160635263685E7,3.0361512774733778E7,2.825736659589038E8,250,250,6.73158360226326E8,-1.3406123059167743E8,0.0012427024187135754,-0.08155601514833169,2.2162247188369053E-4
