% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 28 2021, 09:17"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),B_app (T),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","abs(ec.Jx*ec.Ex) + abs(ec.Jy*ec.Ey) + abs(ec.Jz*ec.Ez) (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power","u_x*(ec.Jy * B_z(x)) (W), Push Power","(ec.Jx-int_Jx(x,y,z))/ec.normJ (m^3), Opt_test_Jx","(ec.Jy-int_Jy(x,y,z))/ec.normJ (m^3), Opt_test_Jy","(ec.Jz-int_Jz(x,y,z))/ec.normJ (m^3), Opt_test_Jz"
0.05,1.6666666666666667,0,0.5,1,0.7112948558496816,1800,1,60,3333738.986933791,198177.81165016058,20172.674493851206,434365.10265047196,7543712.066285423,500,50,1.9637692409678236E7,-6755022.996292472,0.039446655473275936,0.12005926940678706,0.0031290947073409708
0.05,1.6666666666666667,0,0.5,6,1.1655484664976643,1800,6,60,4.052126685384703E7,2.6358895060074482E7,1.8061369074721955E7,3.567443232268254E7,3.358972282143624E8,500,50,-7.950756192830724E8,-1.4158562587013072E8,0.008597144456429525,-0.09433823695935885,8.9074714243287E-4
0.05,1.6666666666666667,0,0.5,10,1.3263455797804604,1800,10,60,6.447129038631625E7,6.5909612442589276E7,7.310833616057402E7,9.37510286558643E7,8.497401318954055E8,500,50,-4.1151745406634717E9,-2.9788001737890315E8,0.0060679288475252065,-0.11233398816067273,6.982043963441363E-4
0.1,1.6666666666666667,0,0.5,1,0.7112948557598835,1800,1,60,3333738.9822429847,198177.81123695424,20172.674481902523,434365.1029728841,7543712.071509932,500,100,1.9637692477638666E7,-6755022.999808695,0.039446655451050715,0.12005926924537373,0.0031290946991092902
0.1,1.6666666666666667,0,0.5,6,1.1655484651022374,1800,6,60,4.052126677446409E7,2.6358894753096998E7,1.806136900831808E7,3.567443207786773E7,3.358972285305964E8,500,100,-7.950756075952089E8,-1.415856258244855E8,0.008597144442301035,-0.09433823683948865,8.907472753420926E-4
0.1,1.6666666666666667,0,0.5,10,1.326345577695262,1800,10,60,6.4471289470642366E7,6.590961029620315E7,7.31083348337112E7,9.375102648585083E7,8.497401282965224E8,500,100,-4.115174422187603E9,-2.9788001606723875E8,0.006067929050640112,-0.11233398785182824,6.982043023441694E-4
0.15000000000000002,1.6666666666666667,0,0.5,1,0.7112948561196045,1800,1,60,3333739.0077719535,198177.81298129036,20172.67447565358,434365.1009956332,7543712.04696399,500,150.00000000000003,1.9637692139880445E7,-6755022.982965281,0.03944665556219281,0.12005926998532974,0.0031290945378833796
0.15000000000000002,1.6666666666666667,0,0.5,6,1.1655484678271344,1800,6,60,4.052126706052784E7,2.635889562637259E7,1.8061369297773164E7,3.567443287784326E7,3.358972291273986E8,500,150.00000000000003,-7.95075640572913E8,-1.4158562623019505E8,0.008597144442789932,-0.09433823713548636,8.90747168352233E-4
0.15000000000000002,1.6666666666666667,0,0.5,10,1.3263455846946224,1800,10,60,6.447129119435847E7,6.590961408640465E7,7.310833720391208E7,9.37510302610103E7,8.497401342505339E8,500,150.00000000000003,-4.1151746390278215E9,-2.978800181772175E8,0.006067928955173575,-0.11233398821642934,6.982041437339477E-4
0.2,1.6666666666666667,0,0.5,1,0.7112948558718163,1800,1,60,3333738.9646865535,198177.80252909975,20172.674139677187,434365.0956469629,7543712.067189958,500,200,1.963769263438047E7,-6755022.991020598,0.039446655432193875,0.1200592696525114,0.0031290947171644665
0.2,1.6666666666666667,0,0.5,6,1.1655484672337018,1800,6,60,4.052126764236579E7,2.635889550305916E7,1.806136916854656E7,3.5674432606137946E7,3.3589722706716156E8,500,200,-7.950756423152609E8,-1.4158562572865784E8,0.008597144464408145,-0.09433823684528622,8.907468181625108E-4
0.2,1.6666666666666667,0,0.5,10,1.3263455954916383,1800,10,60,6.447129420078084E7,6.5909619037109934E7,7.310833975918376E7,9.375103460327415E7,8.497401360142422E8,500,200,-4.1151749266380863E9,-2.978800199744266E8,0.006067928951348815,-0.1123339889088515,6.982034539261274E-4
0.25,1.6666666666666667,0,0.5,1,0.711294856688255,1800,1,60,3333739.040873349,198177.8127198739,20172.674315830373,434365.0956945027,7543712.009569688,500,250,1.963769169625368E7,-6755022.955155864,0.03944665572429785,0.12005927121865162,0.0031290941984049607
0.25,1.6666666666666667,0,0.5,6,1.165548462631214,1800,6,60,4.052126627271869E7,2.635889387351678E7,1.80613686295633E7,3.5674431223177426E7,3.3589722700061655E8,500,250,-7.950755709002299E8,-1.415856252080062E8,0.008597144414143864,-0.09433823647447064,8.907472903648522E-4
0.25,1.6666666666666667,0,0.5,10,1.3263455429769424,1800,10,60,6.447128154263131E7,6.590959063837896E7,7.310832120904842E7,9.375100510826597E7,8.497400903604493E8,500,250,-4.115173339923777E9,-2.9788000331944716E8,0.006067928978141725,-0.11233398456674736,6.982044434530356E-4
0.3,1.6666666666666667,0,0.5,1,0.7112948568083713,1800,1,60,3333739.051956219,198177.81979693388,20172.67457365881,434365.1023405189,7543712.010033604,500,300,1.9637691633629203E7,-6755022.960184501,0.039446655739397145,0.12005927097484828,0.003129094177544404
0.3,1.6666666666666667,0,0.5,6,1.1655484670585763,1800,6,60,4.0521266980023615E7,2.6358895319021787E7,1.806136914359479E7,3.5674432542232744E7,3.3589722809519774E8,500,300,-7.950756291258081E8,-1.4158562591067177E8,0.008597144438631498,-0.09433823697636319,8.907470847742516E-4
0.3,1.6666666666666667,0,0.5,10,1.326345544766213,1800,10,60,6.447128185079731E7,6.59095912823831E7,7.31083215806022E7,9.375100578229539E7,8.497400894106134E8,500,300,-4.1151733709716854E9,-2.9788000347687167E8,0.0060679288523362886,-0.11233398502306827,6.982042549460672E-4
0.35000000000000003,1.6666666666666667,0,0.5,1,0.7112948561661936,1800,1,60,3333739.016200828,198177.80640153552,20172.67420262154,434365.091668768,7543712.028512491,500,350.00000000000006,1.9637691914964706E7,-6755022.965060591,0.039446655632374795,0.12005927079298129,0.0031290943817978254
0.35000000000000003,1.6666666666666667,0,0.5,6,1.165548466705946,1800,6,60,4.052126721611243E7,2.6358895205564912E7,1.8061369090356655E7,3.567443239473024E7,3.3589722740799785E8,500,350.00000000000006,-7.950756273810283E8,-1.415856257228672E8,0.008597144463545847,-0.09433823688397977,8.907468875104017E-4
0.35000000000000003,1.6666666666666667,0,0.5,10,1.3263455450068842,1800,10,60,6.447128178611381E7,6.5909589860141255E7,7.31083210837351E7,9.375100476519226E7,8.497400881691018E8,500,350.00000000000006,-4.115173288971231E9,-2.9788000297124076E8,0.0060679290111559335,-0.11233398483386943,6.982043106972601E-4
0.4,1.6666666666666667,0,0.5,1,0.7112948560139689,1800,1,60,3333738.9894329617,198177.80795333147,20172.674309982358,434365.0979921976,7543712.0547336545,500,400,1.963769233898942E7,-6755022.98535748,0.03944665551175065,0.1200592698966962,0.0031290946313486108
0.4,1.6666666666666667,0,0.5,6,1.1655484662440072,1800,6,60,4.0521266973859765E7,2.635889505624868E7,1.806136904980316E7,3.56744322934217E7,3.358972277675607E8,500,400,-7.950756193299998E8,-1.415856257707445E8,0.008597144440840998,-0.09433823690919246,8.907468692196346E-4
0.4,1.6666666666666667,0,0.5,10,1.32634559116807,1800,10,60,6.4471292639494345E7,6.5909616163808554E7,7.310833815678507E7,9.37510320569656E7,8.497401349148304E8,500,400,-4.115174751238907E9,-2.9788001874501073E8,0.006067929134240349,-0.11233398835149504,6.982038471534518E-4
0.45,1.6666666666666667,0,0.5,1,0.7112948557393767,1800,1,60,3333738.964417016,198177.80205884227,20172.674143764692,434365.0949524998,7543712.069657546,500,450,1.9637692613626517E7,-6755022.992530716,0.0394466554260641,0.1200592695857721,0.003129094798320626
0.45,1.6666666666666667,0,0.5,6,1.1655484643869174,1800,6,60,4.0521266407066114E7,2.635889420573669E7,1.806136881604779E7,3.567443161585815E7,3.3589722789106536E8,500,450,-7.950755823569511E8,-1.4158562552398455E8,0.008597144469859756,-0.09433823671101492,8.907472322615927E-4
0.45,1.6666666666666667,0,0.5,10,1.3263455841139173,1800,10,60,6.447129112219195E7,6.590961289980622E7,7.31083366022971E7,9.375102929861507E7,8.497401330453717E8,500,450,-4.115174563953453E9,-2.9788001762298375E8,0.006067929096730542,-0.11233398815375321,6.982041224350148E-4
0.5,1.6666666666666667,0,0.5,1,0.711294856230844,1800,1,60,3333739.0171945146,198177.80920378878,20172.67429014567,434365.0949712134,7543712.031240344,500,500,1.9637691952480003E7,-6755022.968802768,0.03944665562577075,0.1200592706289125,0.0031290943489860785
0.5,1.6666666666666667,0,0.5,6,1.1655484673145957,1800,6,60,4.052126723192785E7,2.635889550152552E7,1.8061369246559083E7,3.5674432726111755E7,3.3589722856449187E8,500,500,-7.950756383611526E8,-1.415856260825741E8,0.008597144436485148,-0.09433823709006645,8.907470418224018E-4
0.5,1.6666666666666667,0,0.5,10,1.3263455378198277,1800,10,60,6.44712798887395E7,6.5909586501805335E7,7.310831922426634E7,9.375100167106327E7,8.497400866170912E8,500,500,-4.115173095909781E9,-2.978800016126476E8,0.006067929136028724,-0.11233398415908243,6.982047417701166E-4
