% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 28 2021, 08:42"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),sig_b (S/m),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","abs(ec.Jx*ec.Ex) + abs(ec.Jy*ec.Ey) + abs(ec.Jz*ec.Ez) (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power","u_x*(ec.Jy * B_z(x)) (W), Push Power","(ec.Jx-int_Jx(x,y,z))/ec.normJ (m^3), Opt_test_Jx","(ec.Jy-int_Jy(x,y,z))/ec.normJ (m^3), Opt_test_Jy","(ec.Jz-int_Jz(x,y,z))/ec.normJ (m^3), Opt_test_Jz"
0.05,1.6666666666666667,0,0.5,10,1.272759880361495,1800,6,10,1813905.3545777835,6382696.845350271,4716378.252914278,1.036876484882135E7,8.379761619292006E7,500,50,-6.639184085847137E7,-2.9827183686113305E7,0.05276864656482417,0.22766553445741905,0.004244689540424734
0.05,1.6666666666666667,0,0.5,60,1.1655484609131825,1800,6,60,4.0521265903140716E7,2.63588930757588E7,1.8061368358426023E7,3.5674430513248846E7,3.358972264080312E8,500,50,-7.950755382669072E8,-1.415856248097526E8,0.008597144456164666,-0.09433823620689387,8.907473034622036E-4
0.05,1.6666666666666667,0,0.5,100,1.109845187079522,1800,6,100,8.274380018167645E7,3.3337455665878616E7,2.2321104946530063E7,3.984241829432427E7,4.351434824103328E8,500,50,-1.4378311198258302E9,-2.0249949525273037E8,0.005046462905950436,-0.12018396378348788,6.214336453463521E-4
0.1,1.6666666666666667,0,0.5,10,1.2727598736271293,1800,6,10,1813905.385349737,6382696.910876266,4716378.262400481,1.0368764864224575E7,8.379761637528306E7,500,100,-6.6391846277466044E7,-2.982718370066517E7,0.05276864654555345,0.2276655351605696,0.004244690464315038
0.1,1.6666666666666667,0,0.5,60,1.1655484667805232,1800,6,60,4.052126685843952E7,2.6358895075590145E7,1.8061369116491545E7,3.5674432405114174E7,3.3589722861931217E8,500,100,-7.950756169970093E8,-1.4158562596804884E8,0.008597144470233216,-0.09433823695810975,8.907471188981372E-4
0.1,1.6666666666666667,0,0.5,100,1.1098451892667498,1800,6,100,8.274380154669167E7,3.3337457003981583E7,2.2321105342770766E7,3.984241929460552E7,4.3514348187540215E8,500,100,-1.4378311865587502E9,-2.0249949560981506E8,0.005046462946145769,-0.12018396393669645,6.214334721266314E-4
0.15000000000000002,1.6666666666666667,0,0.5,10,1.272759846215871,1800,6,10,1813905.0665145558,6382695.232256308,4716377.634632296,1.0368763201405732E7,8.379761438972127E7,500,150.00000000000003,-6.63917877711649E7,-2.982718287396861E7,0.052768647909932784,0.22766554722907556,0.004244692372841651
0.15000000000000002,1.6666666666666667,0,0.5,60,1.1655484683227082,1800,6,60,4.052126745196396E7,2.635889555140098E7,1.8061369248717465E7,3.5674432759670526E7,3.358972277682377E8,500,150.00000000000003,-7.950756400407081E8,-1.4158562593830296E8,0.00859714449987231,-0.09433823699953386,8.907468280249893E-4
0.15000000000000002,1.6666666666666667,0,0.5,100,1.1098451877803672,1800,6,100,8.274380043834135E7,3.333745626024854E7,2.2321105070324626E7,3.9842418683408275E7,4.3514348234179235E8,500,150.00000000000003,-1.4378311497422535E9,-2.0249949540091568E8,0.005046462921922015,-0.12018396385691014,6.214336373253728E-4
0.2,1.6666666666666667,0,0.5,10,1.2727598649478815,1800,6,10,1813905.2485885124,6382696.3597760685,4716378.078598661,1.0368764326104227E7,8.379761564913882E7,500,200,-6.639182838823009E7,-2.9827183457318097E7,0.05276864651545333,0.2276655364568979,0.004244690171290312
0.2,1.6666666666666667,0,0.5,60,1.1655484696517588,1800,6,60,4.05212678161654E7,2.6358896144209437E7,1.806136942548064E7,3.567443324303991E7,3.358972281408045E8,500,200,-7.950756660590712E8,-1.4158562617178878E8,0.00859714454756378,-0.09433823706864335,8.907468452241446E-4
0.2,1.6666666666666667,0,0.5,100,1.109845186174345,1800,6,100,8.274379993055585E7,3.3337455368151005E7,2.23211048364507E7,3.98424179988054E7,4.351434823171599E8,500,200,-1.4378311096178198E9,-2.0249949513198256E8,0.005046462870335957,-0.12018396377083271,6.214337124771914E-4
0.25,1.6666666666666667,0,0.5,10,1.2727598703213112,1800,6,10,1813905.357744655,6382696.8225529995,4716378.240743465,1.0368764778489191E7,8.37976164440507E7,500,250,-6.639184407338583E7,-2.982718367048943E7,0.05276864658172103,0.22766553578203014,0.004244690792578042
0.25,1.6666666666666667,0,0.5,60,1.165548464739797,1800,6,60,4.0521266452488266E7,2.635889442222295E7,1.8061368881629918E7,3.5674431788790606E7,3.3589722816555095E8,500,250,-7.950755922784141E8,-1.4158562564625767E8,0.008597144419876517,-0.09433823677583182,8.907472490610382E-4
0.25,1.6666666666666667,0,0.5,100,1.1098451854442914,1800,6,100,8.274379947793093E7,3.33374548127898E7,2.2321104655489266E7,3.984241754834859E7,4.3514348236776865E8,500,250,-1.437831083630038E9,-2.024994949156298E8,0.005046462894081863,-0.12018396365316598,6.214338565026862E-4
0.3,1.6666666666666667,0,0.5,10,1.2727598808933829,1800,6,10,1813905.4306184275,6382697.340399009,4716378.43610902,1.0368765304852577E7,8.379761690709709E7,500,300,-6.639186105958715E7,-2.9827183947787397E7,0.05276864568590652,0.2276655293103774,0.004244689547900153
0.3,1.6666666666666667,0,0.5,60,1.1655484629534203,1800,6,60,4.052126672457014E7,2.6358893955212496E7,1.8061368598945096E7,3.5674431184301734E7,3.358972256198817E8,500,300,-7.950755790778196E8,-1.415856249347452E8,0.008597144444649348,-0.09433823637317483,8.907468195853873E-4
0.3,1.6666666666666667,0,0.5,100,1.109845186953062,1800,6,100,8.274380014040364E7,3.3337455756429095E7,2.2321104921264745E7,3.984241829963139E7,4.3514348213422996E8,500,300,-1.4378311252783914E9,-2.0249949519495404E8,0.005046462908181023,-0.12018396376814958,6.214337258237518E-4
0.35000000000000003,1.6666666666666667,0,0.5,10,1.2727598507109334,1800,6,10,1813905.1424104807,6382695.523829126,4716377.740313226,1.036876346598264E7,8.379761452772918E7,500,350.00000000000006,-6.639179983269159E7,-2.982718299097242E7,0.052768647438560405,0.22766554472386058,0.004244691634772277
0.35000000000000003,1.6666666666666667,0,0.5,60,1.1655484628595933,1800,6,60,4.052126636899377E7,2.635889381717801E7,1.806136867368272E7,3.567443123747684E7,3.3589722739846385E8,500,350.00000000000006,-7.950755684894295E8,-1.415856253011138E8,0.008597144440394349,-0.09433823654008267,8.907471941035721E-4
0.35000000000000003,1.6666666666666667,0,0.5,100,1.1098451858525262,1800,6,100,8.274380010540175E7,3.333745536363876E7,2.2321104817612328E7,3.984241796092299E7,4.351434818913396E8,500,350.00000000000006,-1.4378311109389071E9,-2.024994950203921E8,0.005046462874244002,-0.12018396373215535,6.214336920839638E-4
0.4,1.6666666666666667,0,0.5,10,1.2727598596179313,1800,6,10,1813905.1849996876,6382696.03480102,4716377.942678092,1.03687640039428E7,8.379761535911405E7,500,400,-6.639181577602867E7,-2.9827183285461906E7,0.0527686472271455,0.22766554247620369,0.004244691412697278
0.4,1.6666666666666667,0,0.5,60,1.1655484672877527,1800,6,60,4.0521266915631905E7,2.6358895372513987E7,1.8061369194585938E7,3.567443264916623E7,3.358972287283999E8,500,400,-7.950756289030453E8,-1.415856260773345E8,0.008597144434675668,-0.09433823708723195,8.907470869305907E-4
0.4,1.6666666666666667,0,0.5,100,1.1098451858335943,1800,6,100,8.274380011748022E7,3.3337455407937143E7,2.232110476922479E7,3.984241790708488E7,4.351434814693116E8,500,400,-1.4378311154615476E9,-2.0249949487365824E8,0.005046462895685321,-0.1201839636969471,6.214336501774944E-4
0.45,1.6666666666666667,0,0.5,10,1.2727598688744504,1800,6,10,1813905.306383002,6382696.660720423,4716378.171007815,1.036876460369067E7,8.379761611929107E7,500,450,-6.6391838912504174E7,-2.982718357189267E7,0.052768646557915015,0.22766553636951542,0.004244690844444363
0.45,1.6666666666666667,0,0.5,60,1.1655484680627861,1800,6,60,4.052126767853626E7,2.6358895805896107E7,1.806136932306416E7,3.567443295408144E7,3.358972277626917E8,500,450,-7.950756522617118E8,-1.4158562604676908E8,0.008597144450037755,-0.09433823710213168,8.907468149777467E-4
0.45,1.6666666666666667,0,0.5,100,1.1098451855277365,1800,6,100,8.274380038853651E7,3.3337455357917435E7,2.2321104762584798E7,3.984241784636599E7,4.35143480992821E8,500,450,-1.43783111583057E9,-2.0249949476631084E8,0.005046462874268915,-0.12018396367777882,6.214335941754173E-4
0.5,1.6666666666666667,0,0.5,10,1.2727598495128767,1800,6,10,1813905.1095672036,6382695.240975771,4716377.617446784,1.036876319092292E7,8.379761407241069E7,500,500,-6.639178795451012E7,-2.982718283430255E7,0.05276864783885011,0.22766554696816882,0.00424469148136822
0.5,1.6666666666666667,0,0.5,60,1.165548463256034,1800,6,60,4.052126668470998E7,2.6358894143773E7,1.8061368711125113E7,3.567443140398309E7,3.358972264297075E8,500,500,-7.950755864468201E8,-1.4158562518659225E8,0.008597144419036,-0.09433823653744992,8.90747004413199E-4
0.5,1.6666666666666667,0,0.5,100,1.109845182941061,1800,6,100,8.274379798097332E7,3.3337453561233044E7,2.2321104259617053E7,3.984241654497882E7,4.351434830977054E8,500,500,-1.437831025079202E9,-2.024994946328304E8,0.0050464628395082735,-0.12018396356254961,6.214340207779193E-4
