% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 28 2021, 07:50"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),u_x (m/s),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","abs(ec.Jx*ec.Ex) + abs(ec.Jy*ec.Ey) + abs(ec.Jz*ec.Ez) (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power","u_x*(ec.Jy * B_z(x)) (W), Push Power","(ec.Jx-int_Jx(x,y,z))/ec.normJ (m^3), Opt_test_Jx","(ec.Jy-int_Jy(x,y,z))/ec.normJ (m^3), Opt_test_Jy","(ec.Jz-int_Jz(x,y,z))/ec.normJ (m^3), Opt_test_Jz"
0.05,1.6666666666666667,0,0.25,1200,1.0887644945111834,1200,6,60,1.714819980578735E7,1427382.5492596917,8775627.271002589,1.3494006360406127E7,1.2558829655033721E8,250,50,2.9918150364944094E8,-5.958276956950355E7,0.0027481229559381815,-0.0705680220470422,3.3606083287951677E-4
0.05,1.6666666666666667,0,0.25,1800,1.0887644927646691,1800,6,60,3.858344925897412E7,3211610.672770222,1.974516108325052E7,3.0361513747343857E7,2.8257366640459305E8,250,50,6.731583628475599E8,-1.3406123110297495E8,0.0012427024452585655,-0.08155601523575447,2.2162235386926263E-4
0.05,1.6666666666666667,0,0.25,2400,1.0887644913368832,2400,6,60,6.859279886049466E7,5709529.543927348,3.5102508073255815E7,5.3976023376658455E7,5.023531824649206E8,250,50,1.1967259781341472E9,-2.3833107646413338E8,4.899921968755822E-4,-0.08705001179788138,1.6440288008449938E-4
0.1,1.6666666666666667,0,0.25,1200,1.088764495039433,1200,6,60,1.7148199631447107E7,1427382.5690857044,8775627.270692052,1.3494006361266218E7,1.2558829676218489E8,250,100,2.991815019534971E8,-5.958276962056218E7,0.0027481229607903774,-0.07056802208085149,3.3606097117903824E-4
0.1,1.6666666666666667,0,0.25,1800,1.0887644932274432,1800,6,60,3.858344919629174E7,3211610.463583297,1.9745161064092822E7,3.036151368370614E7,2.8257366666825825E8,250,100,6.731583778209152E8,-1.3406123112981145E8,0.0012427024676952864,-0.08155601524069234,2.216223228125478E-4
0.1,1.6666666666666667,0,0.25,2400,1.0887644932862697,2400,6,60,6.859279841476364E7,5709530.239139245,3.5102508754956245E7,5.397602474938352E7,5.023531856641308E8,250,100,1.1967259777534432E9,-2.383310778927536E8,4.899922078637664E-4,-0.08705001190179615,1.64403228415405E-4
0.15000000000000002,1.6666666666666667,0,0.25,1200,1.0887644893822255,1200,6,60,1.7148199423820727E7,1427382.2012752036,8775626.93501586,1.349400564459758E7,1.2558829586986484E8,250,150.00000000000003,2.991815007551368E8,-5.958276910997504E7,0.002748122917871721,-0.07056802179303512,3.3606091471532904E-4
0.15000000000000002,1.6666666666666667,0,0.25,1800,1.088764489475689,1800,6,60,3.858344835259233E7,3211609.831363023,1.9745160550929967E7,3.036151258641418E7,2.825736660243274E8,250,150.00000000000003,6.731583821928389E8,-1.3406123053036568E8,0.0012427024230736298,-0.08155601513726908,2.21622489822455E-4
0.15000000000000002,1.6666666666666667,0,0.25,2400,1.088764494469716,2400,6,60,6.859279920024653E7,5709530.650296309,3.510250891700096E7,5.397602516752374E7,5.023531846202067E8,250,150.00000000000003,1.1967259636569724E9,-2.3833107778997254E8,4.899922217302653E-4,-0.08705001189489786,1.644030043990426E-4
0.2,1.6666666666666667,0,0.25,1200,1.0887644939158767,1200,6,60,1.7148199861088388E7,1427382.521220984,8775627.19210952,1.3494006205821786E7,1.2558829607050103E8,250,200,2.991814993173942E8,-5.958276938579772E7,0.002748122967266046,-0.07056802194927098,3.360608517435947E-4
