% Model,Evan_segmented_faraday_v1.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 4 2020, 14:41"
% Table,Probe Table 1 - 
% u_x (m/s),beta (1),beta_i (1),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
300,0,0,7.792191146950148E10,-4.4970065897959866E7,345115.20075904013,1952.9457351867138,-4.462299775146542E7,0.36986676948585384,300,6,60,-0.0023710039511696244,665.3105666722529,-5.5010616363893835E-6
500,0,0,2.1644975372226154E11,-1.2491684967386615E8,958653.3355924654,5424.849268830714,-1.239527714890041E8,0.3698667691842048,500,6,60,-0.003951203810503915,1108.8509435473632,-9.952810262027865E-6
700,0,0,4.242415176246156E11,-2.4483702540285382E8,1878960.5325411104,10632.704563405869,-2.4294743216573566E8,0.3698667693165233,700,6,60,-0.005531991060052792,1552.3913215265804,-1.2182140468166934E-5
900,0,0,7.01297203357935E11,-4.0473059310255283E8,3106036.797791018,17576.51160686946,-4.016069797931608E8,0.369866769511175,900,6,60,-0.007113448128509116,1995.931700158287,-1.3825349312122553E-5
1100,0,0,1.0476168069945391E12,-6.045975522953788E8,4639882.153506991,26256.270476127815,-5.999314138713694E8,0.36986676901312926,1100,6,60,-0.00869225614143597,2439.4720746695302,-1.7626707535631744E-5
1300,0,0,1.4632003344617551E12,-8.444379037201123E8,6480496.535431729,36671.981058381316,-8.37920735203597E8,0.3698667690908241,1300,6,60,-0.010273053878263737,2883.012452498471,-2.27276169714703E-5
1500,0,0,1.948047789914577E12,-1.1242516478424077E9,8627879.988528574,48823.643321043106,-1.1155749442105827E9,0.3698667697714837,1500,6,60,-0.011854164230593477,3326.5528359454606,-2.6404988453516442E-5
1700,0,0,2.502159156037045E12,-1.444038782597553E9,1.1082032539166352E7,62711.25748919573,-1.4328940388009384E9,0.36986676939706803,1700,6,60,-0.013433382682418194,3770.0932102415672,-2.419129343724666E-5
1900,0,0,3.1255344464640776E12,-1.8037993096105604E9,1.3842954168766605E7,78334.82340458689,-1.7898780206185532E9,0.36986676934277823,1900,6,60,-0.015013427615100902,4213.633587289254,-3.715844236982432E-5
