,B.x,B.y,B.z,H.x,H.y,H.z,M.x,M.y,M.z
0,0.0,0.0,-1.4684338455397265e-18,0.0,0.0,-1.1685118969496577e-12,0.0,0.0,0.0
1,0.0,0.0,-5.093692330623771e-18,0.0,0.0,-4.053325320588358e-12,0.0,0.0,0.0
2,0.0,0.0,-2.0082203245598083e-17,0.0,0.0,-1.5980490698113335e-11,0.0,0.0,0.0
3,0.0,0.0,-7.579088991625813e-17,0.0,0.0,-6.031089300791626e-11,0.0,0.0,0.0
4,0.0,0.0,-2.709354246113479e-16,0.0,0.0,-2.1559790924534517e-10,0.0,0.0,0.0
5,0.0,0.0,-9.162125843013588e-16,0.0,0.0,-7.290796981716432e-10,0.0,0.0,0.0
6,0.0,0.0,-2.9285677818969263e-15,0.0,0.0,-2.3304191091511107e-09,0.0,0.0,0.0
7,0.0,0.0,-8.841116815168332e-15,0.0,0.0,-7.035352809542944e-09,0.0,0.0,0.0
8,0.0,0.0,-2.51901057163598e-14,0.0,0.0,-2.0045123792530895e-08,0.0,0.0,0.0
9,0.0,0.0,-6.768985881989746e-14,0.0,0.0,-5.3864466263933615e-08,0.0,0.0,0.0
10,0.0,0.0,-1.7144270569255897e-13,0.0,0.0,-1.3642619438083106e-07,0.0,0.0,0.0
11,0.0,0.0,-4.090627596639706e-13,0.0,0.0,-3.2551326892817574e-07,0.0,0.0,0.0
12,0.0,0.0,-9.191065192020715e-13,0.0,0.0,-7.313825580319984e-07,0.0,0.0,0.0
13,0.0,0.0,-1.9442228683355213e-12,0.0,0.0,-1.5471228471559927e-06,0.0,0.0,0.0
14,0.0,0.0,-3.871813583325516e-12,0.0,0.0,-3.0810105941301342e-06,0.0,0.0,0.0
15,0.0,0.0,-7.260282856965518e-12,0.0,0.0,-5.777398089367549e-06,0.0,0.0,0.0
16,0.0,0.0,-1.2824969755511526e-11,0.0,0.0,-1.0205519154202397e-05,0.0,0.0,0.0
17,0.0,0.0,-2.1356693868840377e-11,0.0,0.0,-1.699467152779996e-05,0.0,0.0,0.0
18,0.0,0.0,-3.355963640272797e-11,0.0,0.0,-2.6705210120976844e-05,0.0,0.0,0.0
19,0.0,0.0,-4.982523667472563e-11,0.0,0.0,-3.964862428061912e-05,0.0,0.0,0.0
20,0.0,0.0,-6.99954859116389e-11,0.0,0.0,-5.56991779159516e-05,0.0,0.0,0.0
21,0.0,0.0,-9.319424129640423e-11,0.0,0.0,-7.415967700064793e-05,0.0,0.0,0.0
22,0.0,0.0,-1.178016960759721e-10,0.0,0.0,-9.374115406269913e-05,0.0,0.0,0.0
23,0.0,0.0,-1.416103649218893e-10,0.0,0.0,-0.00011268699413679749,0.0,0.0,0.0
24,0.0,0.0,-1.6214374387149363e-10,0.0,0.0,-0.00012902650964174655,0.0,0.0,0.0
25,0.0,0.0,-1.7706502982472697e-10,0.0,0.0,-0.00014090018049665143,0.0,0.0,0.0
26,0.0,0.0,-1.8457482775322515e-10,0.0,0.0,-0.00014687613116667474,0.0,0.0,0.0
27,0.0,0.0,-1.8370297564158498e-10,0.0,0.0,-0.00014618235148574008,0.0,0.0,0.0
28,0.0,0.0,-1.7443469630315103e-10,0.0,0.0,-0.00013880708245056462,0.0,0.0,0.0
29,0.0,0.0,-1.5765942571887705e-10,0.0,0.0,-0.00012545809617391763,0.0,0.0,0.0
30,0.0,0.0,-1.3497442511351393e-10,0.0,0.0,-0.00010740641943669693,0.0,0.0,0.0
31,0.0,0.0,-1.0840253907780003e-10,0.0,0.0,-8.626173862493736e-05,0.0,0.0,0.0
32,0.0,0.0,-8.009031432244977e-11,0.0,0.0,-6.373217656381529e-05,0.0,0.0,0.0
33,0.0,0.0,-5.204242584470962e-11,0.0,0.0,-4.1412961115256686e-05,0.0,0.0,0.0
34,0.0,0.0,-2.5928203964631045e-11,0.0,0.0,-2.0632468320745338e-05,0.0,0.0,0.0
35,0.0,0.0,-2.9737356097110375e-12,0.0,0.0,-2.366361582365329e-06,0.0,0.0,0.0
36,0.0,0.0,1.6065663334647752e-11,0.0,0.0,1.2784313570505982e-05,0.0,0.0,0.0
37,0.0,0.0,3.08698735196808e-11,0.0,0.0,2.456482093125546e-05,0.0,0.0,0.0
38,0.0,0.0,4.147764931025089e-11,0.0,0.0,3.300599943521441e-05,0.0,0.0,0.0
39,0.0,0.0,4.819135568661487e-11,0.0,0.0,3.834845718176997e-05,0.0,0.0,0.0
40,0.0,0.0,5.148048089096028e-11,0.0,0.0,4.096579125065473e-05,0.0,0.0,0.0
41,0.0,0.0,5.1896047370403765e-11,0.0,0.0,4.129647987968501e-05,0.0,0.0,0.0
