% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 12 2021, 16:26"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating"
0.05,0,0,0.8524106383688185,1800,6,60,7.809855390668988E7,-7.810213382341957E7,4453.61098181902,140.78135237392016,-7.809753943108633E7,6.542798419723344E-4
0.05,0,0.012,0.8524106365715355,1800,6,60,7.809855357686524E7,-7.81021346096933E7,4453.611257153361,140.78134793417996,-7.809754021708843E7,6.542798395420791E-4
0.05,0.45,0,0.8501220012775721,1800,6,60,7.746237903910758E7,-7.746955931593198E7,-38163.08369870115,46260.11352847843,-7.746146228610194E7,6.55134388433983E-4
0.05,0.45,0.012,0.8749779228961543,1800,6,60,8.199829575119549E7,-8.202308525350916E7,-37632.067549811305,63569.86508340603,-8.199714745597614E7,6.945009063825183E-4
0.05,0.9,0,0.8496941758689245,1800,6,60,7.633680632894889E7,-7.653867401923805E7,-75336.67398471755,278113.8448484106,-7.633589684837483E7,6.597726809076637E-4
0.05,0.9,0.012,0.9021305720665878,1800,6,60,8.528395622087015E7,-8.57395112416291E7,-69036.87145093852,526864.6800976401,-8.528168343298249E7,7.458727470179869E-4
0.05,1.6666666666666667,0,0.8565029849517027,1800,6,60,7.433655627061343E7,-7.515965624987917E7,-221726.19691213366,1045830.3752478088,-7.433555207154325E7,6.785202799154014E-4
0.05,1.6666666666666667,0.012,0.9717999764542132,1800,6,60,9.086658258495873E7,-9.309467443063685E7,-434358.241774441,2663537.738156954,-9.086549493425402E7,8.796341124086601E-4
0.1,0,0,0.8524102197544311,1800,6,60,7.809850704475605E7,-7.81023410133981E7,4464.839223292533,138.57628225279763,-7.809773759789212E7,0.0012501312802464853
0.1,0,0.012,0.852410188754515,1800,6,60,7.809850136168745E7,-7.810235457749939E7,4464.84083503916,138.576371146318,-7.809775116029344E7,0.001250131189058844
0.1,0.45,0,0.8501214684647189,1800,6,60,7.746230490644577E7,-7.74743637329739E7,-32750.45710228711,45753.393674352184,-7.746136079640207E7,0.0012517986037637505
