% Version,COMSOL 5.5.0.359,,,,,,,,,,,,
% Date,"Dec 3 2020, 14:50",,,,,,,,,,,,
% Model,Evan_continuous_faraday_v4.mph,,,,,,,,,,,,
% Table,Probe – Table1,,,,,,,,,,,,
% B_app (T),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
4,0.08,0.09,1156292803.30869,-136225144.572628,-41678855.9154492,-177218898.561841,0.121240818374348,1800,4,60,-854.358702472263,504.916170790013,-0.060183471500206
4,0.08,0.12,1241755466.16451,-145348525.71153,-49479837.7997933,-194108735.506774,0.124623386710996,1800,4,60,-887.965353573923,523.242978089278,-0.063746058143454
4,0.08,0.15,1336405998.59925,-155176042.097061,-58702529.9154717,-213119782.877001,0.128294243291006,1800,4,60,-924.225815764748,542.818420251655,-0.064327198828085
6,0.08,0,1895277978.17682,-143463275.164411,-177262859.72491,-318799785.017207,0.129240491626131,1800,6,60,-1676.5862276941,646.430481573542,-0.047614630601615
6,0.08,0.03,2161550133.83751,-153059832.45796,-232701492.123693,-383575284.329805,0.13693976250316,1800,6,60,-1807.63242271807,690.347926887654,-0.049572525410197
6,0.08,0.06,2479606592.6196,-159966844.193352,-308411697.268115,-465851721.827193,0.145974617660058,1800,6,60,-1959.32598450768,739.395426256217,-0.050099347391454
6,0.08,0.09,2860027816.2105,-161276401.79039,-413632865.130791,-571922974.590134,0.1565888757639,1800,6,60,-2136.50385533497,794.091408206061,-0.048029850043287
6,0.08,0.12,3313855673.18613,-152014526.76143,-562652007.919125,-711041403.565215,0.169168533590935,1800,6,60,-2345.43864728606,854.775692571608,-0.043181042747371
6,0.08,0.15,3850209603.79263,-123896470.020629,-777919268.193274,-897271313.582723,0.18417088979105,1800,6,60,-2594.292479327,921.356183972576,-0.033445493937973
8,0.08,0,2922489623.67364,-50580037.7779571,-554998634.03959,-600865251.320049,0.147067804594866,1800,8,60,-2872.09363958058,802.715885375625,-0.025847621380678
8,0.08,0.03,3571018048.80074,4174420.90548102,-840336297.280336,-830016450.113375,0.163566609674257,1800,8,60,-3260.8752160444,887.322289728157,-0.02010521307218
8,0.08,0.06,4381457060.00892,120122808.580864,-1311435326.45025,-1182821416.06732,0.184707839495794,1800,8,60,-3754.37848680856,982.866761783819,-0.005294118833957
8,0.08,0.09,5344740066.92449,346861813.5587,-2116120104.11022,-1756685538.58888,0.212024656661603,1800,8,60,-4391.15040402664,1085.5470788627,0.023995792255178
8,0.08,0.12,6361848914.77422,746322321.965068,-3525160042.10922,-2758894830.26657,0.247600410180421,1800,8,60,-5221.79034998027,1184.34176353045,0.062743607982185
8,0.08,0.15,7168948786.33447,1303315218.42195,-5990231912.49588,-4654900660.47611,0.293898572434216,1800,8,60,-6301.11621480107,1257.22528700692,0.075703878647384
