% Model,Evan_segmented_faraday_v1.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 9 2020, 08:17"
% Table,Probe Table 1 - 
% resistance ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"Current density, y component (A/cm^2), mean Jy all el_fl","Current density, y component (A/cm^2), max Jy all el_fl","Current density, y component (A/cm^2), min Jy all el_fl","Current density norm (A/cm^2), mean |J| all el_fl","Current density norm (A/cm^2), max |J| all el_fl","Current density norm (A/cm^2), min |J| all el_fl","Current density, y component (A/cm^2), mean Jy all el_fl 2b","Current density, y component (A/cm^2), max Jy all el_fl 2b","Current density, y component (A/cm^2), min Jy all el_fl 2b","Current density norm (A/cm^2), mean |J| all el_fl 2b","Current density norm (A/cm^2), max |J| all el_fl 2b","Current density norm (A/cm^2), min |J| all el_fl 2b","Current density, y component (A/cm^2), mean Jy midline","Current density, y component (A/cm^2), max Jy midline","Current density, y component (A/cm^2), min Jy midline","Current density norm (A/cm^2), mean |J| midline","Current density norm (A/cm^2), max |J| midline","Current density norm (A/cm^2), min |J| midline"
1.0E-6,2.2257203660466874E8,1885.0485265200205,16.011026024246497,0.231337959759545,-0.005183001615288937,2.9206956198835342E10,2.114530557565216E8,4.3449803346521574E8,55,110,140.49891539010588,987.7792160874207,37.003075123265376,154.46132666060558,1137.4881133616468,70.5136433337337,111.60889434670923,480.374664646385,54.634178977611384,119.48045908599741,547.0691397258373,70.5136433337337,113.60766925549305,276.0493558958321,88.588461858369,120.82877812965394,315.0987971722155,88.66245337703975
3.162277660168379E-6,2.005133652590271E8,1879.2231537302687,19.96070291778583,0.2328080129180342,-0.004817861777668025,9.16748129706834E10,2.1096256274921507E8,4.1194595001873636E8,55,110,140.0660050378137,983.5434562386878,36.98064220873851,153.99609442267254,1132.6077210572016,70.45042274640117,111.68467869253995,482.55052100413565,54.66104846887463,119.58523659163416,549.5848782082472,70.45042274640117,113.6885097085231,277.206003644452,88.56228945506727,120.93770302238335,316.45698546832284,88.65322163785626
1.0E-5,1.3262423920623106E8,1861.077880278416,32.30373996094768,0.23745668092707622,-0.005058549893277891,2.833313840942863E11,2.094090496677073E8,3.424944144783574E8,55,110,138.71745762844392,970.5418205726766,36.895373715186274,152.54613410392994,1117.64944973066,70.22983810484229,111.84982580710292,488.7035690329959,54.71126070101029,119.83245753000563,556.7038609311238,70.22983810484229,113.86711276850593,280.4636753048153,88.4388909059985,121.19597494715264,320.2870937298408,88.55725245928411
3.1622776601683795E-5,-6.507165991862423E7,1806.2732557237596,69.92013793812767,0.25213767913257457,-0.0049725133198431975,8.367439007886705E11,2.0433285986520186E8,1.3969685117177173E8,55,110,134.6424696449069,932.9366504414887,36.509041846128184,148.15742010195754,1074.36303294249,67.85848291336809,111.75881570196404,502.16556198232064,54.496289739868864,119.92019998887126,572.3192765324887,69.34428079443917,113.80101710199514,287.4914464918387,87.7190302422087,121.30533512958526,328.5935440998175,87.7992232215141
1.0E-4,-5.565245549098954E8,1654.1049498891236,176.23560631249873,0.2979565413877577,-0.004492756260244939,2.1880196691988318E12,1.8626044024006778E8,-3.6989331428401685E8,55,110,123.31774657371425,851.9021728098203,34.71719887407084,135.89959438688518,995.0072758268936,57.150281222360675,108.21964501757347,510.96964929635527,51.779228381503735,116.47399919323124,582.8401255801949,65.6726058174621,110.24507523092936,291.3203951774763,83.7868517285155,117.85581935492667,333.45923877920984,83.81490243153635
3.1622776601683794E-4,-1.34650811954832E9,1309.7369379581,421.8842618887221,0.4283314532705703,-0.003460648774260101,4.29020956167331E12,1.315114368934641E8,-1.214756240464594E9,55,110,97.66165647037276,756.500152959197,28.723478354745755,107.87314854016071,883.7745379381392,40.97661037687064,91.33645762312929,453.7081797800418,42.80002785117283,98.64785788639243,517.9466493863189,54.08843045870994,93.08923147277277,257.62698826908235,69.66604239049411,99.85009369156111,295.318745979084,69.6678217720676
0.001,-1.6505672068145752E9,791.8150051768873,796.1220915326852,0.6507120080850982,-0.0020380232215207743,4.940323958123709E12,5.249082020756523E7,-1.5979856666849015E9,55,110,59.04951879315599,490.95144082753177,17.871026852875804,65.34691513752016,573.6209826646343,23.482314557016956,57.53345267579316,294.4290754129453,26.613574990246388,62.279518350555925,336.27055144209726,33.55684995569174,58.654126063061405,166.80157323289293,43.47963597375734,63.050337572729404,191.3622998838289,43.480092667322246
0.0031622776601683794,-1.0522452013957244E9,352.14024477667664,1115.411276140597,0.8444070532013948,-8.757345563650298E-4,3.087912621982193E12,1.0807443668119635E7,-1.0414195230636766E9,55,110,26.2622539178987,224.93811951765116,8.047118511712368,29.090023611692747,262.827858882282,10.225485069492155,26.04119140708097,134.8946780688472,11.980614421602573,28.216677286101564,154.09296877955177,15.091906332960312,26.551670206455125,76.35127437698094,19.60403027494373,28.5682360376166,87.62246119635425,19.604917718763698
0.01,-4.409440253579653E8,127.79336052294806,1278.5945516963313,0.9435327996812644,-3.5498056311398884E-4,1.2859285433538816E12,1444116.615948615,-4.394974926621454E8,55,110,9.530858466807604,82.48996404173039,2.9331481408504354,10.560748150731575,96.38670823457626,3.6840809697741754,9.509387268825764,49.46633776923681,4.366649499517633,10.307321395860633,56.509974773609954,5.498867586544248,9.69623404996406,27.98918495761324,7.149049109284801,10.436069072124615,32.124661594458885,7.149498314664069
0.03162277660168379,-1.5373521691767794E8,42.39117426752842,1340.7448964204893,0.981268886956667,-3.9247703354738586E-5,4.474531591060236E11,159668.11647381945,-1.535752821459982E8,55,110,3.161575580158733,27.43005109486217,0.9744206074553095,3.5036199273889443,32.051506634156084,1.2192644775896655,3.1609221224438606,16.46539223663903,1.4505230849069195,3.4265429035896684,18.810373222962838,1.8263273551005914,3.2229376580145925,9.315778144550219,2.3751501602061733,3.469235865299736,10.692625343789127,2.3753167524233114
