% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 17 2020, 23:22"
% Table,Probe Table 1 - 
% beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"Current density, y component (A/cm^2), mean Jy all el_fl","Current density, y component (A/cm^2), max Jy all el_fl","Current density, y component (A/cm^2), min Jy all el_fl","Current density norm (A/cm^2), mean |J| all el_fl","Current density norm (A/cm^2), max |J| all el_fl","Current density norm (A/cm^2), min |J| all el_fl","Current density, y component (A/cm^2), mean Jy all el_fl 2b","Current density, y component (A/cm^2), max Jy all el_fl 2b","Current density, y component (A/cm^2), min Jy all el_fl 2b","Current density norm (A/cm^2), mean |J| all el_fl 2b","Current density norm (A/cm^2), max |J| all el_fl 2b","Current density norm (A/cm^2), min |J| all el_fl 2b","Current density, y component (A/cm^2), mean Jy midline","Current density, y component (A/cm^2), max Jy midline","Current density, y component (A/cm^2), min Jy midline","Current density norm (A/cm^2), mean |J| midline","Current density norm (A/cm^2), max |J| midline","Current density norm (A/cm^2), min |J| midline"
0.4,0,-1.1616972823595452E9,-1283.4741054454341,-1035.4783096244416,0.8363123176210296,185.96243548091664,9.082695105936812E12,9.288561502588478E7,-1.068534022595538E9,190,380,-93.07066757937731,19.670662916230434,-1793.1833120857464,113.51340186922273,2209.3433781932313,48.36157296968346,-91.45004736235596,14.79405805488485,-682.7484255029535,111.16267684647381,870.3442408029067,49.07989511628451,-92.30275181463372,-56.69435421382664,-455.023927705192,110.83905802693852,564.2006245278329,59.421293436980974
0.4,0.1,-1.2362984184633293E9,-1326.4447316102535,-1058.1740248152757,0.8472413731264239,192.3975459982485,9.70057456491356E12,9.041663143770239E7,-1.1455873397396405E9,190,380,-95.78858681189507,28.70932274976743,-2004.164778414374,118.92501832106082,2489.551523222367,49.90979239060574,-94.26370210454795,23.319427723621207,-745.0448190614181,116.62966705744311,954.3077333166883,50.80242086941696,-95.0914858202457,-57.49575728868835,-492.5352028239692,116.21879117933219,616.1684958065132,60.573280564158736
0.4,0.2,-1.3181006413725443E9,-1372.0710166413123,-1082.445918446677,0.8590551919840652,199.26141527099017,1.0378905954830242E13,8.742799523711382E7,-1.230353162673243E9,190,380,-98.52574250537496,41.4384495244622,-2274.21206834352,125.23447604783202,2853.995444758386,51.471603361236866,-97.11344383860194,35.312645405073326,-821.683845760428,123.00465773542305,1058.8445227834777,52.49469714522172,-97.9079924273599,-57.831744470916995,-538.1158291246543,122.48574001949471,680.7886428172752,61.658811343912554
0.4,0.30000000000000004,-1.4078581127412388E9,-1420.4997267583249,-1108.4497138563681,0.8718067215343437,206.62707117433717,1.1123995620540273E13,8.387231230029161E7,-1.3236271003017108E9,190,380,-101.20109523094565,59.822272859659535,-2630.5614811728665,132.7887667469541,3344.353801788538,52.86726087662034,-99.92405824231967,52.6159464887635,-918.1987026761532,130.64069020741803,1192.571894806789,53.991465253710736,-100.67537477878795,-57.405043202368915,-594.7360264495177,129.98691993716156,763.3538519776481,62.602336441020555
0.4,0.4,-1.5063021295309367E9,-1471.8187531728554,-1136.3457222672716,0.8855602601595723,214.5594648413116,1.1941760748431945E13,7.970871541414128E7,-1.4261704315919502E9,190,380,-103.66822241901656,87.19913947894152,-3118.147462811467,142.13845754441513,4031.605051786804,53.490989644055446,-102.5476260592661,78.33555796661531,-1042.9577047866335,140.08650207577026,1368.9031874070808,53.663383560524885,-103.24505162153568,-56.10845106914498,-666.7908145132781,139.26379013526346,872.188566883475,63.024153284479986
0.4,0.5,-1.6140540520437574E9,-1526.0116243848715,-1166.2950202378993,0.900396655413584,223.13683293301963,1.2836837522465158E13,7.492448615531608E7,-1.5385932717697024E9,190,380,-105.6624311613312,129.44170645238108,-3813.966308103448,154.1831746730447,5042.45981074783,51.93506160028752,-104.7269563588554,117.9225934772517,-1209.1673510359578,152.25533020946148,1609.7396647301996,52.60001978127055,-105.36088143480065,-53.45750950846208,-761.0381269992753,151.22413736551783,1021.0503141965822,61.81854907322091
0.5,0,-1.1505145177601848E9,-1276.4948239071698,-1035.5287977596026,0.836892879594482,231.56505546850332,8.984152065870656E12,9.430269486350174E7,-1.0558129473235588E9,190,380,-91.60995167801747,41.552659965612555,-2093.5093824723,116.49473496374632,2628.1594476730465,47.108294302595546,-90.04715112089612,35.47283189087066,-759.1580811712466,114.10058429290522,982.4531697442455,47.971457535317,-90.8792310051537,-53.627149081912385,-501.4925529886287,113.75247690748103,635.3290505335225,57.18011413498156
0.5,0.1,-1.222908078317927E9,-1318.3453951754936,-1058.098514049918,0.8477795009153377,239.47857454897232,9.582439853856715E12,9.213845333512314E7,-1.1303290908968542E9,190,380,-94.0394916465346,54.99989160922671,-2360.072834715894,122.56171783104826,2992.8096885490663,48.47728859264679,-92.57725548278778,48.16791441986553,-832.611261298253,120.21967534928821,1084.1136524361118,49.43895612909741,-93.39266938612339,-53.61805450232667,-545.3062901882039,119.78910324967484,698.6080240451496,58.167713275988206
0.5,0.2,-1.301976324661915E9,-1362.6181745640129,-1082.2121725018214,0.8595376533162047,247.94849017588956,1.0236356209765426E13,8.955393890953712E7,-1.2119210169157698E9,190,380,-96.41129495596988,73.47852072438212,-2701.175124534978,129.70720038893913,3468.0218318617563,49.667991531257314,-95.06760785513049,65.57996596557945,-922.5583407319401,127.43009581334344,1210.552085710223,50.34310816756473,-95.86215678672622,-53.14532874842531,-598.3434803507292,126.90118302821753,777.257725250129,59.08880781713126
0.5,0.30000000000000004,-1.3882826141952586E9,-1409.377610028043,-1107.9929979259,0.8722138002499124,256.98349583004745,1.0950450940503191E13,8.649215899871427E7,-1.3011974309303942E9,190,380,-98.61955746983271,99.43230819744021,-3149.102524707527,138.31901488656283,4105.808792466375,49.9894445796075,-97.41524607576986,89.98501224384415,-1034.8439451030636,136.12350898268616,1370.9749097582735,49.9894445796075,-98.1875334609141,-52.0071308383825,-663.637116826197,135.48150270073646,877.2242979815238,58.952052896836435
