% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 29 2020, 14:40"
% Table,Probe Table 1 - 
% resistance ,beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (m^2*A), Current in Load","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Jy*ec.Ey (W/m^3), Faraday_power_channel"
0.1,0,0,4.78319272094329E7,-0.010643410600932946,0.027860490338804833,8.94575076744757E10,5.2002178958871864E7,1.0018321371066597E8,1800,6,60,-2.196773394150291E8
0.15848931924611134,0,0,4.461059115608694E7,-0.01063856326540538,0.02810418745360531,1.4146727305193884E11,5.195484504106077E7,9.691422355522291E7,1800,6,60,-2.2126640645670003E8
0.251188643150958,0,0,3.952270068009511E7,-0.010630911191681953,0.028517741419031146,2.2371255947134784E11,5.18802017115946E7,9.175119118677153E7,1800,6,60,-2.23775623915967E8
0.3981071705534973,0,0,3.149274205975532E7,-0.010618814998331162,0.02921526145860476,3.5360334861282306E11,5.1762169853411466E7,8.360240963861392E7,1800,6,60,-2.277342514786409E8
0.6309573444801934,0,0,1.8844976325172693E7,-0.010599693631887175,0.030388206449276273,5.582884442923188E11,5.1575929158792585E7,7.076715026838793E7,1800,6,60,-2.3396978501217028E8
1,0,0,-1012050.1623484504,-0.01056955375842335,0.03234970072938424,8.79715786436965E11,5.128302103279324E7,5.06152565193389E7,1800,6,60,-2.4375530879857278E8
1.584893192461114,0,0,-3.202278112114084E7,-0.010522116889140357,0.03561011423158683,1.381708190114136E12,5.0823817066581145E7,1.9142238487770837E7,1800,6,60,-2.5902970653164023E8
2.511886431509581,0,0,-8.004160553707811E7,-0.010447816563862724,0.040988488759486845,2.1590020663059084E12,5.010849756475109E7,-2.9596683128765967E7,1800,6,60,-2.82661560975972E8
3.981071705534973,0,0,-1.534067154066763E8,-0.010332186476638361,0.04976769019764437,3.3464402414985303E12,4.90055891706076E7,-1.0407204996583115E8,1800,6,60,-3.1871933224930894E8
6.309573444801933,0,0,-2.6316134912334284E8,-0.0101540733115334,0.06389614395644193,5.122450935794206E12,4.7330708483320706E7,-2.1551276146137992E8,1800,6,60,-3.7254332215685916E8
10,0,0,-4.2204550865960103E8,-0.009884050509462823,0.08617902282013072,7.692483414788716E12,4.484657519355772E7,-3.768978575445034E8,1800,6,60,-4.5018009323692274E8
