% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 29 2020, 14:32"
% Table,Probe Table 1 - 
% resistance ,beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (m^2*A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V*m), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (kg/(m^2*s^3)), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0.1,0,0,-2.1967741502180627E8,-0.010643407736202296,-1.1337589066225893,0.4524113264493673,5.427020967225067E-4,8.94574595267139E10,2.1549560449297112E8,-3252693.475336332,0.46,NaN,6.125125609497036E9,1800,6,60
0.15848931924611134,0,0,-2.2126604207690725E8,-0.01063856339091104,-1.7568245555107915,0.4525598240851753,5.408783251564792E-4,1.4146727638763443E11,2.1529965869300252E8,-5038111.67864055,0.46,NaN,9.68622227919343E9,1800,6,60
0.251188643150958,0,0,-2.2377528548120964E8,-0.01063091601823977,-2.7421635545390344,0.4528088245196622,5.419619597829177E-4,2.2371276260867227E11,2.1498990729001778E8,-7858441.431283343,0.46,NaN,1.5317546224488312E10,1800,6,60
0.3981071705534973,0,0,-2.277344498656393E8,-0.010618812154081336,-4.30001659055597,0.4532244354564674,5.476197342750884E-4,3.5360315918842126E11,2.14501034951601E8,-1.2308589431702444E7,0.46,NaN,2.42111029913306E10,1800,6,60
0.6309573444801934,0,0,-2.339697250571725E8,-0.010599694640927533,-6.761056848726403,0.4539163322476949,5.398686368188424E-4,5.582885505855884E11,2.137295334528197E8,-1.931868700660865E7,0.46,NaN,3.822585077614049E10,1800,6,60
1,0,0,-2.4375492512049463E8,-0.010569547439533,-10.64288888167426,0.4550635311388267,5.487011873279819E-4,8.797147345806871E11,2.125156403607346E8,-3.0323020843454484E7,0.46,NaN,6.0233805859678566E10,1800,6,60
1.584893192461114,0,0,-2.590297030601553E8,-0.010522125268995944,-16.74975871649748,0.4569557027632757,5.360545145728262E-4,1.3817103909108494E12,2.1061253811484507E8,-4.75090960423997E7,0.46,NaN,9.460529893260573E10,1800,6,60
2.511886431509581,0,0,-2.8266149377168065E8,-0.010447822447611298,-26.316737625500675,0.46005561416857377,5.303497577256056E-4,2.1590044980157283E12,2.0764853986946818E8,-7.411765186366443E7,0.46,NaN,1.4782639493430453E11,1800,6,60
3.981071705534973,0,0,-3.187191690430704E8,-0.010332190800991774,-41.205505994723595,0.4650851201662202,5.234766080453665E-4,3.3464430426855596E12,2.0307777072104424E8,-1.1476580125158793E8,0.46,NaN,2.2912995841733832E11,1800,6,60
6.309573444801933,0,0,-3.725433423619918E8,-0.010154074232414654,-64.13902448226487,0.47313738278786854,5.158984887134915E-4,5.122451864912737E12,1.9613674540288645E8,-1.7556089741819116E8,0.46,NaN,3.507327535030636E11,1800,6,60
10,0,0,-4.5017963914177185E8,-0.009884037485493226,-98.90968011747144,0.4857809615289851,5.017980512274812E-4,7.692463142410706E12,1.8584325376796475E8,-2.635350977660238E8,0.46,NaN,5.267006602129371E11,1800,6,60
