% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 28 2020, 20:01"
% Table,Probe Table 1 - 
% resistance ,beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (m^2*A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V*m), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (kg/(m^2*s^3)), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0.1,0,0,4.613374797601303E7,-0.01064984567942211,-1.1289247112629042,0.02763026548894233,1.1148168265306016E-4,8.955530052950575E10,5.0127899011657484E7,9.665684046749526E7,0.46,NaN,6.1318247538175125E9,1800,6,60
0.15848931924611134,0,0,4.291222844652779E7,-0.010645001991208346,-1.7523372359860063,0.027874483742938015,1.1068919118594152E-4,1.4163656071854297E11,5.0082194276495084E7,9.338925517102055E7,0.46,NaN,9.697813126911415E9,1800,6,60
0.251188643150958,0,0,3.7823461631721064E7,-0.010637343839120211,-2.738280809947772,0.02828892675177884,1.1085660710245666E-4,2.239869218075975E11,5.001019222932045E7,8.822791862717272E7,0.46,NaN,1.5336317823183554E10,1800,6,60
0.3981071705534973,0,0,2.9792930801252395E7,-0.010625225576477736,-4.297106449611216,0.028989109396378943,1.1069624948839029E-4,3.540362864829335E11,4.98963797686143E7,8.008268183715193E7,0.46,NaN,2.424075908818428E10,1800,6,60
0.6309573444801934,0,0,1.714335424956118E7,-0.010606094513002822,-6.759674920293428,0.030164710659946272,1.1072593684199545E-4,5.589688360353645E11,4.971677435524125E7,6.725208410517593E7,0.46,NaN,3.8272429718271736E10,1800,6,60
1,0,0,-2716190.503209871,-0.01057590522008737,-10.643872270288435,0.032129962003281276,1.0977708467225459E-4,8.80778274261652E11,4.94341986265278E7,4.710774161932868E7,0.46,NaN,6.030662610487119E10,1800,6,60
1.584893192461114,0,0,-3.372999903713422E7,-0.010528418888850019,-16.75440662459008,0.03539428552380263,1.0926158249594899E-4,1.3833673989225525E12,4.8991301086357124E7,1.5647556073851619E7,0.46,NaN,9.471875377764725E10,1800,6,60
2.511886431509581,0,0,-8.175294732107075E7,-0.01045402315908928,-26.327040613986615,0.04077738568741829,1.084372304878215E-4,2.1615704726282493E12,4.830150378629997E7,-3.3070598877208196E7,0.46,NaN,1.4800208645177853E11,1800,6,60
3.981071705534973,0,0,-1.5512240303912437E8,-0.010338251075332141,-41.224429335720146,0.04956532389215624,1.0743456304573679E-4,3.350371511502522E12,4.723765418298594E7,-1.0751227753718765E8,0.46,NaN,2.2939893950718866E11,1800,6,60
6.309573444801933,0,0,-2.6487880535882792E8,-0.010159924071558038,-64.17082799554916,0.06370625369133052,1.0560042521468722E-4,5.128356781387543E12,4.562230971732925E7,-2.1889667097526222E8,0.46,NaN,3.511370613753843E11,1800,6,60
10,0,0,-4.237553628379416E8,-0.009889598855383807,-98.96032707761144,0.08601857397547742,1.0260585357223649E-4,7.701122731647037E12,4.322656527768937E7,-3.801880047741826E8,0.46,NaN,5.272935797087956E11,1800,6,60
