% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 4 2020, 12:56"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.16,0,1.1886577771881635E9,1.5963772180799192E8,-5.579141825612632E8,-3.9400135253610116E8,0.18055398124860447,1800,6,60,-2953.6257894345745,511.93377913403265,0.012855494482877178
0.2,0,9.259724766307232E8,2.4864980149335104E8,-6.946881704872183E8,-4.4066472856783426E8,0.2018815376297577,1800,6,60,-3429.056858753459,451.83972178213185,0.01959551315553979
0.24,0,7.276069083351265E8,2.9991007623996425E8,-7.890791340090495E8,-4.829539522584716E8,0.2199093724451568,1800,6,60,-3817.2877948510354,400.5288240526916,0.01155700972779556
0.28,0,5.796473470178205E8,3.245587959410592E8,-8.486692059360275E8,-5.1734058502069736E8,0.23509105989027668,1800,6,60,-4135.756733893558,357.49279624327244,-0.006832532079660247
0.32,0,4.6885235416152287E8,3.319980963899225E8,-8.821093770685047E8,-5.430406119050944E8,0.24791447775969497,1800,6,60,-4399.140007940566,321.51661370466223,-0.031166480054553677
