% sig_b (S/m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
70,0.04,0.16,4602209566.65742,-654434754.546996,-70072431.9405204,-722885347.24013,0.131533895377711,1800,6,70,-1087.34099164757,1007.32256817798,-0.127914221869077
80,0.04,0,3782269775.59449,-556791694.182888,-7669206.70023107,-562998645.515931,0.118964842676793,1800,6,80,-853.352121986979,913.190993942115,-0.097990632734194
80,0.04,0.04,4185605544.65198,-617310649.403891,-18959773.6126673,-634741623.786826,0.12336303563046,1800,6,80,-899.541447193145,960.648518711134,-0.101790687626316
80,0.04,0.08,4654951079.04492,-687198563.553766,-33599030.1489564,-719191624.159459,0.128292200542129,1800,6,80,-950.906840453644,1013.07810466871,-0.115008678163993
80,0.04,0.12,5204881679.01413,-768306574.980317,-52734185.9185198,-819344045.791826,0.133846388917139,1800,6,80,-1008.36685457487,1071.2499119925,-0.116562878763885
80,0.04,0.16,5854007829.25407,-862902807.105805,-77990581.712752,-939088285.015908,0.140134781248492,1800,6,80,-1073.04387891988,1136.08811897409,-0.125908541491796
90,0.04,0,4687327288.92628,-709345480.463947,-8448333.99854279,-716183008.996204,0.125957664479898,1800,6,90,-844.427870216996,1016.59509056966,-0.096582024236802
90,0.04,0.04,5181543216.66429,-785344406.542903,-20863207.724467,-804525334.326954,0.130727953589133,1800,6,90,-889.650067396762,1068.84549470666,-0.100677164372418
90,0.04,0.08,5755655307.1502,-873025742.729309,-36927830.4023155,-908188494.728141,0.136060584756899,1800,6,90,-939.886817561147,1126.50404937085,-0.11301654506018
90,0.04,0.12,6427065448.53953,-974690879.630512,-57881728.9475416,-1030710273.98518,0.142054275469829,1800,6,90,-996.017900686023,1190.39674273563,-0.115129964747263
90,0.04,0.16,7217911494.27105,-1093160271.98527,-85476728.1190338,-1176658630.99492,0.14881367240283,1800,6,90,-1059.11785966843,1261.51129935037,-0.124031767437008
100,0.04,0,5667649900.49266,-876388185.56319,-9193723.25733512,-883828985.408941,0.133021273919839,1800,6,100,-835.68825895049,1117.8586102507,-0.095284875949559
100,0.04,0.04,6258567259.86009,-969020042.607544,-22679789.5607516,-989871074.828134,0.138155956776824,1800,6,100,-879.973861216765,1174.68880687508,-0.099583819573399
100,0.04,0.08,6943861557.61873,-1075774465.31246,-40096131.6759095,-1113954081.49883,0.143888115824744,1800,6,100,-929.119260138654,1237.3310044232,-0.111202993213384
100,0.04,0.12,7743812102.02821,-1199417723.93525,-62766223.4307452,-1260164457.17802,0.150308445580766,1800,6,100,-983.967757135178,1306.66052773112,-0.11373842668946
100,0.04,0.16,8684124929.2283,-1343337531.34104,-92556069.2288886,-1433751382.15133,0.157531348110857,1800,6,100,-1045.54867534282,1383.72057895065,-0.122256655166482
10,0.08,0,58319330.8478053,26660391.2870689,-32727164.8473879,-5711118.9315169,0.108450107288281,1800,6,10,-1764.60054456897,113.39440714474,-0.051304429248573
10,0.08,0.04,70261905.2227422,34758525.3514692,-47596534.3003432,-12411252.3494295,0.117516305404801,1800,6,10,-1962.61542929612,124.464451505164,-0.052010519962704
10,0.08,0.08,85651194.6860461,46889391.3295327,-70616807.5775712,-23196305.9199105,0.129081705334692,1800,6,10,-2206.22189756144,137.4206761652,-0.052328797408375
10,0.08,0.12,105510413.277437,65592017.0788883,-107486103.159775,-41201553.4911149,0.144059116043268,1800,6,10,-2511.04965288608,152.522189364858,-0.04720273624853
10,0.08,0.16,130823077.689969,95088435.680456,-168707652.987494,-72661287.6537491,0.163694965860524,1800,6,10,-2899.19681134197,169.835138442329,-0.030826569162504
20,0.08,0,228454801.794006,31399041.6293247,-64101201.8344019,-32005556.5123015,0.111838136469004,1800,6,20,-1746.26588488402,224.43237948671,-0.050002190991772
20,0.08,0.04,274680073.416621,43000676.5048852,-93036336.2265589,-49201485.3788772,0.121139940807457,1800,6,20,-1940.25552313222,246.092821753298,-0.051656430371471
20,0.08,0.08,334049718.316525,61257810.6048946,-137706941.286152,-75413435.8343002,0.132935852483618,1800,6,20,-2178.50305828577,271.388176883554,-0.051605470386756
20,0.08,0.12,410368988.929761,90749909.6412155,-209026659.906922,-116929994.636783,0.148099965588501,1800,6,20,-2476.08261423602,300.796401056048,-0.045801005523501
20,0.08,0.16,507214374.379361,139330756.261582,-327048545.656889,-185860797.086211,0.167856657466506,1800,6,20,-2854.31229529371,334.411454707995,-0.031505336795289
30,0.08,0,503505698.428479,15544687.4925673,-94184417.599929,-77616205.8871561,0.115673263808912,1800,6,30,-1728.30850705661,333.186628293088,-0.049282367020829
30,0.08,0.04,604184599.549542,26482118.2285502,-136428118.445166,-108722772.066498,0.125244967788388,1800,6,30,-1918.3994375237,364.980947381305,-0.051224134250466
30,0.08,0.08,733075069.430535,45468104.0198092,-201466103.594492,-154482774.102445,0.137321486523162,1800,6,30,-2151.47214746369,402.031047711179,-0.050975609026993
30,0.08,0.12,898141491.918908,78708562.183717,-304986594.729893,-224313012.167458,0.152723055389753,1800,6,30,-2442.0759177349,444.997681964838,-0.045049747264775
30,0.08,0.16,1106699418.40873,137210107.291376,-475728480.937568,-335817177.743642,0.172649856705693,1800,6,30,-2810.79688150204,493.969585422853,-0.030545618395177
40,0.08,0,876991350.128039,-19654339.0726414,-123035741.62971,-141353024.037715,0.119894091402875,1800,6,40,-1710.71674861373,439.726889318385,-0.048685916862824
40,0.08,0.04,1050309569.1955,-13157594.776379,-177874169.812282,-189436929.355249,0.129765593183789,1800,6,40,-1897.03029257521,481.220399992014,-0.050734116960601
40,0.08,0.08,1271494508.22593,1711485.37947864,-262077276.981568,-258394713.065232,0.142151300811215,1800,6,40,-2125.10384252736,529.471530222329,-0.050357638172359
40,0.08,0.12,1553723755.27757,32443718.465026,-395704653.206024,-360711425.168948,0.157827985602365,1800,6,40,-2408.99065415652,585.291573429364,-0.044396067749264
40,0.08,0.16,1908818629.16319,92812622.6242686,-615397142.771109,-519090290.426771,0.177961819552257,1800,6,40,-2768.58834971341,648.735555368886,-0.029912874136308
50,0.08,0,1342823035.89596,-73024737.4072417,-150710949.717841,-222097879.920231,0.124433560779096,1800,6,50,-1693.47952877229,544.120088541687,-0.048137491791497
50,0.08,0.04,1605148912.34325,-74386549.8183564,-217470796.525059,-289907487.185962,0.134632011206746,1800,6,50,-1876.13198583633,594.898718005589,-0.05022907402834
50,0.08,0.08,1938891763.40017,-67978739.952381,-319711686.844965,-385285884.857565,0.147349433838476,1800,6,50,-2099.37406947815,653.825946949408,-0.049754685016547
