% Model,Evan_continuous_faraday_v7.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 6 2021, 09:09"
% Table,Probe Table 1 - 
% L (m),beta_e (1),beta_i (1),sigma (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity (m/s), Point: (0, 0, 0)","applied magnetic field (T) (T), Point: (0, 0, 0)","plasma conductivity (S/m) (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.06,0,0,0.04,-1.6758766347209303E9,0.4342631411163648,9.926291425424753E9,3.672265329495715E7,-1.6385778845558057E9,1800,6,60,0.42469075913408494,4678.121401180202,0.5327114258760581
0.06,0,0,0.2,-9.689821037836976E8,0.33299588593001084,5.831552990775333E9,2.339148900154899E7,-9.452331282497782E8,1800,6,60,0.36355545400110667,3585.6681236509676,0.4166937293259377
0.06,0,0,0.4,-3.1522581099976104E8,0.18677827389463963,1.8373263887088852E9,6414244.096391481,-3.0871163845015347E8,1800,6,60,0.13052356344598773,2012.6633278676445,0.2194682236056673
0.06,0,0,0.8,-4.967283450567864E7,0.07268176938058382,2.784999376613701E8,822776.4715173441,-4.8836826831488125E7,1800,6,60,0.009512081808289819,783.5929650704593,0.0782467985103021
0.1,0,0,0.04,-1.6782036026907961E9,0.42836479224494517,9.673227642253784E9,3.0705161056173924E7,-1.6470995392153463E9,1800,6,60,-2.6487383962697444,4618.103706218697,0.7589437302460286
0.1,0,0,0.2,-1.6773718027308064E9,0.426036800394801,9.567863175732197E9,2.9469701999407742E7,-1.6475232864681904E9,1800,6,60,-2.614491830774905,4592.883772828239,0.7374464914708324
0.1,0,0,0.4,-1.3778093928950267E9,0.3838503239596537,7.764354839543091E9,2.3802239649565976E7,-1.3537142021643913E9,1800,6,60,-2.2953474712690016,4137.430053278496,0.6086450037107738
0.1,0,0,0.8,-3.8192938085654336E8,0.2025143001787689,2.1605885639599247E9,6953489.405954737,-3.748936537915469E8,1800,6,60,-1.2006357649228294,2182.5490555103547,0.30744294983740544
