% Model,Evan_segmented_hall_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 23 2020, 10:44"
% Table,Probe Table 1 - 
% resistance ,"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz) (W/m^3), Power channel density","Current density, x component (A/cm^2), Current in Load","ec.Ex*(chan_len [mm]) (V), dV Hall","ec.Ey*(chan_len [mm]) (V), dV Faraday","abs(ec.Ex/(beta*(u_x[m/s])*(B_app[T]))) (m^2/(V*s)), K hall","plasma velocity, Point: (0, 0, 0)","Applied Magnetic Field, Point: (0, 0, 0)","plasma conductivity, Point: (0, 0, 0)","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx + ec.Ey*ec.Jy + ec.Ez*ec.Jz (W/m^3), Total Channel Power"
1.0E-4,1.7792148476115566E8,-2035892.076518759,127.16266967652757,-164.39854663615426,3.667921486224715E-5,0.03748305320313093,1800,6,60,-1.4442440839379163E7,1.1413166466628617E7,-54731.77694290908
3.1622776601683794E-4,5.599334735566342E8,-2068950.104794905,126.85355864444867,-165.33012923925094,3.6977040202458104E-5,0.037554861833680016,1800,6,60,-1.4458172560819564E7,1.1307117554082481E7,-172223.06079478178
0.001,1.7440567690504832E9,-2172216.8767252653,125.89580743385295,-168.25438289374227,3.791045961527758E-5,0.037816391252942796,1800,6,60,-1.450854229310631E7,1.0979495346256085E7,-536423.8483332349
0.0031622776601683794,5.261439274607468E9,-2483948.003755462,122.9651770009623,-177.21799391930128,4.0770800355963624E-5,0.03881436115587299,1800,6,60,-1.4673879171553778E7,1.0017173766601767E7,-1618326.7137713267
0.01,1.4434469137746466E10,-3340190.808882801,114.53281054851045,-203.00518982848035,4.900052123284562E-5,0.04246286292230147,1800,6,60,-1.5241983675931517E7,7602880.298207901,-4439753.583375825
0.03162277660168379,3.0827007143705845E10,-5163625.52731793,94.12285269705107,-265.42134775575704,6.892001005822564E-5,0.053004522637682794,1800,6,60,-1.7184802767692957E7,3933879.1231270153,-9481768.092291053
