% Model,Evan_continuous_faraday_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 15:50"
% Table,Probe Table 1 - 
% mob_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","Hall parameter, Point: (0, 0, 0)","Ion-slip parameter, Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0.30000000000000004,0,1.6301920064060116E8,450.9710764419761,315.6815060378042,0.3284088390541906,-421.48952013031993,2.802410201892182E11,-6.088156982879983E8,-4.432501445989771E8,110,NaN,3.2096322999481064E8,1800,6,1.8000000000000003,0,60
0.30000000000000004,0.1,1.52354272765219E8,486.97273827426636,340.8828092339739,0.34596155023273095,-425.25651773249405,3.2677108953058014E11,-6.553262289758135E8,-5.0011861031247735E8,110,NaN,3.742546479949388E8,1800,6,1.8000000000000003,0.1,60
0.30000000000000004,0.2,1.3570456950585654E8,524.7607445074327,367.33456045645954,0.36421894539182137,-427.68378528492053,3.794521403347364E11,-7.02421919329074E8,-5.635455901096905E8,110,NaN,4.3459085507199705E8,1800,6,1.8000000000000003,0.2,60
0.30000000000000004,0.30000000000000004,1.1198510327646688E8,564.0340613645511,394.8260348911993,0.38305571097320135,-428.57535963100486,4.383742040816654E11,-7.49184664778408E8,-6.3371191132864E8,110,NaN,5.020749653047002E8,1800,6,1.8000000000000003,0.30000000000000004,60
0.30000000000000004,0.4,8.014816504913631E7,604.3816897476888,423.06953157269476,0.4022721189170799,-427.74456465997406,5.0333476149739276E11,-7.944796634081193E8,-7.105505640400165E8,110,NaN,5.76475031063587E8,1800,6,1.8000000000000003,0.4,60
0.30000000000000004,0.5,3.925128080129305E7,645.2880118538296,451.7041160357716,0.42161480552894515,-425.026707322862,5.737748676770563E11,-8.369291294122481E8,-7.936510367351794E8,110,NaN,6.571508863874675E8,1800,6,1.8000000000000003,0.5,60
0.30000000000000004,0.6000000000000001,-1.1502301554030787E7,686.1298204452513,480.2935407921485,0.4407550467800213,-420.2808583647869,6.48704510560377E11,-8.748214602792026E8,-8.821211575632982E8,110,NaN,7.429686591958532E8,1800,6,1.8000000000000003,0.6000000000000001,60
0.30000000000000004,0.7000000000000001,-7.285516690665136E7,726.194967098115,508.3392991782034,0.4593074628488003,-413.3715900243644,7.26675966890076E11,-9.05809877146105E8,-9.743537902551334E8,110,NaN,8.32270255564872E8,1800,6,1.8000000000000003,0.7000000000000001,60
0.30000000000000004,0.8,-1.460598636355599E8,764.7033268747733,535.2953007045487,0.47677864234067985,-404.06187590232713,8.057870565115878E11,-9.257882093837558E8,-1.0673941236593914E9,110,NaN,9.228770869137768E8,1800,6,1.8000000000000003,0.8,60
0.30000000000000004,0.9,-2.3617204133600152E8,800.8572621060309,560.6031959090916,0.49222348328967025,-391.3200176771628,8.83780803156555E11,-9.227877930998698E8,-1.1538778991239605E9,110,NaN,1.0122042126345669E9,1800,6,1.8000000000000003,0.9,60
0.4,0,1.2921961887616058E8,457.95441031640826,320.5698669460849,0.3483240396632709,-449.03619472646517,2.889873412499817E11,-6.06923471483799E8,-4.745924869184594E8,110,NaN,3.309804910522349E8,1800,6,2.4000000000000004,0,60
0.4,0.1,1.1762969305759205E8,483.1893909983988,338.2344514985943,0.36092202081067637,-451.1020892380308,3.2171336871494E11,-6.411220802716744E8,-5.2013847049857634E8,110,NaN,3.684619827801752E8,1800,6,2.4000000000000004,0.1,60
0.4,0.2,1.0260072953835933E8,508.8411472990717,356.19078060542324,0.3736430246969993,-452.3072492442006,3.567785811726079E11,-6.753758226883832E8,-5.691839057679154E8,110,NaN,4.0862256970377547E8,1800,6,2.4000000000000004,0.2,60
0.4,0.30000000000000004,8.376221982690789E7,534.7062666423622,374.29646467228883,0.386391197916522,-452.58541520894323,3.9397156322389874E11,-7.092371212532282E8,-6.216580778225466E8,110,NaN,4.512201153602289E8,1800,6,2.4000000000000004,0.30000000000000004,60
0.4,0.4,6.074760448617739E7,560.554659478692,392.39044012096537,0.39906185445711573,-451.86903859566286,4.3298241809469617E11,-7.421364414251273E8,-6.773621045472679E8,110,NaN,4.95899691447042E8,1800,6,2.4000000000000004,0.4,60
0.4,0.5,3.3181872337293796E7,586.1272653374028,410.2913636145942,0.4115201792471919,-450.0956189057247,4.7338901541117316E11,-7.733417448916879E8,-7.359357185956659E8,110,NaN,5.421778272425768E8,1800,6,2.4000000000000004,0.5,60
0.4,0.6000000000000001,601798.6933006103,611.1487446825465,427.80649640802704,0.4235915948603133,-447.18614351501304,5.14669196256351E11,-8.01798258319677E8,-7.96765549918581E8,110,NaN,5.894564881962513E8,1800,6,2.4000000000000004,0.6000000000000001,60
0.4,0.7000000000000001,-3.771691493858029E7,635.3259970079029,444.7306670073947,0.4350803079787757,-443.00327168456414,5.5619564122421E11,-8.257858417600546E8,-8.587909263401258E8,110,NaN,6.370171982524971E8,1800,6,2.4000000000000004,0.7000000000000001,60
0.4,0.8,-8.347258021143086E7,658.3636744138141,460.85713073574857,0.4456810279308482,-437.1859280824179,5.972636013034297E11,-8.416795240196853E8,-9.199203590982746E8,110,NaN,6.840528003475227E8,1800,6,2.4000000000000004,0.8,60
0.4,0.9,-1.4277875171691525E8,679.9663767695861,475.9791063544107,0.4545252698168197,-428.13557825782647,6.371023454478546E11,-8.375544574633778E8,-9.739171405439928E8,110,NaN,7.296805674420694E8,1800,6,2.4000000000000004,0.9,60
0.5,0,1.1193704046492854E8,439.46277039920614,307.6256471707453,0.3546705783445399,-470.0349050285618,2.6612060748359283E11,-5.886095464189214E8,-4.732525216624066E8,110,NaN,3.047909606111307E8,1800,6,3,0,60
0.5,0.1,1.0217570333381884E8,457.34508477589884,320.1433367345028,0.3639552028965336,-471.5696057757461,2.8821883583321643E11,-6.151735267773113E8,-5.093771930168844E8,110,NaN,3.3010031305164444E8,1800,6,3,0.1,60
0.5,0.2,9.028543731713642E7,475.21904572020975,332.6551788637305,0.3731947221430396,-472.5333980047099,3.111873995989677E11,-6.416397954988917E8,-5.475329779398657E8,110,NaN,3.5640647055000013E8,1800,6,3,0.2,60
0.5,0.30000000000000004,7.606497790857585E7,492.97073866533214,345.0814329192535,0.3823294972191478,-472.89169053744325,3.3487028431538385E11,-6.677112138881128E8,-5.876210162722757E8,110,NaN,3.8353074796321774E8,1800,6,3,0.30000000000000004,60
0.5,0.4,5.928687668032768E7,510.4770041658343,357.33588680956154,0.39129473501530504,-472.60290226906443,3.590762603424579E11,-6.929899611154296E8,-6.294620751197027E8,110,NaN,4.1125412780811316E8,1800,6,3,0.4,60
0.5,0.5,3.966697195299538E7,527.607318318145,369.3271732957639,0.4000114080616489,-471.6147777029977,3.835799953679697E11,-7.169275174424332E8,-6.72771913317659E8,110,NaN,4.393185344228736E8,1800,6,3,0.5,60
0.5,0.6000000000000001,1.6779178262748778E7,544.228872542273,380.9623258548816,0.4083781337928861,-469.8395272447607,4.081290275657665E11,-7.38665750471788E8,-7.170784438620837E8,110,NaN,4.674348204046018E8,1800,6,3,0.6000000000000001,60
0.5,0.7000000000000001,-1.0139195785676308E7,560.2055856678901,392.14608713910224,0.4162623231456086,-467.097879488942,4.324433243253117E11,-7.566892620131879E8,-7.615506843717238E8,110,NaN,4.952822612172522E8,1800,6,3,0.7000000000000001,60
0.5,0.8,-4.288268310792437E7,575.4044093561097,402.7853227931575,0.42340582644244346,-462.90066584704164,4.562267008321899E11,-7.675963579650253E8,-8.044281237648593E8,110,NaN,5.225216330218371E8,1800,6,3,0.8,60
0.5,0.9,-8.778674031276576E7,589.6955477949969,412.7891752453498,0.4287961505157849,-455.15039094885594,4.791704475809393E11,-7.596352856542052E8,-8.399423732168524E8,110,NaN,5.487993673081652E8,1800,6,3,0.9,60
0.6000000000000001,0,1.0234147945796807E8,413.0333682004222,289.12496293493325,0.3557453782581544,-487.22954260685793,2.3507400448254526E11,-5.643396601912147E8,-4.58369068384865E8,110,NaN,2.6923293283612996E8,1800,6,3.6000000000000005,0,60
0.6000000000000001,0.1,9.434514169872427E7,426.0798441023305,298.25754677155,0.36287000688294424,-488.58116081225864,2.5015910135768054E11,-5.855732483281214E8,-4.8740872798219746E8,110,NaN,2.865100659787325E8,1800,6,3.6000000000000005,0.1,60
0.6000000000000001,0.2,8.488418104623647E7,439.000202550489,307.3018479012399,0.3699036125449352,-489.5239127684449,2.655606781345526E11,-6.066121109891443E8,-5.1770632115230477E8,110,NaN,3.041496671548218E8,1800,6,3.6000000000000005,0.2,60
0.6000000000000001,0.30000000000000004,7.381415189431976E7,451.7270095158916,316.21066224054215,0.3768058010818032,-490.02927718336093,2.8118130667991003E11,-6.272225842252616E8,-5.491639487056651E8,110,NaN,3.2204015081450063E8,1800,6,3.6000000000000005,0.30000000000000004,60
0.6000000000000001,0.4,6.095001545171076E7,464.193471071511,324.9372337815761,0.38353935553579166,-490.05762945732425,2.969151673526601E11,-6.470789207704285E8,-5.816258337215359E8,110,NaN,3.4006032051843774E8,1800,6,3.6000000000000005,0.4,60
0.6000000000000001,0.5,4.603610206195923E7,476.3285644943225,333.4318463416014,0.390054926311355,-489.5526777045932,3.126421869151547E11,-6.657118631423821E8,-6.148531287916251E8,110,NaN,3.58072655020937E8,1800,6,3.6000000000000005,0.5,60
0.6000000000000001,0.6000000000000001,2.866884294237266E7,488.0629352733855,341.6459514932812,0.3962735307282897,-488.40698808406506,3.2823582708128986E11,-6.823610039859799E8,-6.484467021822432E8,110,NaN,3.7593222858272445E8,1800,6,3.6000000000000005,0.6000000000000001,60
0.6000000000000001,0.7000000000000001,8098771.280364055,499.3263273674728,349.53036973481227,0.40208159916356856,-486.3997761982211,3.435605252909493E11,-6.956344270338819E8,-6.816925169710672E8,110,NaN,3.934837798607881E8,1800,6,3.6000000000000005,0.7000000000000001,60
0.6000000000000001,0.8,-1.7454754835985728E7,510.0509595164551,357.0376539201067,0.407202760655518,-482.92679758193407,3.584771396043898E11,-7.022934102327616E8,-7.130026955589298E8,110,NaN,4.105679480078922E8,1800,6,3.6000000000000005,0.8,60
0.6000000000000001,0.9,-5.424295176136022E7,520.1712972360564,364.12192965527913,0.41042192846411907,-475.47608517660626,3.728439467214537E11,-6.909622713056135E8,-7.369302890955646E8,110,NaN,4.2702241571533954E8,1800,6,3.6000000000000005,0.9,60
0.7000000000000001,0,9.588399624519134E7,385.4675782739493,269.8288028649915,0.3548333374283847,-501.63977994919776,2.0474346010622803E11,-5.381094154339061E8,-4.3841295772086215E8,110,NaN,2.3449501515387675E8,1800,6,4.2,0,60
0.7000000000000001,0.1,8.922119580131547E7,395.2788164032395,276.69670768705663,0.360501366728077,-502.90345379205735,2.1529870057458374E11,-5.553767767479755E8,-4.62144436289099E8,110,NaN,2.465840521970903E8,1800,6,4.2,0.1,60
0.7000000000000001,0.2,8.146646477587153E7,404.9429132032104,283.4616130071821,0.3660737005050579,-503.85041697697835,2.2595498832978458E11,-5.723828777509687E8,-4.8668417579929715E8,110,NaN,2.5878881984800056E8,1800,6,4.2,0.2,60
0.7000000000000001,0.30000000000000004,7.249724560720932E7,414.4198109137094,290.095478236729,0.3715261296543783,-504.451462499556,2.3665481452499994E11,-5.889246359319432E8,-5.119407541000043E8,110,NaN,2.7104345256979334E8,1800,6,4.2,0.30000000000000004,60
0.7000000000000001,0.4,6.215343636475233E7,423.6698566857521,296.5705462277993,0.3768245801677718,-504.6645327317432,2.473372110814029E11,-6.047200392562572E8,-5.377757920911548E8,110,NaN,2.832781229278784E8,1800,6,4.2,0.4,60
0.7000000000000001,0.5,5.0205206402208254E7,432.65208823954936,302.8581432250999,0.3819294716646445,-504.42467345166386,2.5793598548284586E11,-6.193529838958151E8,-5.63978015133146E8,110,NaN,2.954170198801393E8,1800,6,4.2,0.5,60
0.7000000000000001,0.6000000000000001,3.626622659890246E7,441.32785620255305,308.9312145173689,0.3867762455353679,-503.6063504242039,2.6838423950213284E11,-6.321231267754778E8,-5.901949963487521E8,110,NaN,3.0738352412556374E8,1800,6,4.2,0.6000000000000001,60
0.7000000000000001,0.7000000000000001,1.9613483226009607E7,449.6571087942883,314.7617237026319,0.3912544282007047,-501.94863921651387,2.786103559990082E11,-6.417245391020777E8,-6.157817160210297E8,110,NaN,3.190956117383065E8,1800,6,4.2,0.7000000000000001,60
0.7000000000000001,0.8,-1470512.7258074174,457.60247117880874,320.3235082500747,0.395047386102304,-498.75241219770953,2.885433369005406E11,-6.45084972536095E8,-6.392682884759285E8,110,NaN,3.3047196781737024E8,1800,6,4.2,0.8,60
0.7000000000000001,0.9,-3.2972638032025736E7,465.12728532684935,325.5909073960405,0.3967459312336925,-491.16557666579035,2.981109726264716E11,-6.313839538209202E8,-6.554892350492465E8,110,NaN,3.414298899086302E8,1800,6,4.2,0.9,60
0.8,0,9.070848266297695E7,359.28958741589133,251.50410753243665,0.3532419926889203,-513.8475339313485,1.7787855382096014E11,-5.117965074867461E8,-4.1709647927299213E8,110,NaN,2.037263322215728E8,1800,6,4.800000000000001,0,60
0.8,0.1,8.502187835766529E7,366.8723557678527,256.8120748492768,0.3578973238609169,-515.0443108923938,1.854659996102467E11,-5.2601220394019127E8,-4.367850475821944E8,110,NaN,2.1241632024079865E8,1800,6,4.800000000000001,0.1,60
0.8,0.2,7.847235003104165E7,374.31693710503487,262.02331071892536,0.36246010193791267,-515.9770922090319,1.9306932792533664E11,-5.399210331430116E8,-4.5700048754429424E8,110,NaN,2.2112449869759485E8,1800,6,4.800000000000001,0.2,60
0.8,0.30000000000000004,7.095745175547926E7,381.5989959223539,267.1207801927524,0.36691329575592707,-516.6169006319237,2.006544401296957E11,-5.533478186973727E8,-4.776589755752425E8,110,NaN,2.2981181403544298E8,1800,6,4.800000000000001,0.30000000000000004,60
0.8,0.4,6.233078674012746E7,388.69458689138617,272.0877214480322,0.37123186530865177,-516.9167972580292,2.0818590023390378E11,-5.66035911501556E8,-4.986345019700951E8,110,NaN,2.3843768101234588E8,1800,6,4.800000000000001,0.4,60
0.8,0.5,5.237944559183604E7,395.57770345219,276.9059297915217,0.3753787529177887,-516.8007003631501,2.1562441659812607E11,-5.776022585704055E8,-5.197342521190806E8,110,NaN,2.4695709846600053E8,1800,6,4.800000000000001,0.5,60
0.8,0.6000000000000001,4.0737243813762814E7,402.2256584062789,281.5595240959631,0.3792923976542315,-516.1298306457787,2.2293274842574643E11,-5.873974343460265E8,-5.40640846547667E8,110,NaN,2.5532741408818552E8,1800,6,4.800000000000001,0.6000000000000001,60
0.8,0.7000000000000001,2.671545913552561E7,408.61489405558166,286.03201388126973,0.38284473131847224,-514.6102045725968,2.3007144124998172E11,-5.941937720507915E8,-5.607597120142759E8,110,NaN,2.6350344022904167E8,1800,6,4.800000000000001,0.7000000000000001,60
0.8,0.8,8663052.841691611,414.72243026481306,290.3073129627577,0.3856820580643392,-511.46423689013034,2.3700056283386694E11,-5.950751502786653E8,-5.787147616215603E8,110,NaN,2.71439442043084E8,1800,6,4.800000000000001,0.8,60
0.8,0.9,-1.9028162591640905E7,420.5262240560193,294.36999117023163,0.3862138550287852,-503.5678112527698,2.4368034170781052E11,-5.799056592958752E8,-5.896203121877718E8,110,NaN,2.790898688135275E8,1800,6,4.800000000000001,0.9,60
0.9,0,8.611319162206605E7,335.31916843308375,234.72472108972173,0.3515016115918065,-524.2694669378546,1.5493555375168356E11,-4.8633845641032815E8,-3.9605929557919145E8,110,NaN,1.7744945311574388E8,1800,6,5.4,0,60
0.9,0.1,8.115583991360518E7,341.3189670040385,238.92460340745828,0.35542114833091465,-525.398615455484,1.6052961824525647E11,-4.9815774550418955E8,-4.1260764147976905E8,110,NaN,1.8385639884925616E8,1800,6,5.4,0.1,60
0.9,0.2,7.549342671399221E7,347.1986815100766,243.0404264131336,0.3592578231143242,-526.297593604455,1.6610796675715182E11,-5.0964778036307377E8,-4.2949913540359765E8,110,NaN,1.902453448900812E8,1800,6,5.4,0.2,60
0.9,0.30000000000000004,6.902939371325776E7,352.9423986672871,247.06105074592048,0.3629955760521146,-526.9328649757854,1.716492829665576E11,-5.20643825942057E8,-4.4665515684249103E8,110,NaN,1.965918774133806E8,1800,6,5.4,0.30000000000000004,60
0.9,0.4,6.163292876540946E7,358.5338256984778,250.97507139850163,0.36661108063270775,-527.2539328523095,1.7713100968934656E11,-5.309141480703584E8,-4.6396036329782563E8,110,NaN,2.028701614194381E8,1800,6,5.4,0.4,60
0.9,0.5,5.310207589489278E7,363.9574990628528,254.7716638320886,0.3700666925956374,-527.179030382593,1.8253059604361237E11,-5.401023047403059E8,-4.8123974316479564E8,110,NaN,2.090543691265431E8,1800,6,5.4,0.5,60
0.9,0.6000000000000001,4.309554352578497E7,369.1991171349668,258.44081685337864,0.37329975560405115,-526.5510719060613,1.8782596785168753E11,-5.475998720294533E8,-4.981951192828354E8,110,NaN,2.1511921872777435E8,1800,6,5.4,0.6000000000000001,60
0.9,0.7000000000000001,3.0955209768147185E7,374.24221991502174,261.97100839814226,0.37616848506987377,-525.0522995799599,1.9299225870143695E11,-5.522519036233463E8,-5.142768335751954E8,110,NaN,2.2103623043829682E8,1800,6,5.4,0.7000000000000001,60
