% Model,Evan_segmented_faraday_v1.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 2 2020, 14:42"
% Table,Probe Table 1 - 
% resistance (Ω),"plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T) (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.001,1800,6,60,1.5744168160304355E11,-1.786011605550899E8,1.0198164166989417E9,8.421356261651655E8,0.5278380286411555,0.12218439360858623,4407.980195582845,-0.08091464220172878
0.001584893192461114,1800,6,60,2.4885485680154126E11,-1.8391163702505648E8,1.0169787667810432E9,8.339847342946156E8,0.5286225655926671,0.0018884416390613952,4420.66811163617,-0.07949028228809708
0.0025118864315095794,1800,6,60,3.9273997880931396E11,-1.9224852569979945E8,1.0125098196703875E9,8.211745393463954E8,0.5298626755142339,0.30844280625885906,4440.701514350787,-0.07684713557632397
0.003981071705534973,1800,6,60,6.183080548946271E11,-2.0526173528055868E8,1.0054994132136315E9,8.011440779313115E8,0.5318205532471952,0.051972193026791375,4472.269267153072,-0.07673715906296628
0.00630957344480193,1800,6,60,9.696897918211202E11,-2.253914388302376E8,9.94569446459673E8,7.700737139095788E8,0.5349045373647743,0.01006328415920511,4521.847381479904,-0.07205247333266317
0.01,1800,6,60,1.5116163103925454E12,-2.560907187494485E8,9.7768600697628E8,7.22474427455544E8,0.5397448634031946,-0.0018769654023200453,4599.303229546776,-0.0575706270030919
