% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 8 2020, 13:59"
% Table,Probe Table 1 - 
% mob_i (m^2/(V*s)),u_x (m/s),mob_e (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,1200,0.16,-3.1091870114157677E8,0.27947652041911475,1.7720127958852718E9,-5819078.129131536,-3.1672279527052766E8,1200,6,60,-87.14312471908944,1976.7692609387627,-0.0049875545444421675
0.01,1200,0.16,-3.118104223622157E8,0.27988530918759913,1.7790686531250567E9,-7359012.193970554,-3.1915343990862644E8,1200,6,60,-88.54271113910896,1980.7009325579554,-0.007521572968592079
0.02,1200,0.16,-3.1100038844760966E8,0.2795873737938676,1.7768858694795904E9,-9051857.681966972,-3.20035130909866E8,1200,6,60,-89.87735111975795,1979.4854739638995,-0.009879204672543137
0.03,1200,0.16,-3.081627731004885E8,0.27843686106963733,1.7636080472388268E9,-1.0902634089786425E7,-3.1904705765526086E8,1200,6,60,-91.10619217739689,1972.075729318947,-0.012393478287309967
0.04,1200,0.16,-3.0294682756965154E8,0.2762668609253966,1.737235464548665E9,-1.2914863046878954E7,-3.15841994638841E8,1200,6,60,-92.19738285346793,1957.2752101759318,-0.015271695968684253
0.05,1200,0.16,-2.949805896720178E8,0.27288067649629305,1.695596912256356E9,-1.5082111098020665E7,-3.100415585012197E8,1200,6,60,-93.0885735824353,1933.6766848666875,-0.019286043793797798
0,1800,0.16,-6.99566569143653E8,0.2794762812108826,3.9870219482308426E9,-1.3092488326857314E7,-7.126253436615679E8,1800,6,60,-130.71224485325789,2965.151347023872,-0.008034979789220638
0.01,1800,0.16,-7.015734794436855E8,0.2798853279594779,4.0029050397429147E9,-1.6557754812091311E7,-7.180952462969533E8,1800,6,60,-132.81398915164652,2971.051610449257,-0.011277603110888504
0.02,1800,0.16,-6.997497960179051E8,0.2795868279534326,3.997977802646162E9,-2.036556287594627E7,-7.20076849812318E8,1800,6,60,-134.81129642358763,2969.2224909455663,-0.015193000502535072
0.03,1800,0.16,-6.9336626063715E8,0.27843674078316144,3.9681148646969056E9,-2.453137059406485E7,-7.178563448194616E8,1800,6,60,-136.660944183091,2958.1123857203274,-0.018347130062479313
0.04,1800,0.16,-6.816304043966535E8,0.276266892932452,3.9087807079282227E9,-2.9058428565679107E7,-7.106445170105217E8,1800,6,60,-138.29603426876477,2935.9131580293783,-0.022893449478874336
0.05,1800,0.16,-6.637063249189289E8,0.2728806750073714,3.8150930114372745E9,-3.393475057253227E7,-6.975935053867699E8,1800,6,60,-139.63286198810727,2900.5150116612704,-0.028930517262172235
0,2400,0.16,-1.2436727033763914E9,0.27947562853349345,7.088007469126086E9,-2.327555858994806E7,-1.2668883267553053E9,2400,6,60,-174.28236026502833,3953.526330457981,-0.010754030571248714
0.01,2400,0.16,-1.247241725841043E9,0.2798853233033635,7.116275369958102E9,-2.943601374829758E7,-1.2766137609943347E9,2400,6,60,-177.08533536662907,3961.4020759421687,-0.01503985922768055
0.02,2400,0.16,-1.2440015340622888E9,0.279587366435356,7.10754311037076E9,-3.6207421155041024E7,-1.2801404943421786E9,2400,6,60,-179.75466950066266,3958.970845563867,-0.019755983724897914
0.03,2400,0.16,-1.2326511026306322E9,0.2784367392750513,7.054426328677325E9,-4.361127050941578E7,-1.27618897506657E9,2400,6,60,-182.21445317757914,3944.149820385153,-0.024469159582206117
0.04,2400,0.16,-1.2117873701151507E9,0.276266885840622,6.948943117486768E9,-5.165944120093246E7,-1.2633680274015486E9,2400,6,60,-184.39474344785717,3914.550775050397,-0.03052779384400862
0.05,2400,0.16,-1.1799206767011554E9,0.2728800021624357,6.78235478437157E9,-6.032776842502352E7,-1.2401638764553537E9,2400,6,60,-186.17547340105378,3867.3439999208085,-0.038129529234549736
