% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 28 2020, 18:24"
% Table,Probe Table 1 - 
% resistance ,beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (m^2*A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V*m), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (kg/(m^2*s^3)), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
1.0E-6,0,0,1.0070642922192699E8,-0.0063226409964436195,-0.03621713887596751,0.05075122413505099,-7.133496130411397E-5,321875.869191991,9.828707225221908E7,1.9957122805944008E8,0.25,NaN,40551.29060686469,1800,6,60
3.727593720314938E-6,0,0,1.007065167263503E8,-0.006322640701482409,-0.03623477584224635,0.05075124208742626,-7.035255601412095E-5,1199817.072939209,9.828717122923353E7,1.9957141547761557E8,0.25,NaN,151158.0564332847,1800,6,60
1.3894954943731361E-5,0,0,1.0070622400192226E8,-0.006322641755835479,-0.03630052643962339,0.05075133416745254,-7.104062821415844E-5,4472358.789109856,9.828709693635172E7,1.9957104811677748E8,0.25,NaN,563446.7765807647,1800,6,60
5.1794746792312125E-5,0,0,1.0070478317782274E8,-0.0063226451173172705,-0.03654561193848205,0.050751352812101413,-7.14603873295103E-5,1.667014340156884E7,9.828699187286866E7,1.995695002062448E8,0.25,NaN,2100175.546654321,1800,6,60
1.9306977288832496E-4,0,0,1.0069987067363672E8,-0.006322633877758309,-0.037458909313927174,0.050751273358890944,-7.017480095889221E-5,6.212563075163169E7,9.828693246124914E7,1.9956452761969286E8,0.25,NaN,7826851.118315731,1800,6,60
7.196856730011514E-4,0,0,1.0068229522547121E8,-0.006322621153569744,-0.040861744113505245,0.05075140986071235,-7.06429700598579E-5,2.3140507611119863E8,9.828643786083435E7,1.9954645802541226E8,0.25,NaN,2.9153395415583815E7,1800,6,60
0.0026826957952797246,0,0,1.0061521169910018E8,-0.006322554969407356,-0.053526309616553455,0.050751467230057266,-6.98914203822141E-5,8.607262391367028E8,9.828457324647464E7,1.9947749250217378E8,0.25,NaN,1.0843795138730031E8,1800,6,60
0.01,0,0,1.0036914797927134E8,-0.006322347628256496,-0.10056220391162761,0.050752777052181855,-7.115245570688381E-5,3.1934480962939215E9,9.827796262968887E7,1.9922478728374353E8,0.25,NaN,4.0232416961182845E8,1800,6,60
0.03727593720314938,0,0,9.945456716892917E7,-0.0063215382194973845,-0.27477487116494725,0.05075749859325985,-7.08000357185397E-5,1.1818228230058023E10,9.825289210692531E7,1.9828498614671296E8,0.25,NaN,1.488910643156903E9,1800,6,60
0.1389495494373136,0,0,9.607205860957392E7,-0.006318570428923794,-0.9196219776487045,0.05078680914723292,-7.040585136384653E-5,4.3773618085456474E10,9.81604433421162E7,1.9480948286513054E8,0.25,NaN,5.514786530451152E9,1800,6,60
0.5179474679231202,0,0,8.35595061373184E7,-0.006307549709603286,-3.310492327641829,0.05107858689993572,-7.068694011492453E-5,1.6230731530972897E11,9.781836859952064E7,1.8195284653615573E8,0.25,NaN,2.0448165708312107E10,1800,6,60
1.9306977288832496,0,0,3.7706791525460735E7,-0.006266826622293864,-12.143422727686945,0.05368247683092642,-6.954329204994362E-5,5.970609209025582E11,9.65597027217495E7,1.3483407065529704E8,0.25,NaN,7.522027349953429E10,1800,6,60
7.196856730011514,0,0,-1.2319311765537286E8,-0.006119580589926402,-44.085048019914254,0.06791037237448452,-6.857621207723348E-5,2.12218601686457E12,9.20753429818871E7,-3.057655372971374E7,0.25,NaN,2.6736201787269992E11,1800,6,60
26.82695795279722,0,0,-6.056881894186046E8,-0.005626776476397878,-150.98918076392548,0.12983908620663734,-6.304254614889762E-5,6.687858984066576E12,7.784303658376677E7,-5.273875299689933E8,0.25,NaN,8.42564911378459E11,1800,6,60
100,0,0,-1.464216808073244E9,-0.004327687175716598,-432.7994083248225,0.3201898644671416,-4.815594321126897E-5,1.4747146866100709E13,4.6048017180110335E7,-1.4178981224935534E9,0.25,NaN,1.857908266595345E12,1800,6,60
372.7593720314938,0,0,-1.6137585974017828E9,-0.0023259462654416376,-867.0347663320274,0.632240246025181,-2.543481739465963E-5,1.587903864009022E13,1.3301426158033283E7,-1.6003789852629893E9,0.25,NaN,2.0005088050507214E12,1800,6,60
1389.4954943731361,0,0,-8.155944754087865E8,-8.538172844420498E-4,-1186.3813257554855,0.8649616508135265,-9.315956251018663E-6,7.975966230012451E12,1792390.0081625646,-8.137915498425516E8,0.25,NaN,1.0048461392141577E12,1800,6,60
5179.474679231202,0,0,-2.6985993418980974E8,-2.541687332592075E-4,-1316.4623209679764,0.9598004673140549,-2.574322343502897E-6,2.634670096772715E12,158838.53051345417,-2.697001620136352E8,0.25,NaN,3.319269413256928E11,1800,6,60
19306.977288832455,0,0,-7.688808284196785E7,-7.025224982454971E-5,-1356.359090147427,0.9888882255376177,-5.065776761526214E-7,7.502932491849594E11,12135.728137159895,-7.687587577112688E7,0.25,NaN,9.452513375558463E10,1800,6,60
71968.567300115,0,0,-2.0973132189406753E7,-1.9001028768565533E-5,-1367.476952475628,0.9969939869317882,6.962450880521936E-8,2.0459422325591635E11,888.0346715879696,-2.097223892285858E7,0.25,NaN,2.5775650173973476E10,1800,6,60
