% beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"Current density, y component (A/cm^2), mean Jy all el_fl","Current density, y component (A/cm^2), max Jy all el_fl","Current density, y component (A/cm^2), min Jy all el_fl","Current density norm (A/cm^2), mean |J| all el_fl","Current density norm (A/cm^2), max |J| all el_fl","Current density norm (A/cm^2), min |J| all el_fl","Current density, y component (A/cm^2), mean Jy all el_fl 2b","Current density, y component (A/cm^2), max Jy all el_fl 2b","Current density, y component (A/cm^2), min Jy all el_fl 2b","Current density norm (A/cm^2), mean |J| all el_fl 2b","Current density norm (A/cm^2), max |J| all el_fl 2b","Current density norm (A/cm^2), min |J| all el_fl 2b","Current density, y component (A/cm^2), mean Jy midline","Current density, y component (A/cm^2), max Jy midline","Current density, y component (A/cm^2), min Jy midline","Current density norm (A/cm^2), mean |J| midline","Current density norm (A/cm^2), max |J| midline","Current density norm (A/cm^2), min |J| midline"
0.1,0.3,-1.57E+09,-1379.329836,-1078.792252,0.83565804,58.9316909,1.05E+13,9.31E+07,-1.48E+09,190,380,-102.3697033,-24.1478806,-1505.584389,115.4597041,1678.546759,40.62872874,-102.576494,-35.88512439,-590.8663033,115.9531789,702.3717888,63.91863438,-103.696699,-67.51356195,-385.5272139,116.1601563,458.7888355,67.86302654
0.2,0.3,-1.56E+09,-1375.163723,-1078.690881,0.835796304,117.6404728,1.05E+13,9.39E+07,-1.47E+09,190,380,-101.3373166,1.105278581,-1982.656751,118.1802954,2261.623505,26.16939166,-101.4074716,-15.1713676,-718.0724815,118.9897738,874.8108259,56.02192339,-102.4416921,-64.11506164,-459.6666388,119.1523773,562.2316346,66.09135377
0.3,0.3,-1.55E+09,-1368.557347,-1078.538764,0.836068427,175.9160074,1.04E+13,9.53E+07,-1.45E+09,190,380,-99.7414435,33.50763268,-2523.613847,122.2572052,2960.295238,17.33049641,-99.63661822,12.68884646,-848.9671929,123.3743781,1062.910027,53.09021714,-100.668417,-59.85159779,-535.3261952,123.5677008,674.3974424,62.79416161
0,0.4,-1.70E+09,-1441.138115,-1109.468013,0.852812498,-8.25E-04,1.15E+13,8.71E+07,-1.62E+09,190,380,-107.2513823,-36.08961181,-1162.250091,119.5187693,1274.827247,67.23143845,-107.4600374,-39.84458113,-496.0618937,119.6464395,577.5618475,71.84118485,-108.7447804,-72.35958189,-329.5142243,119.8766222,382.8952219,72.40368904
0.1,0.4,-1.70E+09,-1439.331445,-1109.386915,0.852832362,61.55629389,1.14E+13,8.75E+07,-1.61E+09,190,380,-106.7586863,-22.79383012,-1652.400039,120.8939982,1847.116496,39.77807774,-106.8589803,-35.46297061,-639.5595136,121.3671409,762.3948563,64.6820045,-107.9236846,-69.89521847,-413.6917174,121.4552024,494.0061424,70.42688029
0.2,0.4,-1.69E+09,-1434.095498,-1109.155602,0.852906288,122.8514748,1.14E+13,8.87E+07,-1.60E+09,190,380,-105.3661303,9.664632849,-2257.812125,124.7198899,2596.577714,23.99046238,-105.2858625,-8.03889223,-796.9211,125.5882132,978.7667513,57.34732067,-106.2472812,-65.48382678,-504.4170871,125.6094492,622.4163758,68.01736173
0.3,0.4,-1.67E+09,-1425.917384,-1108.809176,0.853081883,183.6349702,1.12E+13,9.05E+07,-1.58E+09,190,380,-103.2638859,51.45779307,-2943.148455,130.2725006,3502.761122,15.09533791,-102.9578453,28.61626851,-956.502096,131.4974762,1213.844336,54.35767998,-103.9255701,-59.57532089,-595.6816786,131.5518429,760.9792509,63.87296637
0,0.5,-1.85E+09,-1507.167541,-1142.949678,0.871635338,8.23E-04,1.25E+13,7.99E+07,-1.77E+09,190,380,-112.1964778,-38.60570071,-1217.803226,125.0088318,1334.811764,71.11152775,-112.3105931,-41.93730519,-519.9018812,125.0262744,604.5557785,75.0854226,-113.5783395,-75.62271476,-343.5762961,125.1583012,398.8845804,75.67213361
0.1,0.5,-1.85E+09,-1504.805591,-1142.796107,0.871619681,64.43287656,1.25E+13,8.04E+07,-1.77E+09,190,380,-111.4884848,-19.59669261,-1850.383354,127.0917663,2077.327807,37.94462727,-111.454287,-33.26888852,-702.6917581,127.5645955,841.4104963,65.28263511,-112.4356552,-72.22835244,-449.7183743,127.4979152,539.8857647,73.12121578
0.2,0.5,-1.83E+09,-1498.054237,-1142.365492,0.871596747,128.5564168,1.24E+13,8.20E+07,-1.75E+09,190,380,-109.5269537,24.10282517,-2649.502739,132.7236298,3085.319486,20.98893728,-109.2448951,4.523019095,-903.3824612,133.6968294,1122.995485,58.76360904,-110.1022093,-66.29406973,-563.9360969,133.5278862,704.847487,69.22089339
0.3,0.5,-1.81E+09,-1487.743597,-1141.731823,0.871637745,192.0750939,1.22E+13,8.44E+07,-1.73E+09,190,380,-106.6725158,79.97250231,-3543.618161,140.5076374,4308.171038,12.41819339,-106.0931777,54.61922698,-1101.329298,141.8733026,1424.917446,55.1716,-106.9759396,-58.18290725,-675.8701935,141.7467472,880.4437607,64.06531867
0,0.6,-2.02E+09,-1579.691086,-1179.695456,0.892305329,1.66E-04,1.38E+13,7.07E+07,-1.95E+09,190,380,-117.6307709,-41.44048114,-1278.955724,131.041048,1400.815558,75.44975023,-117.6349538,-44.23535757,-546.3051939,130.9306022,634.3437508,78.64620223,-118.8770415,-79.20544261,-358.9460442,130.9463887,416.3435217,79.26107994
0.1,0.6,-2.02E+09,-1576.470297,-1179.421696,0.892233058,67.59910664,1.37E+13,7.15E+07,-1.95E+09,190,380,-116.535194,-12.58974649,-2140.516572,134.4536896,2420.974839,34.56653067,-116.3226746,-27.69460328,-790.5490451,134.9705881,953.8032635,65.82894383,-117.1778814,-74.25778732,-499.0438154,134.6930483,604.3331534,75.91745739
0.2,0.6,-2.00E+09,-1567.476734,-1178.674529,0.8920606,134.838172,1.36E+13,7.37E+07,-1.92E+09,190,380,-113.6099767,50.08504278,-3252.654506,143.240425,3865.653011,17.01461815,-113.0404003,27.99136981,-1056.556262,144.3876691,1338.682161,59.88893394,-113.7479357,-65.27053466,-648.1004554,143.9508129,826.211139,70.00572827
0.3,0.6,-1.97E+09,-1554.220545,-1177.612373,0.891903131,201.356916,1.33E+13,7.69E+07,-1.89E+09,190,380,-109.603023,127.8086602,-4454.988004,154.4618133,5597.043287,9.362688447,-108.6379602,99.41982756,-1305.22267,155.9716007,1738.085206,54.96058346,-109.4098943,-54.85670023,-787.1419267,155.604102,1054.824647,62.30850614
