% Model,Evan_continuous_faraday_v7.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 19 2021, 08:26"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Joule Heating"
0,0,0.0080999350856903,825630.9412777997,-3.710907577408039E7,1800,6,60,0.005421285162843432,60.463552806674684,-0.05215018856159786,73520.55329629546,-67381.29635063508,-7695.972920524452
0.3,0,0.01629187967307392,-1.0111675110517769E8,-1.0148617939708726E8,1800,6,60,-376.25322256269874,14.341983325640076,-0.06711113961938059,4136.565145023952,-704.4126259717536,175918.37562511256
1,0,0.052965238563651686,-1.2766520757904975E8,-1.2569528746238305E8,1800,6,60,-1243.6745370786768,1.647479977205824,-0.07628031968052665,54.58354420730772,3431.340703271125,222952.72378345096
1.6666666666666667,0,0.08825254905700408,-1.2955824883725014E8,-1.2758671486085078E8,1800,6,60,-2067.7258624995434,0.6038095442632355,-0.07418824279805186,7.331981975366356,3401.5818899413007,226355.73668291201
