% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 19:52"
% Table,Probe Table 1 - 
% beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0.7000000000000001,0.30000000000000004,-1.3770950895603228E9,-1215.2836904391604,-850.7033075543878,0.6262938508438722,124.7618547986638,2.0351183342715068E12,-1.2304292914033055E8,-1.499461146035518E9,110,NaN,2.330844191005314E9,1800,6,60
0.7000000000000001,0.4,-1.4122585857901735E9,-1270.2756880226834,-889.1979195164623,0.658134737490397,179.69106730237635,2.223465012888153E12,-2.4013954027747634E8,-1.6513912624993768E9,110,NaN,2.5465597856986814E9,1800,6,60
0.7000000000000001,0.5,-1.4114213168929808E9,-1329.387165907576,-930.5761836718933,0.6945648582435007,246.95574486279142,2.435214893424799E12,-4.287596078497555E8,-1.8386289891122587E9,110,NaN,2.789079333915304E9,1800,6,60
0.7000000000000001,0.6000000000000001,-1.3643359328241608E9,-1396.8245275369047,-977.7825987682427,0.7393467287769,329.76117756192815,2.6885494735405835E12,-7.258209720047189E8,-2.087637340981354E9,110,NaN,3.0792263118575096E9,1800,6,60
0.7000000000000001,0.7000000000000001,-1.2729111057429178E9,-1481.4413944975984,-1037.0147343221474,0.7994601207617839,430.6853768022351,3.0241496531225845E12,-1.1855614480014708E9,-2.4540968674136443E9,110,NaN,3.463593017176913E9,1800,6,60
0.7000000000000001,0.8,-1.1807006283579147E9,-1598.0428648794914,-1118.6362165339333,0.8848886486151041,546.5508583523008,3.518934446177344E12,-1.8850401786111321E9,-3.0576760666215954E9,110,NaN,4.030275672071417E9,1800,6,60
0.7000000000000001,0.9,-1.2470975456314478E9,-1757.8058521236242,-1230.4709282740394,0.9998157277170251,654.6545635827606,4.2577106096631836E12,-2.9039621009654384E9,-4.1372217564811773E9,110,NaN,4.8764044205161915E9,1800,6,60
0.8,0,-1.043041020587959E9,-1004.5447166688867,-703.1852069343307,0.5137836827062182,-1.351872352997085,1.3905060265280671E12,1.1270548781814085E7,-1.0315690685875549E9,110,NaN,1.5925623782712343E9,1800,6,60
0.8,0.1,-1.1139143484838223E9,-1050.4083321294468,-735.2899159791152,0.5380759363075769,26.446312643894256,1.5203747341974753E12,-5507147.771590462,-1.1191183306411674E9,110,NaN,1.7413024872698386E9,1800,6,60
0.8,0.2,-1.1785980291566572E9,-1097.6608561928513,-768.3668664298307,0.5635765989731104,59.39077577578716,1.660239269060198E12,-3.796302275099434E7,-1.2161086809377117E9,110,NaN,1.9014909309207718E9,1800,6,60
0.8,0.30000000000000004,-1.2316137920979495E9,-1146.244455779,-802.3755749035763,0.5904973773516371,98.39062646270447,1.8104595407786265E12,-9.41290199513975E7,-1.3250678286440275E9,110,NaN,2.073539917856705E9,1800,6,60
0.8,0.4,-1.2662743711239805E9,-1196.3772145661546,-837.4687008174031,0.6194377054721655,144.4601502822614,1.9722891884030437E12,-1.8528929930638334E8,-1.450547739593881E9,110,NaN,2.2588852551502357E9,1800,6,60
0.8,0.5,-1.2756434833240778E9,-1248.8445201212892,-874.1960185177903,0.6514819747518332,198.57377580165257,2.149072529221784E12,-3.2680317448921293E8,-1.6008912964161632E9,110,NaN,2.4613572274551625E9,1800,6,60
0.8,0.6000000000000001,-1.2551937037222304E9,-1305.360262044503,-913.7572573797171,0.6883797662149547,261.22121671110295,2.3479838378933115E12,-5.38690063449274E8,-1.7914478826535115E9,110,NaN,2.6891726131920643E9,1800,6,60
0.8,0.7000000000000001,-1.2086236700340147E9,-1368.6150095307323,-958.0358262957541,0.7324873755295532,331.2403011024336,2.581053013908563E12,-8.451743464202613E8,-2.0499144474427893E9,110,NaN,2.9561093931665792E9,1800,6,60
0.8,0.8,-1.1588338188319304E9,-1440.6516815352586,-1008.4617764765819,0.7852666139812262,403.4762009156935,2.859909620686762E12,-1.2703487608335316E9,-2.4231162844407325E9,110,NaN,3.275487038725004E9,1800,6,60
0.8,0.9,-1.1657929534824135E9,-1517.3265539819688,-1062.1344849706466,0.8430454511631511,465.97394513927713,3.1724328938000337E12,-1.8157640921352553E9,-2.9734291447056656E9,110,NaN,3.6334235004152255E9,1800,6,60
0.9,0,-9.211137324146818E8,-941.0328977258249,-658.7266867903905,0.4810690836843098,-11.983516192934232,1.2202362996921348E12,1.2692224199852455E7,-9.08257733711594E8,110,NaN,1.3975505221957183E9,1800,6,60
0.9,0.1,-9.803823394697063E8,-982.2477127018273,-687.5772174233365,0.5028633947982246,11.879310529928011,1.3294633826763281E12,560737.8144706888,-9.79564756726898E8,110,NaN,1.5226495435090423E9,1800,6,60
0.9,0.2,-1.0339143729991198E9,-1024.1935233676925,-716.9394478670522,0.5254525219544094,39.7768743482454,1.4454343727203062E12,-2.3791596146911923E7,-1.0573120737879595E9,110,NaN,1.6554724383339326E9,1800,6,60
0.9,0.30000000000000004,-1.077481410428733E9,-1066.5537062444698,-746.5917404527778,0.5488770853833143,72.17574408601565,1.5674719800018877E12,-6.59633429892084E7,-1.1428486690206895E9,110,NaN,1.7952434989284387E9,1800,6,60
0.9,0.4,-1.1061908794279115E9,-1109.052051833445,-776.3407474561105,0.573267035569192,109.4487829331596,1.6948770031570322E12,-1.3325679570375238E8,-1.2385514373723996E9,110,NaN,1.9411619220123549E9,1800,6,60
0.9,0.5,-1.1152090971993363E9,-1151.4940881421646,-806.0503377230322,0.5989882221334086,151.70613597131114,1.8270807963610703E12,-2.347136193073706E8,-1.3485787163036807E9,110,NaN,2.0925764310506241E9,1800,6,60
0.9,0.6000000000000001,-1.1012592699664667E9,-1193.707972219774,-835.6002205169341,0.6263962274321561,198.4642139911441,1.963498240342849E12,-3.806752792231192E8,-1.4799284267028482E9,110,NaN,2.24881688228244E9,1800,6,60
0.9,0.7000000000000001,-1.065220586207E9,-1235.1858000257648,-864.6348610359377,0.6555876488330371,248.11017350536284,2.1023204182040288E12,-5.813214124891917E8,-1.6436064942050803E9,110,NaN,2.4078115025958843E9,1800,6,60
0.9,0.8,-1.0158648021901969E9,-1274.0224245424652,-891.8206489625569,0.6855934082353357,297.2717789639824,2.236600781114791E12,-8.427587505961751E8,-1.8545971715244715E9,110,NaN,2.5616043305538135E9,1800,6,60
0.9,0.9,-9.755797173071126E8,-1305.198257887473,-913.6438532766214,0.7129254093634056,340.51372730818946,2.3474010722777827E12,-1.1542762506137123E9,-2.1251504184556797E9,110,NaN,2.6885051650998373E9,1800,6,60
1,0,-8.03002861283061E8,-875.3384245068578,-612.7403001713816,0.44725478216724696,-20.259995750100444,1.0558113193144869E12,1.3001403233398233E7,-7.898791399040241E8,110,NaN,1.2092327207610474E9,1800,6,60
