% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 17 2020, 08:57"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,0,-7.477856371690562E8,0.8781618489545259,4.06204296585167E9,879322.9426101613,-7.4689238158808E8,1800,6,60,-0.08573052814655698,9484.147968708705,0.09822070932958249
0,0.2,-7.859225954097062E8,0.9000786262550449,4.2673304949704776E9,746925.2624173556,-7.851653679398555E8,1800,6,60,-0.04328320782982234,9720.849163554523,0.0883010001920531
0,0.4,-8.270682730413291E8,0.9231244840070746,4.488651845451621E9,596270.2037709254,-8.264652031380259E8,1800,6,60,-0.010545194481525652,9969.744427276546,0.07222598729730373
0,0.6000000000000001,-8.715474633192161E8,0.9473907383557553,4.727740723388168E9,424338.7359423415,-8.711194960334178E8,1800,6,60,0.010227620325944884,10231.819974242142,0.06007642867993018
0,0.8,-9.19750205989183E8,0.9729778863384588,4.986563125918886E9,227298.09767148862,-9.195217712557355E8,1800,6,60,0.015380467463634579,10508.161172455548,0.031079306874278814
0.05,0,-7.310512930056908E8,0.8690542202896134,3.9782230323064504E9,789824.3974452742,-7.302464082022959E8,1800,6,60,-8.454754814477768,9385.785579127565,0.09632359981279263
0.05,0.2,-7.636899023795488E8,0.8878781842483712,4.1524283938452682E9,183292.9524060082,-7.634945924367055E8,1800,6,60,-6.4011894823054485,9589.084389882479,0.08697365353494334
0.05,0.4,-7.955523149766092E8,0.9058932758748004,4.322643839735762E9,-558422.2119159816,-7.96101517037815E8,1800,6,60,-4.86872133219448,9783.647379447824,0.07861295261685458
0.05,0.6000000000000001,-8.214478284866627E8,0.9202912694340377,4.461141367025515E9,-1907685.4662165837,-8.233483955297337E8,1800,6,60,-4.192860059533982,9939.145709887793,0.06777117663339918
0.05,0.8,-8.161631321131837E8,0.9174034262148677,4.433187470381799E9,-7027241.1263443865,-8.231828050227826E8,1800,6,60,-5.808218871008967,9907.957003120478,0.06294995198471438
0.1,0,-6.842376132348393E8,0.8435583833353232,3.7482251747469635E9,1526207.0022866232,-6.826938038558072E8,1800,6,60,-18.827705130336273,9110.430540021523,0.09351660049709724
