% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 11 2021, 14:46"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z",chan_len/el_len (1),ins_seg_len/el_len (1)
0.2,0.9,0,1.1355838521581854E10,-4.895960898278242E7,1536307.742624636,1928808.2870199403,-4.549449295313793E7,0.6487671681436813,1800,6,60,-0.1873344128179571,7001.7267104473885,-0.002473205088877561,5.5,0.5
0.2,0.9,0.01,8.537136129708653E9,-3.6809955928643145E7,619205.6505821418,1988726.987928781,-3.420202329013212E7,0.5575703691417145,1800,6,60,-0.26084791956545655,6016.761527659106,6.602812018304671E-4,5.5,0.5
0.2,1.6666666666666667,0,3.189916839088961E9,-1.4620865777496547E7,209712.78730672732,1631502.5546379208,-1.2779650435551899E7,0.3773033631031924,1800,6,60,-0.23376108776417823,4059.5635541124625,0.013346977342240187,5.5,0.5
0.2,1.6666666666666667,0.01,8.647073911958692E8,-4003909.228380719,-135911.0508094101,675573.3841252238,-3464246.8950649262,0.195807637174505,1800,6,60,-0.3427363686265462,2105.2456321609043,0.007052275119336921,5.5,0.5
0.25,0,0,3.094395867971119E10,-1.0381555145629378E8,2179019.880840998,6305.71206471867,-1.0163022586338806E8,0.9842142481362572,1800,6,60,2.2435405236108915E-6,10629.513879871547,-0.07929349522278689,5.5,0.5
0.25,0,0.01,3.0943958904160957E10,-1.038155470191694E8,2179019.710830728,6305.711697436059,-1.016302215966414E8,0.9842142488512857,1800,6,60,2.2418833365969424E-6,10629.513887593897,-0.0793022453896026,5.5,0.5
0.25,0.3,0,2.6883672160632523E10,-9.116784685571176E7,2706085.1145991045,166834.56548140178,-8.829492717563139E7,0.937640152126374,1800,6,60,-0.14549142027747394,10126.499099200466,-0.1331577160754588,5.5,0.5
0.25,0.3,0.01,2.692630023982558E10,-9.11853034895184E7,2559391.535743803,190992.34157078044,-8.843491961220388E7,0.9334121302291202,1800,6,60,-0.1682483481492232,10080.830440564338,-0.1412147898831434,5.5,0.5
0.25,0.9,0,1.24903655940441E10,-4.460977858784809E7,2105766.6638787906,1481491.0375272748,-4.102252088644221E7,0.6984291036414984,1800,6,60,-0.6239973893577252,7537.029995665313,-0.28348106366351966,5.5,0.5
0.25,0.9,0.01,9.65619366390864E9,-3.460819680184413E7,1111928.245091475,1782112.8065201072,-3.1714155750232514E7,0.6150098547095926,1800,6,60,-0.8719066260960064,6635.136487915087,-0.3086612107490748,5.5,0.5
0.25,1.6666666666666667,0,3.899633740917665E9,-1.5164272764611676E7,595300.6193390988,1761274.8868281776,-1.2807697258444259E7,0.4369162108497095,1800,6,60,-0.8142425374995761,4698.837592547375,-0.2297306779626628,5.5,0.5
0.25,1.6666666666666667,0.01,1.152640586719369E9,-4640417.83229048,-88057.07709645196,942820.0200428764,-3785654.8893440333,0.24181378751205504,1800,6,60,-1.181059494250356,2597.0499918210985,-0.1367802642828924,5.5,0.5
