% Model,Evan_segmented_faraday_v1.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 2 2020, 12:11"
% Table,Probe Table 1 - 
% resistance (Ω),"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (m^2*A), Current in Load","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (s/m), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T) (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.001,-6.064524950355483E8,-0.004177327584716523,0.6409254345966366,1.3764466561183484E11,8.432764944574945E8,2.3767685229141718E8,1800,6,60,-0.11440058164187611,4161.975262862385,-0.08169278792112983
0.001584893192461114,-6.119243528061687E8,-0.004169883688285921,0.6414451471903556,2.1736663452731497E11,8.403197617822856E8,2.292452510693014E8,1800,6,60,0.27206212914314587,4173.66210866517,-0.08075448278937425
0.0025118864315095794,-6.205104431729808E8,-0.0041581472647851695,0.642265924489226,3.425577745310869E11,8.35666473089435E8,2.16001132873669E8,1800,6,60,0.19242970686812547,4192.103079442483,-0.07889592946820441
0.003981071705534973,-6.339033472749411E8,-0.004139677535552233,0.6435598539108842,5.3809255888928406E11,8.283690429997696E8,1.953033668437116E8,1800,6,60,0.044933977952185344,4221.116381858041,-0.07797747013723298
0.00630957344480193,-6.546021278486876E8,-0.004110739825442311,0.6455930388799357,8.409128169402607E11,8.16998416929404E8,1.6322238205575788E8,1800,6,60,0.020244514388656626,4266.582870358021,-0.0681279110449958
0.01,-6.861262215440829E8,-0.004065699374059949,0.6487719944337834,1.3036550358764978E12,7.994512510473559E8,1.141332662726531E8,1800,6,60,0.007473826153852663,4337.369479921516,-0.045355834993455954
