% Model,Evan_continuous_faraday_v5.2.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 7 2020, 12:31"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,0,-1.6638691865220857E9,0.4178233831266977,9.108517184760838E9,3.449547502126916E7,-1.6293609829460166E9,1800,6,60,-0.021203669183735483,4489.907720045765,-0.001020572328363039
0,0.04,-1.663869186298123E9,0.4178233827975327,9.1085171700436E9,3.4495474537593186E7,-1.6293609832055097E9,1800,6,60,-0.021198288223920857,4489.907716418612,-0.0010435040446614447
0,0.08,-1.663869186387726E9,0.4178233829177506,9.108517175316473E9,3.449547468271734E7,-1.629360983149991E9,1800,6,60,-0.021199496925592903,4489.907717718166,-0.0010288708142583336
0,0.12,-1.6638691865104818E9,0.41782338299153937,9.108517179006495E9,3.4495474864253685E7,-1.629360983091495E9,1800,6,60,-0.021199490784509115,4489.907718627601,-0.0010243346267659029
0,0.16,-1.663869186551221E9,0.41782338304557315,9.108517180956161E9,3.4495474605824046E7,-1.629360983390281E9,1800,6,60,-0.021199648519836075,4489.907719107538,-0.0010403779324471309
0.04,0,-1.5578246950439372E9,0.40508816989177365,8.549377386655127E9,2.9498201206347827E7,-1.5283112311463141E9,1800,6,60,-39.29732662454766,4349.915476162612,-0.006112356037412682
0.04,0.04,-1.6597893056220646E9,0.41762184666744245,9.099510134035006E9,2.92228791119241E7,-1.6305513081244273E9,1800,6,60,-40.62410841404578,4487.68722529131,-0.005105111038024609
0.04,0.08,-1.770989784205474E9,0.43088664301656976,9.699408440071556E9,2.8800776439903893E7,-1.7421740334498794E9,1800,6,60,-42.04974085181917,4633.254945916114,-0.014024699367223085
0.04,0.12,-1.892298853117156E9,0.4449192045511746,1.0353814040429815E10,2.819758316813297E7,-1.8640864346608572E9,1800,6,60,-43.561700445156966,4787.003603645767,0.0033794390559438474
0.04,0.16,-2.0245885151466243E9,0.4597512878923262,1.1067614427989155E10,2.7365311162449304E7,-1.9972084950554268E9,1800,6,60,-45.1946964277504,4949.263593225056,-0.007712807486106317
0.08,0,-1.294217792614745E9,0.3713539872819127,7.152967385865867E9,1.6720011036185183E7,-1.277475695441705E9,1800,6,60,-74.82178076264186,3978.8420268569935,-0.0056479417612982806
0.08,0.04,-1.4201504494571967E9,0.38831033827786055,7.841606422899299E9,1.3144709494084885E7,-1.406982474560146E9,1800,6,60,-79.40746486575377,4165.969581721579,-0.007963765162363285
0.08,0.08,-1.5495744913390982E9,0.4050945165853465,8.552504532023935E9,7950037.959733889,-1.5415995118581848E9,1800,6,60,-84.47540471176968,4350.71094778108,-0.005170768287763981
0.08,0.12,-1.6707244612138722E9,0.42034644603752075,9.223973336500671E9,387624.5886477741,-1.670309447016264E9,1800,6,60,-90.02238430983363,4518.274306190159,-0.00916769055333951
0.08,0.16,-1.7593584909509254E9,0.4314104056599995,9.727176519959362E9,-1.0682353057706844E7,-1.7700098051994767E9,1800,6,60,-95.95076197027345,4639.882393551596,-0.010413648465686935
0.12,0,-9.82848805075516E8,0.32656284651734196,5.489621227245947E9,1170528.4113359542,-9.816471133048443E8,1800,6,60,-103.66950166060397,3485.65792512627,-0.009381793612019775
0.12,0.04,-1.0485605436350168E9,0.3368788387229358,5.861378318260182E9,-8442360.505563136,-1.0569675124748428E9,1800,6,60,-111.00949797266252,3601.749054835404,-0.010892544455710767
0.12,0.08,-1.0637950218574454E9,0.3394329963626571,5.962989963145173E9,-2.2597126569186375E7,-1.0863509366789556E9,1800,6,60,-118.02842802941001,3632.834500139567,0.002001149767984199
0.12,0.12,-9.727156774730539E8,0.325419099149343,5.484005346698655E9,-4.2292383622708306E7,-1.0149600017271453E9,1800,6,60,-122.52762330353316,3483.8745554919324,-0.011798500839122376
0.12,0.16,-7.013603222372258E8,0.27792388567773385,3.9944027068724895E9,-6.4278518187495485E7,-7.655886973252369E8,1800,6,60,-117.94056713807923,2973.305250726566,-0.012431800944216935
0.16,0,-7.056694172657406E8,0.2800076106413319,3.9925528964558134E9,-1.2623262370636104E7,-7.182530576941859E8,1800,6,60,-124.58372810690159,2972.6167012499727,-0.04239234717628287
0.16,0.04,-6.887671845540528E8,0.2767306478075613,3.9121942786038823E9,-2.738163855623259E7,-7.161027291069379E8,1800,6,60,-131.34064795975638,2942.5495243182963,0.011421808166455381
0.16,0.08,-5.725865765366493E8,0.25326425599903174,3.27828480715039E9,-4.604612820125033E7,-6.185814433530287E8,1800,6,60,-132.2398126243693,2693.6236384500307,0.006631401880239209
0.16,0.12,-3.213117461581578E8,0.1912992625033042,1.8640035347918773E9,-5.927189881116765E7,-3.805398372866177E8,1800,6,60,-115.1212165194729,2031.1263480237685,-0.017943117564562277
0.16,0.16,-3.487659949692376E7,0.0638202028628358,2.0537120814119026E8,-3.1880562792473383E7,-6.674807880942694E7,1800,6,60,-48.79901040951934,674.1916247010321,-0.02597606090768534
