% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 2 2020, 10:35"
% Table,Probe Table 1 - 
% resistance (Ω),beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
1.0E-4,0,0,2.674297837450289E7,0.019137876286309877,4.5345952950562645E10,3.3317183703803748E7,6.030922481437869E7,1800,6,60,-0.13785106335131256,12.342460045331167,-0.07988513026544743
1.5848931924611142E-4,0,0,2.2188852501585387E7,0.01959441082106968,7.173674839987721E10,3.3273969207006387E7,5.5711560872353524E7,1800,6,60,-0.13823241777397377,19.321293976537927,-0.08037903210080609
2.5118864315095795E-4,0,0,1.499819238689044E7,0.020344148406285515,1.1343163512155269E11,3.3205802920760915E7,4.845222536466702E7,1800,6,60,-0.137277934739745,30.359281232737537,-0.0810611586797676
3.9810717055349735E-4,0,0,3663966.8196442057,0.02157206695207872,1.7917263166091724E11,3.3098439899303623E7,3.7009835084248886E7,1800,6,60,-0.13503361691168397,47.8038924870212,-0.08240941732026144
6.30957344480193E-4,0,0,-1.4148730160665886E7,0.02357773184403067,2.825008196926755E11,3.292910626732035E7,1.9026537207478534E7,1800,6,60,-0.13687812272207905,75.33386386061257,-0.08180089578798064
0.001,0,0,-4.200725251796284E7,0.02684197461222334,4.441120167647366E11,3.2663535579179227E7,-9099540.15281645,1800,6,60,-0.13641675735346664,118.67690024615968,-0.08390108598217738
0.001584893192461114,0,0,-8.524488573120034E7,0.03212712606464729,6.949318929316669E11,3.2249116573332228E7,-5.27546909350371E7,1800,6,60,-0.13562554434493412,186.65673369788405,-0.07359737614850032
0.002511886431509582,0,0,-1.5154363558785453E8,0.040617964100859424,1.0795001246156587E12,3.1608243704062894E7,-1.1969910539647835E8,1800,6,60,-0.13372018346852674,292.6419914431634,-0.0708289725274633
0.003981071705534973,0,0,-2.5128706357048807E8,0.05410542303922856,1.6579924886510657E12,3.0631103736332912E7,-2.2042697515992823E8,1800,6,60,-0.13123508651761048,456.3485913761318,-0.06590035637741112
0.00630957344480193,0,0,-3.969499895046914E8,0.07518802234724563,2.502618168313401E12,2.917266213658616E7,-3.6755924310907114E8,1800,6,60,-0.12766995494883093,705.6083308199632,-0.05789751604896853
0.01,0,0,-6.000625533206753E8,0.10734902716243555,3.6799227794460234E12,2.70656196744937E7,-5.727945815553741E8,1800,6,60,-0.12447752407559792,1076.9558707438405,-0.11509035775709336
