% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 10 2020, 15:54"
% Table,Probe Table 1 - 
% beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,0,6.72021240588352E7,0.06055419059843719,273662.79780987673,5.923453912181484E7,1.2737521759586059E8,1800,6,60,-0.7027543377629167,0.09262418567934463,0.7968985493111191
0.1,0,6.638678723158806E7,0.060374957848351785,268470.0200777533,5.686193949949985E7,1.2417638970840351E8,1800,6,60,-21.735382484513934,0.09174119174683519,0.7889486545421371
0.2,0,6.392051118525186E7,0.05979397275187884,253799.69751552318,4.997940537928209E7,1.1480761924535733E8,1800,6,60,-43.12197571517435,0.08919939608543445,0.7699659286658833
0.30000000000000004,0,5.997852995936323E7,0.05872752780983987,232034.88064603586,3.9137968129153885E7,9.999488392108467E7,1800,6,60,-64.84725145905927,0.08528894879924903,0.73332581796666
0.4,0,5.481031254835498E7,0.057060266944191806,206225.81132429602,2.5338303524760842E7,8.098726590813214E7,1800,6,60,-86.25417138639278,0.0804057801677364,0.6843141069577631
0.5,0,4.871065141731852E7,0.05469118750697662,179238.04805478605,1.0059808215309607E7,5.955700972205884E7,1800,6,60,-105.94590261577963,0.07496013007650779,0.6244811141575264
0.6000000000000001,0,4.2023274427914135E7,0.05158616516564595,153214.00604876646,-4882610.353078049,3.786078816461829E7,1800,6,60,-122.063204251014,0.0693048741399941,0.5573904590813303
0.7000000000000001,0,3.514919358759333E7,0.04782482960778381,129438.21958697619,-1.7729058949993882E7,1.8059473967859164E7,1800,6,60,-132.93477316192576,0.06370081922227355,0.4880967183804226
0.8,0,2.8520352321541976E7,0.0436004677615508,108485.11172614599,-2.7263116077572446E7,1805105.4470973033,1800,6,60,-137.76453769264035,0.05831737278403628,0.4204518989806727
0.9,0,2.251822150284204E7,0.03916815637155379,90460.30459487236,-3.3094596145488545E7,-1.0123620813023632E7,1800,6,60,-136.88366294939703,0.05325262467474328,0.35848933706451286
1,0,1.739060685706301E7,0.03477876375321739,75209.18919737606,-3.5575912218755566E7,-1.782336363576992E7,1800,6,60,-131.4651404523063,0.048556411255193964,0.30440289061338155
