% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 10 2020, 15:21"
% Table,Probe Table 1 - 
% beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0,0,-7.477856316719466E8,0.8781618499963952,4.062042975490172E9,879322.9270035775,-7.468923761070132E8,1800,6,60,-0.0857305764212072,9484.147979960982,0.09820543997269844
0.1,0,-7.459016168594941E8,0.8771333650958199,4.052533786680451E9,859929.7984350404,-7.450276826148316E8,1800,6,60,-2.668954413150605,9473.0403430348,0.09866416242519004
0.2,0,-7.402825370441192E8,0.874072834642532,4.024302584457399E9,816358.6370580876,-7.394517842701061E8,1800,6,60,-5.419252252132147,9439.986614139401,0.10041792443057469
0.30000000000000004,0,-7.310512990110543E8,0.8690542190190326,3.9782230206738977E9,789824.4125853693,-7.302464141920965E8,1800,6,60,-8.454754852654723,9385.785565405433,0.09633230792680753
0.4,0,-7.18418507830311E8,0.8621948544437624,3.9156713632255564E9,847372.0510528383,-7.175552137189448E8,1800,6,60,-11.801005692930364,9311.704427992805,0.09865505177308868
0.5,0,-7.026851691510205E8,0.8536432700226182,3.8383822575051856E9,1069966.2831215712,-7.015983651137844E8,1800,6,60,-15.345674339490595,9219.347316244366,0.0971274686223677
0.6000000000000001,0,-6.842376224933393E8,0.8435583807296299,3.748225151591029E9,1526207.020130567,-6.826938130956327E8,1800,6,60,-18.827705434128408,9110.430511880157,0.09352987651662893
0.7000000000000001,0,-6.635219240278494E8,0.8320885803627962,3.64698943441037E9,2239626.1015083697,-6.612643120544782E8,1800,6,60,-21.913625208414167,8986.556667918081,0.09408179493300127
0.8,0,-6.409990691024126E8,0.8193600376151393,3.5362661058789268E9,3170417.2798482063,-6.378108387066679E8,1800,6,60,-24.303875891717126,8849.088406243693,0.08931861134797245
0.9,0,-6.171066606808184E8,0.8054796242549901,3.417468334684238E9,4226782.029591181,-6.128628412389226E8,1800,6,60,-25.837387819755637,8699.179941953993,0.09108924767214442
