% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 3 2020, 11:36"
% Table,Probe Table 1 - 
% u_x (m/s),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
2700,0.04,0.16,7.814595407344367E9,-1.057016881814263E9,-1.3881436663574252E8,-1.1926183616832728E9,0.12308596643012386,2700,6,60,-1653.0374421793213,1312.6187920023594,-0.19079207454568683
3000,0.04,0.16,9.647648649496368E9,-1.304959113215596E9,-1.7137576128154045E8,-1.4723683476245718E9,0.123085966425689,3000,6,60,-1836.708269100049,1458.4653243302355,-0.21199054310107104
1500,0.16,0,8.254567905835011E8,1.1085952894819081E8,-3.874404045360806E8,-2.736120504372561E8,0.18055398125860625,1500,6,60,-2461.3548244644544,426.6114828363778,0.010709661075704296
1800,0.16,0,1.1886577775085132E9,1.5963772177786928E8,-5.579141825539919E8,-3.940013525590261E8,0.1805539812517361,1800,6,60,-2953.625789418077,511.93377920301344,0.012853574937478124
2100,0.16,0,1.617895307614821E9,2.172846769265352E8,-7.593831929353826E8,-5.362796187132021E8,0.18055398124700772,2100,6,60,-3445.8967543490967,597.2560756149053,0.014998961206645414
2400,0.16,0,2.1131693800614886E9,2.8380039448315465E8,-9.918474357016208E8,-7.00446848832059E8,0.18055398124135452,2400,6,60,-3938.1677193210394,682.5783719192722,0.017144137349099534
2700,0.16,0,2.6744799979985085E9,3.591848741353782E8,-1.255306910778795E9,-8.865030431545918E8,0.18055398124608327,2700,6,60,-4430.438684183671,767.9006686041632,0.019285803627547372
3000,0.16,0,3.301827157075615E9,4.434381163083007E8,-1.5497616182668095E9,-1.094448201354913E9,0.18055398124337912,3000,6,60,-4922.709649123167,853.2229649933402,0.021429495525625737
1500,0.16,0.04,1.0092390969970467E9,1.931124418453378E8,-6.312998905745591E8,-4.3375524921480465E8,0.20913925347343862,1500,6,60,-2893.9263356694387,471.71794921264313,0.02221531793791325
1800,0.16,0.04,1.4533042980551045E9,2.780819164200086E8,-9.090718424831144E8,-6.246075587618703E8,0.20913925346313317,1800,6,60,-3472.711602909639,566.0615387395682,0.026662752272461253
