% Model,Evan_continuous_hall_v1.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 18 2020, 19:15"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","abs(ec.Ex/(beta*(u_x[m/s])*(B_app[T]))) (m^2/(V*s)), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity ((S/m)), Point: (0, 0, 0)","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx + ec.Ey*ec.Jy + ec.Ez*ec.Jz (W/m^3), Total Channel Power","ec.Jz*ec.Ez (W/m^3), Odd power"
0.1,0,1.2753794433558465,0.04930220716799115,1800,6,60,1.7351332327126625E8,-2.289287976394719E8,6.809418571430698E7,1.2350966008250694E8
0.30000000000000004,0,0.8579784447505976,0.027643678116027914,1800,6,60,2.323605498716487E8,-5.630396169087768E8,-7.025998012955971E7,2.604190869075801E8
0.5,0,0.44928118731704536,0.017351463503797467,1800,6,60,1.5464841824890962E8,-4.529370653005764E8,-7.638817063509834E7,2.219004764165511E8
0.7000000000000001,0,0.2722668734209461,0.012173665273641887,1800,6,60,1.013632529209993E8,-3.432401781714972E8,-6.183128464303752E7,1.8004564060745683E8
0.9,0,0.18363321427704798,0.009201356851708779,1800,6,60,6.884996954825059E7,-2.6711565676564482E8,-4.786617821003747E7,1.5039950900734967E8
1.1,0,0.1329596744720181,0.007310842203144945,1800,6,60,4.814677613995722E7,-2.1449644311183253E8,-3.690034981949067E7,1.294493171523856E8
1.3000000000000003,0,0.10112539990310605,0.006017512876189671,1800,6,60,3.428665201110877E7,-1.7696980721029168E8,-2.860099651157354E7,1.1408215868760768E8
