% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 28 2020, 19:38"
% Table,Probe Table 1 - 
% resistance ,beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (m^2*A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V*m), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (kg/(m^2*s^3)), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0.1,0,0,4.606353489490486E7,-0.010649725918809716,-1.132396908417102,0.027634797727868993,-1.768420117669646E-4,8.957192810824794E10,5.0191307763607405E7,9.659561783365457E7,0.46,NaN,6.132963239181583E9,1800,6,60
0.31622776601683794,0,0,3.419123404921235E7,-0.010631847865019362,-3.432834558399883,0.028597836035581258,-1.7815005378642482E-4,2.816719389292263E11,5.002312424733273E7,8.455399130633324E7,0.46,NaN,1.9285993764411148E10,1800,6,60
1,0,0,-2790452.453660603,-0.010575778352909817,-10.648338294160121,0.03213316220079214,-1.7662049285569162E-4,8.807920048729451E11,4.9496858348654844E7,4.7042466374327E7,0.46,NaN,6.0307566235736984E10,1800,6,60
3.1622776601683795,0,0,-1.1471176044645672E8,-0.010402341844751826,-32.96740255252917,0.04464528007041695,-1.734707137079337E-4,2.6944169558751313E12,4.788681471979487E7,-6.649981372483397E7,0.46,NaN,1.8448592645498868E11,1800,6,60
10,0,0,-4.238164669213096E8,-0.009889490397832998,-98.96396733809453,0.08602111015049291,-1.641953644164788E-4,7.700958332073797E12,4.328142138988178E7,-3.802411773257735E8,0.46,NaN,5.2728232331898206E11,1800,6,60
31.622776601683793,0,0,-1.074887550059255E9,-0.008555631516463616,-270.61266340441387,0.20296052405276815,-1.423174813284865E-4,1.8226382932509484E13,3.2393480456873298E7,-1.042274084798764E9,0.46,NaN,1.2479550107846199E12,1800,6,60
100,0,0,-1.7056451732333436E9,-0.005997565309704512,-599.7984991986252,0.4380485957099138,-1.0023116645291139E-4,2.832345686028566E13,1.5918748208719593E7,-1.689618116590042E9,0.46,NaN,1.939298655274594E12,1800,6,60
316.22776601683796,0,0,-1.4343686248656297E9,-0.0030827978241575373,-974.887844365051,0.7107745662733675,-5.1319832843886786E-5,2.3663902501750137E13,4205836.922038922,-1.4301341782828684E9,0.46,NaN,1.620260356162274E12,1800,6,60
1000,0,0,-7.062623557465569E8,-0.0012152110678489544,-1215.2195730723517,0.8859868570081204,-2.0124657886507305E-5,1.1627857792571412E13,653617.8591885662,-7.056042163468007E8,0.46,NaN,7.961559597789318E11,1800,6,60
3162.2776601683795,0,0,-2.628775349073975E8,-4.167766673375843E-4,-1317.9664614533292,0.9608970993389729,-6.7522704182509155E-6,4.3251689269024663E12,76872.87468654604,-2.6280013742556864E8,0.46,NaN,2.9614302820283655E11,1800,6,60
10000,0,0,-8.777875710492578E7,-1.3541724458286935E-4,-1354.173393629167,0.9872946876852962,-2.051603964989389E-6,1.4439236323185557E12,8117.929344599147,-8.777058123862438E7,0.46,NaN,9.886502104200928E10,1800,6,60
31622.776601683792,0,0,-2.824978316429573E7,-4.319799003318125E-5,-1366.0406908090913,0.9959468436928139,-5.109223218298867E-7,4.646472368950602E11,828.6159618049778,-2.824894605505221E7,0.46,NaN,3.1814257918182644E10,1800,6,60
100000,0,0,-8984473.760508751,-1.369836774408184E-5,-1369.836870284817,0.9987145452645124,-1.8094652809864036E-8,1.4775218807252286E11,85.88245858952337,-8984384.410764042,0.46,NaN,1.0116548310340416E10,1800,6,60
