% Model,Evan_segmented_faraday_v5.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 19 2021, 08:00"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating"
0,0,0.14658486322164097,1800,6,60,5722828.580029186,-8.440268631657486E7,357524.62848862493,1713.5287463865368,-8.404344815934475E7,3.916124871960683E7
0.3,0,0.14651018727689047,1800,6,60,5709729.638229766,-8.42052671225661E7,325028.8384013095,4911.921617266949,-8.387532636254287E7,3.908502582999545E7
0.6,0,0.14655715329355123,1800,6,60,5673827.681663589,-8.401755522679982E7,225561.8686995586,11495.743480705021,-8.37804976146157E7,3.9051978685805514E7
0.8999999999999999,0,0.14856573140613208,1800,6,60,5630030.492251694,-8.384477808989081E7,101744.41520255848,21759.160720439937,-8.372127451396312E7,3.9041671894621134E7
1.2,0,0.15251932262813317,1800,6,60,5586072.916546545,-8.368979460091001E7,-22142.047870471542,35140.19822707366,-8.367679645054922E7,3.903794848828428E7
1.5,0,0.15778701641264026,1800,6,60,5544830.796590239,-8.355310484467287E7,-137956.02871860622,50723.79639064592,-8.364033707700297E7,3.903644419935026E7
