% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 11 2020, 12:32"
% Table,Probe Table 1 - 
% wire_rad (m),beta (1),beta_i (1),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z",chan_len/el_len (1),ins_seg_len/el_len (1)
0.01,0,0,6.037023959847555E10,-1.7083973642601347E9,1.4887796008597156E7,531320.8991867149,-1.69297824735235E9,0.4300277779648281,1800,6,60,-0.0028960152533290323,4644.3000020201425,-0.04050704827385259,5.5,0.5
0.02,0,0,2.9754160396630608E10,-1.68532702584614E9,1.5950809882827971E7,569558.8416140128,-1.6688066571216984E9,0.40987565981733026,1800,6,60,-0.003002729471738662,4426.657126027165,-0.040712321119303355,5.5,0.5
0.03,0,0,1.9838084360727554E10,-1.68552003185402E9,1.5978222666707521E7,569341.3304020794,-1.6689724678569088E9,0.4100522308635529,1800,6,60,-0.0029529513707716375,4428.564093326384,-0.04491818411045633,5.5,0.5
0.04,0,0,1.487642484880563E10,-1.6852544119685683E9,1.5953222567402711E7,569670.5048662608,-1.6687315188962967E9,0.4098187598236793,1800,6,60,-0.0030034363279539435,4426.042606095742,-0.039690564675606756,5.5,0.5
0.05,0,0,1.1901194730810648E10,-1.685261681590777E9,1.5952923624239687E7,569659.6852337145,-1.6687390982813094E9,0.4098244074618252,1800,6,60,-0.0030006254220920217,4426.103600587716,-0.04175774368372504,5.5,0.5
0.060000000000000005,0,0,9.913818881280907E9,-1.684643100886168E9,1.5978528324148316E7,570585.6345917736,-1.6680939869274254E9,0.4093449305283493,1800,6,60,-0.0029985907776307248,4420.925249706167,-0.04617088167581693,5.5,0.5
