% Version,COMSOL 5.5.0.359,,,,,,,,,,,,
% Date,"Dec 7 2020, 20:08",,,,,,,,,,,,
% Model,Evan_continuous_faraday_v5.2.mph,,,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,,
% sig_b (S/m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
30,0.15,0,198259604.49014,0.170132241709336,329833534.551961,-267434308.213201,-68996818.6305598,1800,6,30,-2983.38407940742,270.189468047358,-0.009473145954693
30,0.15,0.01,221042121.206727,0.176060250056679,348022265.005637,-302965995.001966,-81722755.1599058,1800,6,30,-3099.91205978324,277.53932420296,-0.00849219055509
30,0.15,0.02,247079906.630374,0.182421798731494,367081086.087728,-344040017.921494,-96731195.0712222,1800,6,30,-3224.31535730692,285.03751024071,-0.006785577488544
30,0.15,0.03,276852674.598411,0.189250896722902,386944321.919569,-391648161.734047,-114533099.185352,1800,6,30,-3357.19296109002,292.647791446559,-0.00962121142229
30,0.15,0.04,310903192.700181,0.196587100258379,407509084.696806,-446982677.675291,-135776532.378119,1800,6,30,-3499.26105125546,300.323737011401,-0.008544386427314
30,0.15,0.05,349815988.520369,0.204469053206772,428622558.757961,-511464800.266036,-161296393.070616,1800,6,30,-3651.19974144969,308.005537191982,-0.005837161216974
60,0.15,0,264746431.656499,0.177710287356463,1255718711.36771,-509077683.643544,-243992637.481624,1800,6,60,-2910.56527923136,527.190037604061,0.002602583260796
60,0.15,0.01,301890271.365753,0.183670536856051,1323206972.85015,-575949085.72173,-273676482.34071,1800,6,60,-3022.23797629493,541.171481593432,-0.013341139459333
60,0.15,0.02,344901117.358169,0.190048498904778,1393783285.32333,-653147213.424862,-307811508.774044,1800,6,60,-3141.39707022087,555.416321593683,-0.006594482073331
60,0.15,0.03,394703938.116802,0.196874386623262,1467187508.79789,-742511859.621425,-347310471.694102,1800,6,60,-3268.62686179448,569.854290272467,-0.008169417924086
60,0.15,0.04,452346653.315405,0.204184358101287,1543025570.80419,-846247100.534816,-393326886.805676,1800,6,60,-3404.5891259183,584.39645586555,-0.008262651280799
60,0.15,0.05,518983182.676669,0.212014658749748,1620728898.46207,-966988874.466196,-447339403.434881,1800,6,60,-3549.96684154252,598.930182921062,0.000971130635793
90,0.15,0,217400149.815593,0.186569096904886,2692341139.1318,-727664215.809162,-509780060.232546,1800,6,90,-2841.23048454767,771.944461371697,-0.009069098985629
90,0.15,0.01,262069285.948701,0.192585827135084,2833458729.93739,-822211999.683182,-559596906.625851,1800,6,90,-2948.39374841985,791.916619923766,-0.021712131014892
90,0.15,0.02,314708625.64086,0.199000316872936,2980755362.89323,-931217229.914455,-615888997.296972,1800,6,90,-3062.6583218583,812.239636595513,-0.00877251242937
90,0.15,0.03,376662212.6057,0.205842097551843,3133649036.06278,-1057246924.77508,-679876406.206609,1800,6,90,-3184.61116998671,832.810494331173,-0.009165109752006
90,0.15,0.04,449464687.100449,0.213143452180594,3291305411.74214,-1203372329.97711,-753092037.406163,1800,6,90,-3314.89865660323,853.503101836746,-0.013673967020797
90,0.15,0.05,534826821.363962,0.220937704025632,3452526847.58694,-1373271622.16458,-837498571.773803,1800,6,90,-3454.1910106009,874.157210197076,-0.006153447595676
30,0.45,0,303919537.917927,0.280057673876037,66263922.8348449,-515435623.419819,-210737431.824799,1800,6,30,-5249.54284946372,121.10430537968,0.010737696818124
30,0.45,0.01,334169027.090177,0.294333836292071,67596372.8636818,-600265468.278739,-265131065.30656,1800,6,30,-5516.68635688544,122.31584168007,0.014394732586471
30,0.45,0.02,363622197.472305,0.309516683010437,68486253.9303945,-698881991.179552,-334047046.124515,1800,6,30,-5798.3367908117,123.118330436281,0.016913936737119
30,0.45,0.03,389483713.717038,0.325604931789521,68874898.132306,-812061282.597194,-421022009.216554,1800,6,30,-6093.62255855745,123.467170750518,0.027963397547216
30,0.45,0.04,406379351.161274,0.342591351174643,68720503.506845,-938220486.002584,-529766316.947067,1800,6,30,-6400.58513880183,123.328706924872,0.04383820897567
30,0.45,0.05,400223718.062009,0.360487887522966,68003324.0812036,-1065964570.59689,-662714213.058965,1800,6,30,-6713.40957666454,122.683478886088,0.079403196995845
