% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 3 2020, 08:36"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.04,0,2.2204063513152504E9,-2.994129566046298E8,-6003203.376726875,-3.042715868193198E8,0.10536973618185866,1800,6,60,-871.7845613292528,699.6834462206537,-0.09666802131876828
0.04,0.02,2.3369718301019874E9,-3.1563568266760266E8,-1.01504800649426E7,-3.246151871296809E8,0.10713732584821627,1800,6,60,-895.2546309086916,717.8143023330954,-0.10042658871135268
0.04,0.04,2.4627132897061763E9,-3.3305624339582205E8,-1.4874009861065604E7,-3.4673090371928495E8,0.10901117178102894,1800,6,60,-919.99921752687,736.8724094191225,-0.10411260537714451
0.04,0.06,2.5985882520571017E9,-3.5178558174910647E8,-2.0263289049914364E7,-3.708189348102588E8,0.11100115051839975,1800,6,60,-946.1207187610399,756.9271863833327,-0.11086949561303364
0.04,0.08,2.745674861040547E9,-3.719444477763041E8,-2.6424134114000376E7,-3.971055571325051E8,0.11311722471926389,1800,6,60,-973.7434099193748,778.0543270266116,-0.11199635220501933
0.04,0.1,2.905195261436727E9,-3.9366849519269437E8,-3.3482257694921583E7,-4.2585181131091744E8,0.11537059356246161,1800,6,60,-1002.989554174032,800.337252761606,-0.11565979851719006
0.04,0.12,3.0785323913200006E9,-4.1710551054630625E8,-4.158761723832517E7,-4.573550490229908E8,0.11777380906096878,1800,6,60,-1034.0068699053256,823.8672367612885,-0.11936538746981191
0.04,0.14,3.2672565495423865E9,-4.4241828048207194E8,-5.091986456614304E7,-4.9195724663562053E8,0.12033940785993653,1800,6,60,-1066.9579675542295,848.744527802222,-0.12325008721648194
0.04,0.16,3.4731535190449634E9,-4.697852748393542E8,-6.16952730875535E7,-5.3005259822306496E8,0.12308596805696943,1800,6,60,-1102.024992037859,875.0791952567379,-0.12726912878217556
0.08,0,1.8952779369716895E9,-1.4346328457791054E8,-1.7726284729001662E8,-3.187997820213326E8,0.12924048695846937,1800,6,60,-1676.586107959607,646.4304745465993,-0.0475609414680428
