% Model,Evan_continuous_faraday_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 11 2020, 15:54"
% Table,Probe Table 1 - 
% B_app ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","electron mobility, Point: (0, 0, 0)","Ion-slip parameter, Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0,0,0,0,NaN,0,0,0,0,110,NaN,0,1800,0,0,0,60
0.5454545454545454,-1.3266575166274942E7,112.10555831275794,78.47432664521466,0.6296541434367416,-0.004770684055977555,1.7317636503037663E10,208969.91859808497,-1.305684164030372E7,110,NaN,1.9834086188160595E7,1800,0.5454545454545454,0,0,60
1.0909090909090908,-5.3066319929787144E7,224.21101405954752,156.9485814938768,0.6296538552602515,-0.009538897814065968,6.927048263617618E10,835878.9110271293,-5.222738659031298E7,110,NaN,7.933627216741744E7,1800,1.0909090909090908,0,0,60
1.6363636363636362,-1.1939920405252014E8,336.31656817027715,235.42290519761733,0.6296539439404487,-0.014307199466833396,1.5585862956869205E11,1880728.507606501,-1.175116030785018E8,110,NaN,1.7850666235498103E8,1800,1.6363636363636362,0,0,60
2.1818181818181817,-2.1226523773154044E8,448.42212186934086,313.89722861319234,0.6296539877057984,-0.019075503977735,2.7708204640208936E11,3343518.212687508,-2.089095017963487E8,110,NaN,3.1734522136245173E8,1800,2.1818181818181817,0,0,60
2.727272727272727,-3.316644872772427E8,560.5274798059711,392.3714149941686,0.6296537946128696,-0.023831424126948438,4.3294043098456E11,5224248.974588599,-3.2642114699173903E8,110,NaN,4.9585160313192457E8,1800,2.727272727272727,0,0,60
3.2727272727272725,-4.7759681345845443E8,672.6330786048309,470.845769979789,0.6296538906060185,-0.028598612637383683,6.23434411249291E11,7522916.204789412,-4.7004640653300834E8,110,NaN,7.140265268424257E8,1800,3.2727272727272725,0,0,60
3.818181818181818,-6.50062309056811E8,784.7386259537438,549.3200889502318,0.6296539181729129,-0.03336706231922484,8.485635782676226E11,1.0239526197666636E7,-6.397853651875982E8,110,NaN,9.718695241433086E8,1800,3.818181818181818,0,0,60
4.363636363636363,-8.490609507385051E8,896.8441806273074,627.7944130479498,0.629653943956049,-0.03813534934751912,1.1083280296211592E12,1.3374075869375559E7,-8.356380030697737E8,110,NaN,1.2693807067958913E9,1800,4.363636363636363,0,0,60
4.909090909090908,-1.0745927428116217E9,1008.9497337726997,706.2687360759926,0.629653963062385,-0.04290365831759792,1.4027277474829055E12,1.6926565735479224E7,-1.0576043239272585E9,110,NaN,1.606560054382714E9,1800,4.909090909090908,0,0,60
5.454545454545454,-1.3266576835126417E9,1121.0552881527542,784.7430599682297,0.6296539790363791,-0.047671962322013525,1.7317627389723013E12,2.0896995633257553E7,-1.3056843261628866E9,110,NaN,1.9834075750577624E9,1800,5.454545454545454,0,0,60
6,-1.6052563512058465E9,1233.1600090409784,863.2168004126843,0.6296535701313355,-0.05244993429165704,2.0954301684377524E12,2.5285475238545593E7,-1.5798784577269971E9,110,NaN,2.3999200211169763E9,1800,6,0,0,60
