% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 3 2020, 10:35"
% Table,Probe Table 1 - 
% u_x (m/s),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
1500,0.04,0,1.478452696496094E9,-2.2718683493783787E8,3.5356495598197356E7,-1.9122555161339197E8,0.09143265220572089,1500,6,60,-43.18332281490031,570.9381789274846,-0.09648149507260599
1800,0.04,0,2.1289718858252573E9,-3.27149042564042E8,5.091335365620969E7,-2.753647945819947E8,0.09143265223646768,1800,6,60,-51.81998737736652,685.1258151749264,-0.11578335135737189
2100,0.04,0,2.8977672851743937E9,-4.452861964819656E8,6.92987313722728E7,-3.7480208116626287E8,0.09143265220603598,2100,6,60,-60.456651941481574,799.313450504289,-0.1350736769584874
2400,0.04,0,3.7848389075522666E9,-5.815982978398271E8,9.051262872375607E7,-4.895374125368354E8,0.09143265223305765,2400,6,60,-69.0933165024443,913.5010868297115,-0.15437621897612905
2700,0.04,0,4.790186739401658E9,-7.360853454416021E8,1.1455504573328419E8,-6.19570787475249E8,0.09143265221887309,2700,6,60,-77.72998106677095,1027.6887223649182,-0.1736698387200244
3000,0.04,0,5.913810789611196E9,-9.087473400720865E8,1.414259823859087E8,-7.64902206781145E8,0.0914326522196455,3000,6,60,-86.36664562926026,1141.8763582051097,-0.19296734883327962
1500,0.04,0.04,1.6316509225736785E9,-2.5331166219236544E8,3.625067992853083E7,-2.164447923941081E8,0.0937046382534029,1500,6,60,-45.537691179710535,599.7896869589114,-0.10423864070549445
1800,0.04,0.04,2.3495773304990964E9,-3.647687937319879E8,5.2200979094045244E7,-3.116805012254764E8,0.09370463827387776,1800,6,60,-54.645229413831316,719.7476246559536,-0.12509059335000158
2100,0.04,0.04,3.198035808487695E9,-4.964908579182772E8,7.105133265965202E7,-4.242317931139664E8,0.09370463825531514,2100,6,60,-63.752767651725236,839.7055617744151,-0.1459339443188854
2400,0.04,0.04,4.177026367251496E9,-6.484778556921804E8,9.280174060846713E7,-5.540986690170981E8,0.09370463828501983,2400,6,60,-72.86030588456555,959.6634997618007,-0.16678957365266417
2700,0.04,0.04,5.286548989195028E9,-8.207297855082904E8,1.1745220296836099E8,-7.012811273619953E8,0.09370463825364383,2700,6,60,-81.96784412329119,1079.6214365317912,-0.1876296859424247
3000,0.04,0.04,6.526603693541701E9,-1.0132466490546061E9,1.4500271970894122E8,-8.65779169866673E8,0.09370463826541635,3000,6,60,-91.07538235799704,1199.5793742162177,-0.20848113283626604
1500,0.04,0.08,1.8084084676977036E9,-2.835970950074568E8,3.705160519876243E7,-2.4591734868069145E8,0.09623758998101244,1500,6,60,-48.14281881407104,631.4422460173415,-0.11262070301325391
1800,0.04,0.08,2.6041081935506644E9,-4.083798168166757E8,5.335431148605077E7,-3.5412098210632974E8,0.0962375899816987,1800,6,60,-57.77138257654526,757.73069523041,-0.1351439232836067
2100,0.04,0.08,3.5444805982898498E9,-5.558503063548403E8,7.262114618696645E7,-4.819980035569866E8,0.09623758999280378,2100,6,60,-67.3999463391669,884.0191446240908,-0.15767053845141718
2400,0.04,0.08,4.629525675162143E9,-7.260085630313375E8,9.485210931235924E7,-6.295484124313736E8,0.0962375899691014,2400,6,60,-77.0285101041207,1010.3075933937968,-0.18018888857657314
2700,0.04,0.08,5.859243436934621E9,-9.188545879632537E8,1.2004720084144187E8,-7.96772209867079E8,0.09623758998813309,2700,6,60,-86.65707386499665,1136.5960429858221,-0.20271881772838896
3000,0.04,0.08,7.233633874444431E9,-1.1343883803495963E9,1.4820642078907916E8,-9.836693950485113E8,0.09623758999419636,3000,6,60,-96.28563762720954,1262.8844923536087,-0.22524361139973498
1500,0.04,0.12,2.0133265439683702E9,-3.1887136579383945E8,3.769387511141954E7,-2.8053678308656436E8,0.0990684275139205,1500,6,60,-51.03795659924547,666.2580636722236,-0.12107225170015022
1800,0.04,0.12,2.8991902261348257E9,-4.5917476698860127E8,5.427918015609196E7,-4.0397296789444125E8,0.09906842754143619,1800,6,60,-61.24554791751388,799.5096767955508,-0.14529084700654163
2100,0.04,0.12,3.946120030392966E9,-6.249878773229065E8,7.387999521200697E7,-5.498520952229556E8,0.09906842754411364,2100,6,60,-71.45313923599943,932.7612896392718,-0.1695071513675041
2400,0.04,0.12,5.154115955272903E9,-8.163106966683898E8,9.649632028130081E7,-7.181741649416938E8,0.09906842752882582,2400,6,60,-81.6607305570698,1066.0129021562104,-0.1937176862525001
2700,0.04,0.12,6.523178006192755E9,-1.0331432254972746E9,1.2212815535552138E8,-9.08939177531166E8,0.09906842753010321,2700,6,60,-91.86832187642044,1199.2645149533603,-0.2179324160028572
3000,0.04,0.12,8.053306182762078E9,-1.2754854637752986E9,1.5077550043511492E8,-1.1221471329566941E9,0.09906842753807928,3000,6,60,-102.0759131953304,1332.5161279143629,-0.2421499523181111
